Frequenza (Hz),Re(S21),Im(S21)
4031821821.822,-0.426,-0.797
4031931931.932,-0.428,-0.796
4032042042.042,-0.429,-0.795
4032152152.152,-0.434,-0.794
4032262262.262,-0.435,-0.793
4032372372.372,-0.437,-0.795
4032482482.482,-0.437,-0.792
4032592592.593,-0.438,-0.790
4032702702.703,-0.441,-0.790
4032812812.813,-0.443,-0.788
4032922922.923,-0.445,-0.787
4033033033.033,-0.446,-0.787
4033143143.143,-0.447,-0.786
4033253253.253,-0.450,-0.786
4033363363.363,-0.451,-0.784
4033473473.473,-0.453,-0.782
4033583583.584,-0.455,-0.781
4033693693.694,-0.457,-0.780
4033803803.804,-0.460,-0.781
4033913913.914,-0.461,-0.778
4034024024.024,-0.462,-0.777
4034134134.134,-0.464,-0.776
4034244244.244,-0.465,-0.775
4034354354.354,-0.468,-0.774
4034464464.464,-0.469,-0.774
4034574574.575,-0.470,-0.771
4034684684.685,-0.471,-0.772
4034794794.795,-0.475,-0.769
4034904904.905,-0.477,-0.768
4035015015.015,-0.478,-0.767
4035125125.125,-0.480,-0.766
4035235235.235,-0.482,-0.764
4035345345.345,-0.482,-0.764
4035455455.455,-0.485,-0.763
4035565565.566,-0.485,-0.761
4035675675.676,-0.488,-0.759
4035785785.786,-0.490,-0.759
4035895895.896,-0.490,-0.758
4036006006.006,-0.493,-0.757
4036116116.116,-0.495,-0.754
4036226226.226,-0.498,-0.755
4036336336.336,-0.498,-0.753
4036446446.446,-0.500,-0.753
4036556556.557,-0.501,-0.750
4036666666.667,-0.504,-0.751
4036776776.777,-0.504,-0.749
4036886886.887,-0.507,-0.748
4036996996.997,-0.509,-0.748
4037107107.107,-0.510,-0.745
4037217217.217,-0.509,-0.745
4037327327.327,-0.513,-0.742
4037437437.437,-0.516,-0.742
4037547547.548,-0.516,-0.739
4037657657.658,-0.519,-0.740
4037767767.768,-0.520,-0.740
4037877877.878,-0.523,-0.737
4037987987.988,-0.524,-0.736
4038098098.098,-0.525,-0.734
4038208208.208,-0.526,-0.736
4038318318.318,-0.529,-0.732
4038428428.428,-0.531,-0.730
4038538538.539,-0.530,-0.729
4038648648.649,-0.533,-0.729
4038758758.759,-0.534,-0.728
4038868868.869,-0.535,-0.727
4038978978.979,-0.538,-0.724
4039089089.089,-0.539,-0.723
4039199199.199,-0.540,-0.722
4039309309.309,-0.541,-0.721
4039419419.419,-0.544,-0.720
4039529529.530,-0.547,-0.718
4039639639.640,-0.548,-0.717
4039749749.750,-0.550,-0.715
4039859859.860,-0.550,-0.715
4039969969.970,-0.552,-0.714
4040080080.080,-0.551,-0.712
4040190190.190,-0.554,-0.711
4040300300.300,-0.558,-0.709
4040410410.410,-0.559,-0.708
4040520520.521,-0.559,-0.709
4040630630.631,-0.561,-0.707
4040740740.741,-0.564,-0.704
4040850850.851,-0.565,-0.704
4040960960.961,-0.566,-0.702
4041071071.071,-0.568,-0.698
4041181181.181,-0.569,-0.700
4041291291.291,-0.572,-0.698
4041401401.401,-0.572,-0.695
4041511511.512,-0.574,-0.696
4041621621.622,-0.575,-0.693
4041731731.732,-0.579,-0.693
4041841841.842,-0.578,-0.689
4041951951.952,-0.581,-0.690
4042062062.062,-0.581,-0.690
4042172172.172,-0.584,-0.687
4042282282.282,-0.584,-0.686
4042392392.392,-0.586,-0.684
4042502502.503,-0.587,-0.685
4042612612.613,-0.589,-0.682
4042722722.723,-0.590,-0.680
4042832832.833,-0.594,-0.680
4042942942.943,-0.594,-0.676
4043053053.053,-0.594,-0.675
4043163163.163,-0.598,-0.675
4043273273.273,-0.601,-0.673
4043383383.383,-0.601,-0.671
4043493493.493,-0.601,-0.672
4043603603.604,-0.603,-0.671
4043713713.714,-0.604,-0.668
4043823823.824,-0.606,-0.666
4043933933.934,-0.606,-0.664
4044044044.044,-0.609,-0.665
4044154154.154,-0.608,-0.662
4044264264.264,-0.612,-0.662
4044374374.374,-0.614,-0.659
4044484484.484,-0.615,-0.658
4044594594.595,-0.616,-0.657
4044704704.705,-0.617,-0.655
4044814814.815,-0.618,-0.652
4044924924.925,-0.621,-0.651
4045035035.035,-0.622,-0.650
4045145145.145,-0.623,-0.649
4045255255.255,-0.625,-0.649
4045365365.365,-0.626,-0.646
4045475475.475,-0.627,-0.646
4045585585.586,-0.630,-0.644
