# Frequency	I_corrected	Q_corrected
1.00588000e+10	7.72768524e-04	-1.75350102e-03
1.00594000e+10	7.57067387e-04	-1.70112906e-03
1.00600000e+10	7.53043661e-04	-1.76905445e-03
1.00606000e+10	6.79805886e-04	-1.78515445e-03
1.00612000e+10	6.63915271e-04	-1.78477358e-03
1.00618000e+10	6.42903197e-04	-1.79645422e-03
1.00624000e+10	6.78301883e-04	-1.78690683e-03
1.00630000e+10	6.41807732e-04	-1.88239592e-03
1.00636000e+10	6.02098986e-04	-1.87573164e-03
1.00642000e+10	5.79067800e-04	-1.86485686e-03
1.00648000e+10	5.35274245e-04	-1.82880999e-03
1.00654000e+10	5.77174399e-04	-1.90607864e-03
1.00660000e+10	5.03925167e-04	-1.90566691e-03
1.00666000e+10	5.07766235e-04	-1.91651067e-03
1.00672000e+10	4.43196654e-04	-1.96663464e-03
1.00678000e+10	4.57909516e-04	-1.96012546e-03
1.00684000e+10	4.23092429e-04	-1.94315499e-03
1.00690000e+10	3.63125438e-04	-1.96771338e-03
1.00696000e+10	3.63400230e-04	-1.91178651e-03
1.00702000e+10	3.74126952e-04	-1.96223507e-03
1.00708000e+10	3.24167632e-04	-2.00099195e-03
1.00714000e+10	2.68859268e-04	-1.95131132e-03
1.00720000e+10	2.24880649e-04	-1.99995752e-03
1.00726000e+10	2.15563167e-04	-2.00624505e-03
1.00732000e+10	2.28240058e-04	-2.04925559e-03
1.00738000e+10	1.65982851e-04	-2.03864209e-03
1.00744000e+10	1.61434990e-04	-2.01450182e-03
1.00750000e+10	1.13435357e-04	-2.07515330e-03
1.00756000e+10	9.41804570e-05	-2.09674130e-03
1.00762000e+10	4.45448768e-05	-2.06977927e-03
1.00768000e+10	2.73948698e-05	-2.03164613e-03
1.00774000e+10	3.80156118e-05	-2.10070243e-03
1.00780000e+10	5.47682449e-06	-2.11422402e-03
1.00786000e+10	-3.13297786e-05	-2.10265030e-03
1.00792000e+10	6.91290040e-06	-2.06793810e-03
1.00798000e+10	-1.10021948e-04	-2.07318608e-03
1.00804000e+10	-1.33441432e-04	-2.16374079e-03
1.00810000e+10	-2.14147135e-04	-2.18020160e-03
1.00816000e+10	-1.98104758e-04	-2.07592309e-03
1.00822000e+10	-2.34017457e-04	-2.08592058e-03
1.00828000e+10	-2.61286974e-04	-2.08375111e-03
1.00834000e+10	-2.76127264e-04	-2.18274445e-03
1.00840000e+10	-3.01999185e-04	-2.13636258e-03
1.00846000e+10	-3.33189033e-04	-2.09696366e-03
1.00852000e+10	-3.98808349e-04	-2.12101700e-03
1.00858000e+10	-3.61084308e-04	-2.14506432e-03
1.00864000e+10	-4.90297002e-04	-2.12174685e-03
1.00870000e+10	-4.61041249e-04	-2.01751012e-03
1.00876000e+10	-4.63435510e-04	-2.08698436e-03
1.00882000e+10	-5.50536102e-04	-2.08118081e-03
1.00888000e+10	-5.75753834e-04	-2.08810542e-03
1.00894000e+10	-5.27553091e-04	-2.02933435e-03
1.00900000e+10	-5.98250694e-04	-2.12072618e-03
1.00906000e+10	-5.65475908e-04	-2.12833478e-03
1.00912000e+10	-6.47719891e-04	-2.13191505e-03
1.00918000e+10	-7.05987625e-04	-2.03730719e-03
1.00924000e+10	-7.47825774e-04	-2.09746669e-03
1.00930000e+10	-7.21630807e-04	-2.08329016e-03
1.00936000e+10	-8.07601745e-04	-2.09148969e-03
1.00942000e+10	-8.60125623e-04	-2.06083757e-03
1.00948000e+10	-9.06877909e-04	-2.07489832e-03
1.00954000e+10	-9.09590186e-04	-2.08506321e-03
1.00960000e+10	-8.93413048e-04	-2.13955441e-03
1.00966000e+10	-9.59701352e-04	-2.03825553e-03
1.00972000e+10	-9.82116674e-04	-2.06073441e-03
1.00978000e+10	-9.90249813e-04	-2.10216931e-03
1.00984000e+10	-1.05367037e-03	-2.01670473e-03
1.00990000e+10	-1.06584807e-03	-1.96899956e-03
1.00996000e+10	-1.15401024e-03	-2.01872033e-03
1.01002000e+10	-1.12689019e-03	-2.04835294e-03
1.01008000e+10	-1.17514031e-03	-1.91867000e-03
1.01014000e+10	-1.19905370e-03	-1.92617066e-03
1.01020000e+10	-1.25593913e-03	-1.93291805e-03
1.01026000e+10	-1.27280869e-03	-1.92279578e-03
1.01032000e+10	-1.30334215e-03	-1.89597128e-03
1.01038000e+10	-1.35970304e-03	-1.91570017e-03
1.01044000e+10	-1.33713569e-03	-1.86900113e-03
1.01050000e+10	-1.34241182e-03	-1.80484863e-03
1.01056000e+10	-1.37720478e-03	-1.91538469e-03
1.01062000e+10	-1.41745278e-03	-1.83522736e-03
1.01068000e+10	-1.42575090e-03	-1.83850006e-03
1.01074000e+10	-1.44611556e-03	-1.78911159e-03
1.01080000e+10	-1.53327350e-03	-1.76224983e-03
1.01086000e+10	-1.56231499e-03	-1.79303869e-03
1.01092000e+10	-1.53979206e-03	-1.75689074e-03
1.01098000e+10	-1.60544627e-03	-1.70136582e-03
1.01104000e+10	-1.63468335e-03	-1.70602102e-03
1.01110000e+10	-1.67907096e-03	-1.64198715e-03
1.01116000e+10	-1.63800529e-03	-1.63330217e-03
1.01122000e+10	-1.72453093e-03	-1.63225760e-03
1.01128000e+10	-1.71752904e-03	-1.60106796e-03
1.01134000e+10	-1.78413914e-03	-1.55549425e-03
1.01140000e+10	-1.89876376e-03	-1.58150022e-03
1.01146000e+10	-1.75482820e-03	-1.61589978e-03
1.01152000e+10	-1.88612980e-03	-1.49283000e-03
1.01158000e+10	-1.86471537e-03	-1.54027451e-03
1.01164000e+10	-1.90796984e-03	-1.51787509e-03
1.01170000e+10	-1.91991403e-03	-1.44175387e-03
1.01176000e+10	-1.99779599e-03	-1.41253497e-03
1.01182000e+10	-1.96269074e-03	-1.43252152e-03
1.01188000e+10	-1.96635609e-03	-1.36684332e-03
1.01194000e+10	-1.98495998e-03	-1.37045945e-03
1.01200000e+10	-2.05538066e-03	-1.31899826e-03
1.01206000e+10	-2.01395126e-03	-1.28227793e-03
1.01212000e+10	-2.07870380e-03	-1.26635184e-03
1.01218000e+10	-2.12466530e-03	-1.22140903e-03
1.01224000e+10	-2.06920171e-03	-1.20552748e-03
1.01230000e+10	-2.15777395e-03	-1.14519038e-03
1.01236000e+10	-2.09736517e-03	-1.12681590e-03
1.01242000e+10	-2.14316203e-03	-1.22798182e-03
1.01248000e+10	-2.19795080e-03	-1.10672411e-03
1.01254000e+10	-2.46225893e-03	9.52280474e-04
1.01260000e+10	-2.53582058e-03	9.92272603e-04
1.01266000e+10	-2.49875788e-03	9.78903323e-04
1.01272000e+10	-2.46475518e-03	9.85667007e-04
1.01278000e+10	-2.47577247e-03	1.07784053e-03
1.01284000e+10	-2.46069354e-03	1.05259121e-03
1.01290000e+10	-2.48629316e-03	9.91347171e-04
1.01296000e+10	-2.46462276e-03	1.10254952e-03
1.01302000e+10	-2.45533703e-03	1.20211210e-03
1.01308000e+10	-2.46489336e-03	1.12424391e-03
1.01314000e+10	-2.36338125e-03	1.27421794e-03
1.01320000e+10	-2.42579736e-03	1.27069229e-03
1.01326000e+10	-2.39054101e-03	1.29734970e-03
1.01332000e+10	-2.33959397e-03	1.28321782e-03
1.01338000e+10	-2.40338577e-03	1.32140465e-03
1.01344000e+10	-2.35528264e-03	1.34774486e-03
1.01350000e+10	-2.40088700e-03	1.34938454e-03
1.01356000e+10	-2.32024827e-03	1.43516081e-03
1.01362000e+10	-2.34542963e-03	1.37287112e-03
1.01368000e+10	-2.31312710e-03	1.38884467e-03
1.01374000e+10	-2.32890760e-03	1.47006411e-03
1.01380000e+10	-2.32226948e-03	1.52240853e-03
1.01386000e+10	-2.26555534e-03	1.52448448e-03
1.01392000e+10	-2.21938566e-03	1.53249718e-03
1.01398000e+10	-2.23013666e-03	1.58276439e-03
1.01404000e+10	-2.13911574e-03	1.59884523e-03
1.01410000e+10	-2.14245155e-03	1.61400110e-03
1.01416000e+10	-2.15589066e-03	1.66889637e-03
1.01422000e+10	-2.10874890e-03	1.68120167e-03
1.01428000e+10	-2.12810021e-03	1.72674453e-03
1.01434000e+10	-2.03071551e-03	1.72325784e-03
1.01440000e+10	-2.10419076e-03	1.77287990e-03
1.01446000e+10	-2.08305723e-03	1.74754428e-03
1.01452000e+10	-1.98264617e-03	1.72394378e-03
1.01458000e+10	-2.07601808e-03	1.77514353e-03
1.01464000e+10	-2.01054956e-03	1.76821305e-03
1.01470000e+10	-1.96742565e-03	1.83653163e-03
1.01476000e+10	-1.96380131e-03	1.89017435e-03
1.01482000e+10	-2.02041824e-03	1.87907393e-03
1.01488000e+10	-1.94239133e-03	1.87460655e-03
1.01494000e+10	-1.92353141e-03	1.94018914e-03
1.01500000e+10	-1.81201461e-03	1.89576906e-03
1.01506000e+10	-1.89745878e-03	2.04243589e-03
1.01512000e+10	-1.87642481e-03	2.02774688e-03
1.01518000e+10	-1.84349693e-03	2.06294924e-03
1.01524000e+10	-1.82217438e-03	2.01516255e-03
1.01530000e+10	-1.81884105e-03	2.07015307e-03
1.01536000e+10	-1.74788284e-03	2.11389400e-03
1.01542000e+10	-1.80508798e-03	2.14407870e-03
1.01548000e+10	-1.68237530e-03	2.07572360e-03
1.01554000e+10	-1.72191869e-03	2.15569051e-03
1.01560000e+10	-1.68482211e-03	2.12832876e-03
1.01566000e+10	-1.65483776e-03	2.21106563e-03
1.01572000e+10	-1.60347247e-03	2.21822803e-03
1.01578000e+10	-1.64099532e-03	2.19047762e-03
1.01584000e+10	-1.60199405e-03	2.20327785e-03
1.01590000e+10	-1.59154893e-03	2.20552383e-03
1.01596000e+10	-1.56401785e-03	2.26245044e-03
1.01602000e+10	-1.53292682e-03	2.24948200e-03
1.01608000e+10	-1.56459373e-03	2.32539128e-03
1.01614000e+10	-1.53476754e-03	2.39218669e-03
1.01620000e+10	-1.53159904e-03	2.36279394e-03
1.01626000e+10	-1.51180403e-03	2.34442599e-03
1.01632000e+10	-1.47467656e-03	2.45741211e-03
1.01638000e+10	-1.37719664e-03	2.39290018e-03
1.01644000e+10	-1.45809384e-03	2.45895071e-03
1.01650000e+10	-1.34276023e-03	2.43053978e-03
1.01656000e+10	-1.35952817e-03	2.46137872e-03
1.01662000e+10	-1.33623391e-03	2.45253882e-03
1.01668000e+10	-1.29170956e-03	2.43466802e-03
1.01674000e+10	-1.23214989e-03	2.51718173e-03
1.01680000e+10	-1.29982809e-03	2.54775784e-03
1.01686000e+10	-1.28067460e-03	2.54890229e-03
1.01692000e+10	-1.25032756e-03	2.55785541e-03
1.01698000e+10	-1.24818551e-03	2.61385332e-03
1.01704000e+10	-1.18608165e-03	2.57932861e-03
1.01710000e+10	-1.15318321e-03	2.55108972e-03
1.01716000e+10	-1.11041250e-03	2.62688894e-03
1.01722000e+10	-1.08265081e-03	2.61950181e-03
1.01728000e+10	-1.12683585e-03	2.64772423e-03
1.01734000e+10	-1.14598102e-03	2.66062839e-03
1.01740000e+10	-1.05701898e-03	2.69274506e-03
1.01746000e+10	-1.04459278e-03	2.69564300e-03
1.01752000e+10	-9.77085330e-04	2.66828441e-03
1.01758000e+10	-1.04338647e-03	2.61934507e-03
1.01764000e+10	-9.41759781e-04	2.68080391e-03
1.01770000e+10	-9.68980032e-04	2.74473398e-03
1.01776000e+10	-9.00232087e-04	2.80225425e-03
1.01782000e+10	-9.04970510e-04	2.73652602e-03
1.01788000e+10	-8.31827071e-04	2.76252965e-03
1.01794000e+10	-8.34719849e-04	2.81406412e-03
1.01800000e+10	-8.54047841e-04	2.77916089e-03
1.01806000e+10	-8.02481006e-04	2.84523079e-03
1.01812000e+10	-7.67455129e-04	2.82025604e-03
1.01818000e+10	-7.45255271e-04	2.87168942e-03
1.01824000e+10	-6.98094373e-04	2.92554136e-03
1.01830000e+10	-6.59553446e-04	2.86187078e-03
1.01836000e+10	-6.83263663e-04	2.92209480e-03
1.01842000e+10	-6.83852443e-04	2.93110905e-03
1.01848000e+10	-7.23039883e-04	2.92300118e-03
1.01854000e+10	-5.56745600e-04	2.96534835e-03
1.01860000e+10	-5.96883852e-04	2.98176540e-03
1.01866000e+10	-5.68363809e-04	3.00257113e-03
1.01872000e+10	-4.92391469e-04	2.96989395e-03
1.01878000e+10	-5.21982194e-04	3.00186754e-03
1.01884000e+10	-4.86973100e-04	2.97043268e-03
1.01890000e+10	-4.32059503e-04	3.00165983e-03
1.01896000e+10	-4.39908776e-04	3.00075899e-03
1.01902000e+10	-3.94863913e-04	3.02186795e-03
1.01908000e+10	-4.05299190e-04	3.07525827e-03
1.01914000e+10	-2.99942322e-04	3.11058884e-03
1.01920000e+10	-3.12381178e-04	3.06416276e-03
1.01926000e+10	-2.69871331e-04	3.16244861e-03
1.01932000e+10	-2.62147720e-04	3.10875362e-03
1.01938000e+10	-1.78435460e-04	3.11777029e-03
1.01944000e+10	-2.29879533e-04	3.10324846e-03
1.01950000e+10	-1.32822219e-04	3.07530853e-03
1.01956000e+10	-2.15249204e-04	3.11003700e-03
1.01962000e+10	-1.28263828e-04	3.15900545e-03
1.01968000e+10	-8.17763016e-05	3.17695907e-03
1.01974000e+10	-7.56907895e-05	3.17521914e-03
1.01980000e+10	-9.45411729e-05	3.16357637e-03
1.01986000e+10	2.44449472e-05	3.22669387e-03
1.01992000e+10	-3.89279681e-05	3.26005685e-03
1.01998000e+10	3.10169430e-05	3.25829045e-03
1.02004000e+10	4.17840290e-05	3.25101790e-03
1.02010000e+10	6.00700571e-05	3.22098817e-03
1.02016000e+10	8.96368707e-05	3.23223236e-03
1.02022000e+10	1.40223670e-04	3.25642872e-03
1.02028000e+10	1.87517468e-04	3.20917223e-03
1.02034000e+10	1.97354514e-04	3.25637631e-03
1.02040000e+10	2.01442502e-04	3.32010116e-03
1.02046000e+10	2.63763805e-04	3.29552789e-03
1.02052000e+10	2.95542994e-04	3.32696466e-03
1.02058000e+10	3.50374161e-04	3.28888452e-03
1.02064000e+10	3.63799323e-04	3.35753247e-03
1.02070000e+10	3.98571350e-04	3.27796923e-03
1.02076000e+10	4.24777740e-04	3.31230969e-03
1.02082000e+10	4.50727779e-04	3.36537119e-03
1.02088000e+10	4.70368098e-04	3.37339140e-03
1.02094000e+10	5.52952556e-04	3.37174732e-03
1.02100000e+10	5.91580493e-04	3.40516262e-03
1.02106000e+10	5.80382260e-04	3.39801464e-03
1.02112000e+10	6.50150444e-04	3.40898718e-03
1.02118000e+10	6.81683425e-04	3.41288457e-03
1.02124000e+10	7.16668898e-04	3.42111135e-03
1.02130000e+10	7.40851439e-04	3.48054012e-03
1.02136000e+10	7.48384421e-04	3.42866393e-03
1.02142000e+10	7.44528986e-04	3.48522240e-03
1.02148000e+10	8.57668007e-04	3.46420705e-03
1.02154000e+10	8.55788088e-04	3.42886474e-03
1.02160000e+10	9.18680055e-04	3.50705303e-03
1.02166000e+10	9.61629567e-04	3.50396141e-03
1.02172000e+10	9.49439196e-04	3.55066801e-03
1.02178000e+10	9.79532497e-04	3.47988140e-03
1.02184000e+10	1.02259210e-03	3.53038468e-03
1.02190000e+10	1.09162599e-03	3.54212053e-03
1.02196000e+10	1.12729867e-03	3.47789117e-03
1.02202000e+10	1.16548246e-03	3.55823835e-03
1.02208000e+10	1.24283324e-03	3.56097465e-03
1.02214000e+10	1.22586771e-03	3.53292017e-03
1.02220000e+10	1.32209979e-03	3.54820469e-03
1.02226000e+10	1.34477140e-03	3.54694225e-03
1.02232000e+10	1.33409641e-03	3.54125508e-03
1.02238000e+10	1.40903185e-03	3.52442071e-03
1.02244000e+10	1.41810676e-03	3.54096852e-03
1.02250000e+10	1.41709551e-03	3.56118621e-03
1.02256000e+10	1.49975162e-03	3.62996166e-03
1.02262000e+10	1.55659935e-03	3.54257651e-03
1.02268000e+10	1.58811730e-03	3.59089790e-03
1.02274000e+10	1.63992209e-03	3.57022506e-03
1.02280000e+10	1.64504817e-03	3.51353703e-03
1.02286000e+10	1.78251658e-03	3.59957731e-03
1.02292000e+10	1.72391383e-03	3.58468402e-03
1.02298000e+10	1.76511387e-03	3.60548033e-03
1.02304000e+10	1.86940843e-03	3.61390585e-03
1.02310000e+10	1.84032111e-03	3.60793858e-03
1.02316000e+10	1.94135004e-03	3.62143484e-03
1.02322000e+10	1.97514781e-03	3.61507665e-03
1.02328000e+10	2.01856181e-03	3.63158046e-03
1.02334000e+10	2.13550031e-03	3.66143250e-03
1.02340000e+10	2.11691201e-03	3.60819948e-03
1.02346000e+10	2.17071512e-03	3.64782973e-03
1.02352000e+10	2.27122606e-03	3.64464902e-03
1.02358000e+10	2.26142214e-03	3.70194473e-03
1.02364000e+10	2.32967761e-03	3.73982705e-03
1.02370000e+10	2.37233244e-03	3.58520937e-03
1.02376000e+10	2.34539861e-03	3.62487095e-03
1.02382000e+10	2.43197657e-03	3.61065008e-03
1.02388000e+10	2.44297885e-03	3.62050485e-03
1.02394000e+10	2.59851215e-03	3.65070561e-03
1.02400000e+10	2.63146642e-03	3.65514333e-03
1.02406000e+10	2.65542695e-03	3.69390155e-03
1.02412000e+10	2.75858768e-03	3.63287552e-03
1.02418000e+10	2.77156339e-03	3.57066279e-03
1.02424000e+10	2.83796754e-03	3.65654761e-03
1.02430000e+10	2.89846907e-03	3.60349147e-03
1.02436000e+10	2.92326789e-03	3.59965369e-03
1.02442000e+10	2.93775808e-03	3.67294880e-03
1.02448000e+10	3.02292365e-03	3.60729703e-03
1.02454000e+10	3.14059110e-03	3.64843418e-03
1.02460000e+10	3.16533921e-03	3.58609274e-03
1.02466000e+10	3.11378399e-03	3.57471622e-03
1.02472000e+10	3.22151207e-03	3.56258281e-03
1.02478000e+10	3.32733924e-03	3.56420934e-03
1.02484000e+10	3.36671445e-03	3.58870679e-03
1.02490000e+10	3.43990858e-03	3.58074678e-03
1.02496000e+10	3.48919381e-03	3.54631643e-03
1.02502000e+10	3.59448763e-03	3.62521843e-03
1.02508000e+10	3.59432396e-03	3.59508136e-03
1.02514000e+10	3.64247748e-03	3.60635750e-03
1.02520000e+10	3.72454723e-03	3.62021833e-03
1.02526000e+10	3.78682546e-03	3.51796512e-03
1.02532000e+10	3.87312089e-03	3.53660423e-03
1.02538000e+10	3.98603713e-03	3.48310889e-03
1.02544000e+10	3.92990661e-03	3.54989471e-03
1.02550000e+10	4.05814828e-03	3.54131486e-03
1.02556000e+10	4.08976269e-03	3.50265239e-03
1.02562000e+10	4.18455362e-03	3.51513738e-03
1.02568000e+10	4.26614291e-03	3.50702419e-03
1.02574000e+10	4.29328469e-03	3.47895096e-03
1.02580000e+10	4.39698678e-03	3.50459757e-03
1.02586000e+10	4.45275727e-03	3.48468496e-03
1.02592000e+10	4.46669343e-03	3.42146311e-03
1.02598000e+10	4.53398033e-03	3.41408154e-03
1.02604000e+10	4.66357508e-03	3.41135645e-03
1.02610000e+10	4.73140775e-03	3.34062814e-03
1.02616000e+10	4.82534797e-03	3.40480794e-03
1.02622000e+10	4.87274359e-03	3.38680743e-03
1.02628000e+10	4.99795018e-03	3.35541791e-03
1.02634000e+10	4.97342313e-03	3.32903933e-03
1.02640000e+10	5.09528742e-03	3.30108543e-03
1.02646000e+10	5.18628995e-03	3.30954362e-03
1.02652000e+10	5.20496347e-03	3.25976929e-03
1.02658000e+10	5.31543522e-03	3.23022938e-03
1.02664000e+10	5.43916975e-03	3.25753462e-03
1.02670000e+10	5.55458441e-03	3.22375650e-03
1.02676000e+10	5.64613616e-03	3.19129124e-03
1.02682000e+10	5.70481952e-03	3.16154294e-03
1.02688000e+10	5.76089197e-03	3.07930281e-03
1.02694000e+10	5.85526044e-03	3.11841074e-03
1.02700000e+10	6.05538437e-03	3.11363745e-03
1.02706000e+10	6.13325375e-03	3.09023759e-03
1.02712000e+10	6.14898780e-03	2.99400031e-03
1.02718000e+10	6.32922300e-03	2.97339344e-03
1.02724000e+10	6.36698917e-03	2.94478620e-03
1.02730000e+10	6.43846592e-03	2.92109886e-03
1.02736000e+10	6.55775258e-03	2.95913495e-03
1.02742000e+10	6.60219560e-03	2.89178994e-03
1.02748000e+10	6.80502023e-03	2.84001153e-03
1.02754000e+10	6.91164532e-03	2.80009684e-03
1.02760000e+10	6.95675279e-03	2.78782060e-03
1.02766000e+10	7.11927628e-03	2.73084873e-03
1.02772000e+10	7.15333062e-03	2.66702113e-03
1.02778000e+10	7.27241964e-03	2.65678766e-03
1.02784000e+10	7.42838115e-03	2.60454024e-03
1.02790000e+10	7.50278487e-03	2.56781115e-03
1.02796000e+10	7.68841685e-03	2.46314920e-03
1.02802000e+10	7.80682210e-03	2.44175228e-03
1.02808000e+10	7.87381226e-03	2.39142150e-03
1.02814000e+10	8.00254777e-03	2.38238635e-03
1.02820000e+10	8.09897467e-03	2.26729446e-03
1.02826000e+10	8.28089372e-03	2.21778615e-03
1.02832000e+10	8.48563837e-03	2.15401127e-03
1.02838000e+10	8.57706604e-03	2.12992707e-03
1.02844000e+10	8.74213473e-03	2.05932015e-03
1.02850000e+10	8.84631418e-03	2.01643346e-03
1.02856000e+10	8.95771420e-03	1.85589969e-03
1.02862000e+10	9.21589757e-03	1.82092328e-03
1.02868000e+10	9.31350316e-03	1.74257150e-03
1.02874000e+10	9.47980891e-03	1.68622607e-03
1.02880000e+10	9.65044417e-03	1.65702225e-03
1.02886000e+10	9.78539476e-03	1.48493712e-03
1.02892000e+10	9.95609075e-03	1.40105305e-03
1.02898000e+10	1.01563375e-02	1.37862167e-03
1.02904000e+10	1.02137120e-02	1.24026039e-03
1.02910000e+10	1.04431897e-02	1.09809541e-03
1.02916000e+10	1.05888943e-02	1.00737410e-03
1.02922000e+10	1.07956250e-02	9.07583751e-04
1.02928000e+10	1.10525667e-02	7.44124677e-04
1.02934000e+10	1.11527762e-02	6.52580244e-04
1.02940000e+10	1.13470714e-02	5.44177205e-04
1.02946000e+10	1.15042574e-02	4.30032751e-04
1.02952000e+10	1.17023076e-02	2.65261630e-04
1.02958000e+10	1.18860411e-02	1.69008427e-04
1.02964000e+10	1.20664870e-02	-2.01376146e-05
1.02970000e+10	1.24544300e-02	-2.13756270e-04
1.02976000e+10	1.26495090e-02	-3.11435884e-04
1.02982000e+10	1.28805612e-02	-5.42784603e-04
1.02988000e+10	1.30966615e-02	-6.70740489e-04
1.02994000e+10	1.32385325e-02	-8.79014598e-04
1.03000000e+10	1.35481072e-02	-1.08950264e-03
1.03006000e+10	1.38447685e-02	-1.27924526e-03
1.03012000e+10	1.40739859e-02	-1.45921064e-03
1.03018000e+10	1.44194663e-02	-1.69827162e-03
1.03024000e+10	1.46300303e-02	-1.98776148e-03
1.03030000e+10	1.50175890e-02	-2.22138760e-03
1.03036000e+10	1.51825346e-02	-2.52868663e-03
1.03042000e+10	1.54540915e-02	-2.80466947e-03
1.03048000e+10	1.58695652e-02	-3.02937386e-03
1.03054000e+10	1.60334705e-02	-3.38308023e-03
1.03060000e+10	1.64879040e-02	-3.66869696e-03
1.03066000e+10	1.68011434e-02	-4.10619922e-03
1.03072000e+10	1.70277380e-02	-4.40371066e-03
1.03078000e+10	1.74373942e-02	-4.83023222e-03
1.03084000e+10	1.76634421e-02	-5.16283022e-03
1.03090000e+10	1.80186631e-02	-5.63292602e-03
1.03096000e+10	1.84709318e-02	-6.09324247e-03
1.03102000e+10	1.86824417e-02	-6.56391042e-03
1.03108000e+10	1.91494805e-02	-7.14928440e-03
1.03114000e+10	1.94852043e-02	-7.69688905e-03
1.03120000e+10	1.97862026e-02	-8.18547242e-03
1.03126000e+10	2.02499678e-02	-8.87520312e-03
1.03132000e+10	2.04798798e-02	-9.43554732e-03
1.03138000e+10	2.09861307e-02	-1.02416468e-02
1.03144000e+10	2.15142958e-02	-1.09593521e-02
1.03150000e+10	2.17201758e-02	-1.17073370e-02
1.03156000e+10	2.23267980e-02	-1.26785066e-02
1.03162000e+10	2.26267049e-02	-1.34727301e-02
1.03168000e+10	2.29931813e-02	-1.44452803e-02
1.03174000e+10	2.34116351e-02	-1.55765602e-02
1.03180000e+10	2.36960532e-02	-1.66243158e-02
1.03186000e+10	2.42857805e-02	-1.80632900e-02
1.03192000e+10	2.45990073e-02	-1.92874318e-02
1.03198000e+10	2.49202664e-02	-2.06828241e-02
1.03204000e+10	2.52387158e-02	-2.22820586e-02
1.03210000e+10	2.53119199e-02	-2.37693340e-02
1.03216000e+10	2.54688709e-02	-2.55137377e-02
1.03222000e+10	2.55529306e-02	-2.73408971e-02
1.03228000e+10	2.55008236e-02	-2.93218022e-02
1.03234000e+10	2.55278866e-02	-3.17161844e-02
1.03240000e+10	2.52152454e-02	-3.39747074e-02
1.03246000e+10	2.47672558e-02	-3.63925092e-02
1.03252000e+10	2.40448370e-02	-3.89657238e-02
1.03258000e+10	2.30854989e-02	-4.14529755e-02
1.03264000e+10	2.20014937e-02	-4.44791002e-02
1.03270000e+10	2.02783361e-02	-4.72321424e-02
1.03276000e+10	1.85217671e-02	-5.05273762e-02
1.03282000e+10	1.61897356e-02	-5.38618005e-02
1.03288000e+10	1.31550689e-02	-5.66794251e-02
1.03294000e+10	9.80682471e-03	-5.99209366e-02
1.03300000e+10	5.83227850e-03	-6.22771335e-02
