# Freq(Hz)	Amp(mV)
150486.680328	0.848374
150614.754098	0.823254
150742.827869	0.775031
150870.901639	0.706809
150998.975410	0.622455
151127.049180	0.526277
151255.122951	0.422722
151383.196721	0.316149
151511.270492	0.210767
151639.344262	0.111224
151767.418033	0.035034
151895.491803	0.079915
152023.565574	0.148478
152151.639344	0.205060
152279.713115	0.246413
152407.786885	0.271366
152535.860656	0.279869
152663.934426	0.273177
152792.008197	0.254355
152920.081967	0.229083
153048.155738	0.206608
153176.229508	0.198769
153304.303279	0.212970
153432.377049	0.244974
153560.450820	0.283706
153688.524590	0.318900
153816.598361	0.343201
153944.672131	0.351870
154072.745902	0.342369
154200.819672	0.314135
154328.893443	0.268429
154456.967213	0.208165
154585.040984	0.137811
154713.114754	0.064433
154841.188525	0.033822
154969.262295	0.094450
155097.336066	0.153260
155225.409836	0.198073
155353.483607	0.225200
155481.557377	0.233188
155609.631148	0.222744
155737.704918	0.197216
155865.778689	0.163930
155993.852459	0.137221
156121.926230	0.137490
156250.000000	0.169454
156378.073770	0.216353
156506.147541	0.262864
156634.221311	0.300262
156762.295082	0.323967
156890.368852	0.332339
157018.442623	0.326410
157146.516393	0.309949
157274.590164	0.289480
157402.663934	0.273507
157530.737705	0.269590
157658.811475	0.279636
157786.885246	0.298202
157914.959016	0.316073
158043.032787	0.324451
158171.106557	0.316787
158299.180328	0.289117
158427.254098	0.239991
158555.327869	0.170472
158683.401639	0.085443
158811.475410	0.043233
158939.549180	0.140888
159067.622951	0.252236
159195.696721	0.360323
159323.770492	0.458192
159451.844262	0.540689
159579.918033	0.604609
159707.991803	0.649256
159836.065574	0.676970
159964.139344	0.693389
160092.213115	0.707023
160220.286885	0.727542
160348.360656	0.762619
160476.434426	0.814684
160604.508197	0.879856
160732.581967	0.949654
160860.655738	1.013805
160988.729508	1.062519
161116.803279	1.087832
161244.877049	1.084282
161372.950820	1.049188
161501.024590	0.982697
161629.098361	0.887635
161757.172131	0.769214
161885.245902	0.634617
162013.319672	0.492563
162141.393443	0.353069
162269.467213	0.228283
162397.540984	0.137738
162525.614754	0.113968
