# Time(ns)	Voltage(mV)-A	Voltage(mV)-B
30720.000000 -9.033479 4.943999
30912.000000 -10.010071 5.981628
31104.000000 -6.042665 0.000000
31296.000000 -10.010071 2.990814
31488.000000 -7.019257 0.976592
31680.000000 -3.051851 3.967406
31872.000000 -9.033479 4.943999
32064.000000 -9.033479 6.958220
32256.000000 -13.000885 13.916440
32448.000000 -10.010071 7.934812
32640.000000 -9.033479 1.953185
32832.000000 -10.010071 5.981628
33024.000000 -9.033479 4.943999
33216.000000 -4.028443 3.967406
33408.000000 -9.033479 2.990814
33600.000000 -15.015107 1.953185
33792.000000 -7.019257 6.958220
33984.000000 -2.014222 1.953185
34176.000000 -8.056887 7.934812
34368.000000 -13.000885 6.958220
34560.000000 -6.042665 5.981628
34752.000000 -6.042665 2.990814
34944.000000 -2.014222 4.943999
35136.000000 -10.010071 0.976592
35328.000000 -11.047700 3.967406
35520.000000 -9.033479 8.972442
35712.000000 -9.033479 -4.028443
