Time	Channel C	Channel D
(ms)	(mV)	(mV)

1.08783997	80.99612427	-74.28205109
1.08787197	80.89846802	-74.08062744
1.08790397	80.59327698	-74.88631439
1.08793597	80.79470062	-75.08163452
1.08796797	79.68993378	-75.28305817
1.08799997	80.09277344	-74.68489838
1.08803197	80.29419708	-74.68489838
1.08806397	80.19654083	-75.38681793
1.08809597	80.09277344	-74.68489838
1.08812797	79.59226990	-75.08163452
1.08815997	79.89135742	-74.98397827
1.08819197	79.39084625	-74.98397827
1.08822397	80.19654083	-75.48448181
1.08825597	80.19654083	-75.78966522
1.08828797	80.09277344	-74.88631439
1.08831997	80.09277344	-74.68489838
1.08835197	80.59327698	-74.78255463
1.08838397	79.99510956	-74.88631439
1.08841597	80.19654083	-75.48448181
1.08844797	79.89135742	-74.88631439
1.08847997	79.59226990	-75.28305817
1.08851197	80.19654083	-75.48448181
1.08854397	78.98800659	-76.29016876
1.08857597	79.68993378	-75.78966522
1.08860797	79.79369354	-76.19250488
1.08863997	79.59226990	-76.19250488
1.08867197	79.18943024	-75.28305817
1.08870397	79.18943024	-75.18540192
1.08873597	79.49461365	-75.68589783
1.08876797	79.68993378	-76.29016876
1.08879997	78.89035034	-75.99108887
1.08883197	80.09277344	-75.58824158
1.08886397	78.89035034	-76.19250488
1.08889597	79.29319000	-75.88732147
1.08892797	79.39084625	-76.39393616
1.08895997	79.68993378	-75.68589783
1.08899197	79.79369354	-75.18540192
1.08902397	79.18943024	-75.58824158
1.08905597	79.68993378	-75.58824158
1.08908797	79.18943024	-75.58824158
1.08911997	79.09176636	-75.99108887
1.08915197	79.18943024	-75.88732147
1.08918397	78.98800659	-75.88732147
1.08921597	78.89035034	-75.88732147
1.08924797	79.09176636	-76.39393616
1.08927997	78.29218292	-76.59535217
1.08931197	78.89035034	-76.49159241
1.08934397	79.29319000	-75.78966522
1.08937597	78.98800659	-76.39393616
1.08940797	78.79268646	-76.39393616
1.08943997	79.18943024	-76.19250488
1.08947197	78.68891907	-76.59535217
1.08950397	78.48750305	-76.39393616
1.08953597	78.68891907	-76.79677582
1.08956797	79.09176636	-77.19961548
1.08959997	78.09075928	-76.89443207
1.08963197	78.38983917	-76.39393616
1.08966397	79.09176636	-76.49159241
1.08969597	78.79268646	-76.39393616
1.08972797	78.79268646	-76.89443207
1.08975997	78.48750305	-76.89443207
1.08979197	77.98699188	-76.69301605
1.08982397	78.48750305	-77.19961548
1.08985597	78.29218292	-76.49159241
1.08988797	79.29319000	-76.89443207
1.08991997	78.09075928	-76.89443207
1.08995197	78.18842316	-76.49159241
1.08998397	78.68891907	-76.89443207
1.09001597	78.38983917	-76.89443207
1.09004797	78.29218292	-76.59535217
1.09007997	78.79268646	-77.40104675
1.09011197	78.68891907	-76.89443207
1.09014397	78.68891907	-76.99819946
1.09017597	78.48750305	-76.89443207
1.09020797	78.48750305	-76.99819946
1.09023997	77.98699188	-77.09585571
1.09027197	78.18842316	-77.29727936
1.09030397	78.68891907	-77.49870300
1.09033597	77.88934326	-77.70012665
1.09036797	77.59026337	-77.40104675
1.09039997	77.98699188	-77.29727936
1.09043197	77.98699188	-77.70012665
1.09046397	77.78557587	-77.60246277
1.09049597	78.29218292	-76.49159241
1.09052797	78.18842316	-77.40104675
1.09055997	77.88934326	-77.40104675
1.09059197	78.18842316	-77.70012665
1.09062397	78.29218292	-78.60957336
1.09065597	78.18842316	-77.70012665
1.09068797	77.38883209	-77.40104675
1.09071997	77.59026337	-77.80388641
1.09075197	77.18741608	-77.70012665
1.09078397	77.48649597	-78.10297394
1.09081597	77.38883209	-78.10297394
1.09084797	77.78557587	-78.30438995
1.09087997	77.59026337	-77.90154266
1.09091197	77.08364868	-77.90154266
1.09094397	76.88833618	-79.11008453
1.09097597	76.98598480	-76.79677582
1.09100797	77.48649597	-78.50580597
1.09103997	77.78557587	-77.80388641
1.09107197	77.38883209	-78.50580597
1.09110397	76.68690491	-78.20672607
1.09113597	76.98598480	-78.60957336
1.09116797	76.68690491	-79.01242065
1.09119997	77.59026337	-77.40104675
1.09123197	76.68690491	-79.41526794
1.09126397	76.58315277	-78.10297394
1.09129597	77.08364868	-78.20672607
1.09132797	76.88833618	-78.10297394
1.09135997	76.68690491	-78.40815735
1.09139197	76.48548889	-78.70723724
1.09142397	76.98598480	-78.90865326
1.09145597	76.48548889	-78.60957336
1.09148797	76.88833618	-78.70723724
1.09151997	76.88833618	-79.21384430
1.09155197	76.28406525	-78.70723724
1.09158397	76.28406525	-78.60957336
1.09161597	76.48548889	-78.00531006
1.09164797	76.68690491	-79.01242065
1.09167997	75.98497772	-79.51292419
1.09171197	76.78456879	-79.31150055
1.09174397	77.18741608	-78.90865326
1.09177597	76.98598480	-78.30438995
1.09180797	76.98598480	-78.50580597
1.09183997	75.78356171	-79.11008453
1.09187197	76.08264160	-79.61668396
1.09190397	75.38071442	-79.21384430
1.09193597	76.38172150	-78.70723724
1.09196797	76.78456879	-79.31150055
1.09199997	76.08264160	-78.30438995
1.09203197	76.28406525	-79.31150055
1.09206397	75.88122559	-79.91576385
1.09209597	76.38172150	-79.41526794
1.09212797	74.98397827	-79.71434784
1.09215997	76.08264160	-79.41526794
1.09219197	75.98497772	-79.31150055
1.09222397	75.88122559	-80.31861115
1.09225597	75.48448181	-80.61769104
1.09228797	75.98497772	-79.91576385
1.09231997	75.88122559	-79.91576385
1.09235197	75.88122559	-79.91576385
1.09238397	76.08264160	-80.31861115
1.09241597	75.67979431	-79.51292419
1.09244797	75.48448181	-80.21484375
1.09247997	74.98397827	-79.91576385
1.09251197	75.58214569	-80.21484375
1.09254397	75.88122559	-79.51292419
1.09257597	75.98497772	-79.61668396
1.09260797	76.38172150	-78.20672607
1.09263997	75.17929840	-80.11718750
1.09267197	75.38071442	-79.91576385
1.09270397	75.48448181	-80.01342773
1.09273597	75.17929840	-79.61668396
1.09276797	75.08163452	-80.21484375
1.09279997	75.17929840	-80.21484375
1.09283197	75.38071442	-80.52003479
1.09286397	75.08163452	-79.81200409
1.09289597	75.28305817	-79.71434784
1.09292797	75.17929840	-79.91576385
1.09295997	75.38071442	-80.81911469
1.09299197	74.58113098	-80.21484375
1.09302397	74.47737122	-80.72145844
1.09305597	75.28305817	-80.61769104
1.09308797	75.28305817	-80.72145844
1.09311997	74.98397827	-80.31861115
1.09315197	74.98397827	-80.61769104
1.09318397	75.28305817	-80.61769104
1.09321597	74.98397827	-80.41627502
1.09324797	75.28305817	-80.01342773
1.09327997	74.78255463	-81.12429810
1.09331197	74.17829132	-80.61769104
1.09334397	75.28305817	-80.81911469
1.09337597	74.88021851	-80.72145844
1.09340797	74.88021851	-80.72145844
1.09343997	74.78255463	-80.72145844
1.09347197	74.37970734	-80.92288208
1.09350397	74.88021851	-80.61769104
1.09353597	73.87921143	-81.52714539
1.09356797	74.17829132	-80.72145844
1.09359997	74.28205109	-81.32572174
1.09363197	73.77544403	-81.72856140
1.09366397	74.08062744	-80.92288208
1.09369597	74.88021851	-81.32572174
1.09372797	73.67778015	-81.22196198
1.09375997	73.97686005	-81.92999268
1.09379197	73.77544403	-81.72856140
1.09382397	74.28205109	-80.72145844
1.09385597	74.58113098	-81.22196198
1.09388797	73.87921143	-81.02053833
1.09391997	74.17829132	-81.42338562
1.09395197	73.77544403	-81.52714539
1.09398397	73.47636414	-81.82622528
1.09401597	74.37970734	-80.72145844
1.09404797	73.97686005	-81.22196198
1.09407997	74.47737122	-81.32572174
1.09411197	73.87921143	-81.22196198
1.09414397	73.97686005	-81.82622528
1.09417597	73.47636414	-81.72856140
1.09420797	73.47636414	-81.42338562
1.09423997	74.08062744	-82.22907257
1.09427197	73.77544403	-81.52714539
1.09430397	74.17829132	-81.42338562
1.09433597	73.97686005	-82.33283997
1.09436797	73.58012390	-81.92999268
1.09439997	73.67778015	-81.92999268
1.09443197	73.47636414	-81.32572174
1.09446397	73.77544403	-81.72856140
1.09449597	73.87921143	-81.72856140
1.09452797	73.58012390	-82.22907257
1.09455997	73.07351685	-82.13140869
1.09459197	72.67678070	-81.72856140
1.09462397	73.27494049	-81.92999268
1.09465597	73.58012390	-81.92999268
1.09468797	73.27494049	-82.33283997
1.09471997	73.87921143	-83.13851929
1.09475197	73.97686005	-82.13140869
1.09478397	73.77544403	-82.73567200
1.09481597	73.58012390	-82.22907257
1.09484797	73.07351685	-82.63191986
1.09487997	73.17728424	-82.22907257
1.09491197	73.17728424	-82.53425598
1.09494397	73.17728424	-82.33283997
1.09497597	73.27494049	-82.53425598
1.09500797	72.97586060	-82.43048859
1.09503997	72.87819672	-82.22907257
1.09507197	72.97586060	-82.53425598
1.09510397	73.17728424	-81.82622528
1.09513597	72.77443695	-82.63191986
1.09516797	73.37870026	-81.92999268
1.09519997	72.27393341	-82.93710327
1.09523197	72.77443695	-82.33283997
1.09526397	73.37870026	-82.73567200
1.09529597	73.07351685	-82.83333588
1.09532797	72.87819672	-83.03475952
1.09535997	72.57301331	-82.63191986
1.09539197	72.77443695	-82.93710327
1.09542397	72.67678070	-82.43048859
1.09545597	72.27393341	-83.23618317
1.09548797	72.17626953	-82.53425598
1.09551997	72.27393341	-83.43759918
1.09555197	71.87109375	-82.93710327
1.09558397	72.37769318	-82.83333588
1.09561597	72.77443695	-82.83333588
1.09564797	72.47535706	-83.33995056
1.09567997	72.17626953	-83.23618317
1.09571197	72.57301331	-82.83333588
1.09574397	71.97485352	-83.33995056
1.09577597	71.87109375	-83.23618317
1.09580797	71.77342987	-83.54136658
1.09583997	71.77342987	-83.63903046
1.09587197	71.77342987	-83.43759918
1.09590397	72.37769318	-83.54136658
1.09593597	72.27393341	-83.23618317
1.09596797	71.57200623	-83.74279022
1.09599997	72.27393341	-83.23618317
1.09603197	71.87109375	-83.74279022
1.09606397	72.47535706	-83.43759918
1.09609597	71.57200623	-83.23618317
1.09612797	71.77342987	-84.14562988
1.09615997	71.87109375	-83.13851929
1.09619197	71.77342987	-83.43759918
1.09622397	71.57200623	-83.74279022
1.09625597	71.67577362	-83.63903046
1.09628797	71.16916656	-83.74279022
