# Time(ns)	Voltage(mV)-A	Voltage(mV)-B
27264.000000 -60.914945 -132.572405
27456.000000 -74.892422 -114.627522
27648.000000 -91.860714 -107.669301
27840.000000 -105.838191 -86.733604
28032.000000 -120.853298 -74.770348
28224.000000 -132.816553 -59.816279
28416.000000 -143.803217 -42.909024
28608.000000 -148.808252 -21.973327
28800.000000 -153.813288 -5.981628
28992.000000 -157.780694 13.916440
29184.000000 -149.784845 37.842952
29376.000000 -152.775658 54.750206
29568.000000 -143.803217 68.727683
29760.000000 -141.788995 84.658345
29952.000000 -121.829890 108.584857
30144.000000 -119.815668 114.566485
30336.000000 -105.838191 130.497147
30528.000000 -91.860714 144.474624
30720.000000 -76.906644 160.405286
30912.000000 -55.970946 165.410321
31104.000000 -44.984283 169.377728
31296.000000 -17.029328 180.364391
31488.000000 2.990814 179.326762
31680.000000 20.935698 174.382763
31872.000000 37.903989 167.363506
32064.000000 51.881466 170.354320
32256.000000 69.887387 155.461287
32448.000000 87.832270 144.474624
32640.000000 106.814783 135.502182
32832.000000 119.754631 117.557299
33024.000000 130.741295 99.612415
33216.000000 138.737144 87.649159
33408.000000 152.714621 63.722648
33600.000000 157.719657 52.797021
33792.000000 160.710471 32.837916
33984.000000 158.696249 8.911405
34176.000000 160.710471 -7.995849
34368.000000 156.743065 -26.917325
34560.000000 152.714621 -40.894803
34752.000000 140.751366 -60.792871
34944.000000 134.769738 -73.793756
35136.000000 118.778039 -94.729453
35328.000000 102.786340 -100.711081
35520.000000 89.846492 -121.585742
35712.000000 71.840571 -131.595813
35904.000000 48.890652 -141.544847
