C:\Users\oper\labQT\Lab2025\2D Qubit\QTLab2526\2DQuBit\Sonnet\2D_1st_resonator.son DE_EMBEDDED Lk=10.0
FREQUENCY (GHz), DB[S21]-2D_1st_resonator
7.302,-0.372774
7.304,-0.372726
7.306,-0.372678
7.308,-0.37263
7.31,-0.372582
7.312,-0.372533
7.314,-0.372485
7.316,-0.372436
7.318,-0.372387
7.32,-0.372338
7.322,-0.372289
7.324,-0.37224
7.326,-0.37219
7.328,-0.372141
7.33,-0.372091
7.332,-0.372042
7.334,-0.371992
7.336,-0.371942
7.338,-0.371892
7.34,-0.371842
7.342,-0.371791
7.344,-0.371741
7.346,-0.37169
7.348,-0.37164
7.35,-0.371589
7.352,-0.371538
7.354,-0.371487
7.356,-0.371436
7.358,-0.371385
7.36,-0.371333
7.362,-0.371282
7.364,-0.37123
7.366,-0.371178
7.368,-0.371127
7.37,-0.371075
7.372,-0.371023
7.374,-0.37097
7.376,-0.370918
7.378,-0.370866
7.38,-0.370813
7.382,-0.37076
7.384,-0.370708
7.386,-0.370655
7.388,-0.370602
7.39,-0.370549
7.392,-0.370495
7.394,-0.370442
7.396,-0.370389
7.398,-0.370335
7.4,-0.370281
7.402,-0.370228
7.404,-0.370174
7.406,-0.37012
7.408,-0.370066
7.41,-0.370011
7.412,-0.369957
7.414,-0.369903
7.416,-0.369848
7.418,-0.369793
7.42,-0.369739
7.422,-0.369684
7.424,-0.369629
7.426,-0.369574
7.428,-0.369518
7.43,-0.369463
7.432,-0.369408
7.434,-0.369352
7.436,-0.369296
7.438,-0.369241
7.44,-0.369185
7.442,-0.369129
7.444,-0.369073
7.446,-0.369017
7.448,-0.36896
7.45,-0.368904
7.452,-0.368847
7.454,-0.368791
7.456,-0.368734
7.458,-0.368677
7.46,-0.36862
7.462,-0.368563
7.464,-0.368506
7.466,-0.368449
7.468,-0.368392
7.47,-0.368334
7.472,-0.368277
7.474,-0.368219
7.476,-0.368162
7.478,-0.368104
7.48,-0.368046
7.482,-0.367988
7.484,-0.36793
7.486,-0.367871
7.488,-0.367813
7.49,-0.367755
7.492,-0.367696
7.494,-0.367638
7.496,-0.367579
7.498,-0.36752
7.5,-0.367461
7.502,-0.367402
7.504,-0.367343
7.506,-0.367284
7.508,-0.367225
7.51,-0.367165
7.512,-0.367106
7.514,-0.367047
7.516,-0.366987
7.518,-0.366927
7.52,-0.366867
7.522,-0.366807
7.524,-0.366747
7.526,-0.366687
7.528,-0.366627
7.53,-0.366567
7.532,-0.366507
7.534,-0.366446
7.536,-0.366386
7.538,-0.366325
7.54,-0.366264
7.542,-0.366204
7.544,-0.366143
7.546,-0.366082
7.548,-0.366021
7.55,-0.36596
7.552,-0.365898
7.554,-0.365837
7.556,-0.365776
7.558,-0.365714
7.56,-0.365653
7.562,-0.365591
7.564,-0.36553
7.566,-0.365468
7.568,-0.365406
7.57,-0.365344
7.572,-0.365282
7.574,-0.36522
7.576,-0.365158
7.578,-0.365096
7.58,-0.365033
7.582,-0.364971
7.584,-0.364908
7.586,-0.364846
7.588,-0.364783
