C:\Users\oper\labQT\Lab2025\2D Qubit\QTLab2526\2DQuBit\Sonnet\2D_1st_resonator.son DE_EMBEDDED Lk=10.0
FREQUENCY (GHz), DB[S21]-2D_1st_resonator
7.866,-0.206379
7.868,-0.206324
7.87,-0.206269
7.872,-0.206214
7.874,-0.206158
7.876,-0.206102
7.878,-0.206046
7.88,-0.205989
7.882,-0.205932
7.884,-0.205875
7.886,-0.205817
7.888,-0.205759
7.89,-0.205701
7.892,-0.205643
7.894,-0.205584
7.896,-0.205525
7.898,-0.205466
7.9,-0.205406
7.902,-0.205346
7.904,-0.205286
7.906,-0.205225
7.908,-0.205164
7.91,-0.205103
7.912,-0.205042
7.914,-0.20498
7.916,-0.204918
7.918,-0.204856
7.92,-0.204793
7.922,-0.20473
7.924,-0.204667
7.926,-0.204604
7.928,-0.20454
7.93,-0.204476
7.932,-0.204412
7.934,-0.204348
7.936,-0.204283
7.938,-0.204218
7.94,-0.204153
7.942,-0.204087
7.944,-0.204022
7.946,-0.203956
7.948,-0.20389
7.95,-0.203823
7.952,-0.203756
7.954,-0.203689
7.956,-0.203622
7.958,-0.203555
7.96,-0.203487
7.962,-0.203419
7.964,-0.203351
7.966,-0.203282
7.968,-0.203214
7.97,-0.203145
7.972,-0.203075
7.974,-0.203006
7.976,-0.202936
7.978,-0.202867
7.98,-0.202797
7.982,-0.202726
7.984,-0.202656
7.986,-0.202585
7.988,-0.202514
7.99,-0.202443
7.992,-0.202371
7.994,-0.2023
7.996,-0.202228
7.998,-0.202156
8,-0.202084
8.002,-0.202011
8.004,-0.201939
8.006,-0.201866
8.008,-0.201793
8.01,-0.201719
8.012,-0.201646
8.014,-0.201572
8.016,-0.201498
8.018,-0.201424
8.02,-0.20135
8.022,-0.201275
8.024,-0.2012
8.026,-0.201126
8.028,-0.20105
8.03,-0.200975
8.032,-0.2009
8.034,-0.200824
8.036,-0.200748
8.038,-0.200672
8.04,-0.200596
8.042,-0.200519
8.044,-0.200443
8.046,-0.200366
8.048,-0.200289
8.05,-0.200212
8.052,-0.200135
8.054,-0.200057
8.056,-0.199979
8.058,-0.199902
8.06,-0.199824
8.062,-0.199745
8.064,-0.199667
8.066,-0.199588
8.068,-0.19951
8.07,-0.199431
8.072,-0.199352
8.074,-0.199273
8.076,-0.199193
8.078,-0.199114
8.08,-0.199034
8.082,-0.198954
8.084,-0.198874
8.086,-0.198794
8.088,-0.198713
8.09,-0.198633
8.092,-0.198552
8.094,-0.198471
8.096,-0.19839
8.098,-0.198309
8.1,-0.198228
8.102,-0.198146
8.104,-0.198065
8.106,-0.197983
8.108,-0.197901
8.11,-0.197819
8.112,-0.197737
8.114,-0.197654
8.116,-0.197572
8.118,-0.197489
8.12,-0.197406
8.122,-0.197323
8.124,-0.19724
8.126,-0.197157
8.128,-0.197073
8.13,-0.19699
8.132,-0.196906
8.134,-0.196822
8.136,-0.196738
8.138,-0.196654
8.14,-0.19657
8.142,-0.196485
8.144,-0.196401
8.146,-0.196316
8.148,-0.196231
8.15,-0.196146
8.152,-0.196061
8.154,-0.195976
8.156,-0.195891
8.158,-0.195805
8.16,-0.19572
8.162,-0.195634
8.164,-0.195548
8.166,-0.195462
8.168,-0.195376
8.17,-0.19529
8.172,-0.195203
8.174,-0.195117
8.176,-0.19503
8.178,-0.194943
8.18,-0.194856
8.182,-0.194769
8.184,-0.194682
8.186,-0.194595
8.188,-0.194508
8.19,-0.19442
8.192,-0.194332
8.194,-0.194245
8.196,-0.194157
8.198,-0.194069
8.2,-0.193981
8.202,-0.193893
8.204,-0.193804
8.206,-0.193716
8.208,-0.193627
8.21,-0.193538
8.212,-0.19345
8.214,-0.193361
8.216,-0.193272
8.218,-0.193183
8.22,-0.193093
8.222,-0.193004
8.224,-0.192914
8.226,-0.192825
8.228,-0.192735
8.23,-0.192645
8.232,-0.192555
8.234,-0.192465
8.236,-0.192375
8.238,-0.192285
8.24,-0.192195
8.242,-0.192104
8.244,-0.192013
8.246,-0.191923
8.248,-0.191832
8.25,-0.191741
8.252,-0.19165
8.254,-0.191559
8.256,-0.191468
8.258,-0.191377
8.26,-0.191285
8.262,-0.191194
8.264,-0.191102
8.266,-0.19101
8.268,-0.190918
8.27,-0.190827
8.272,-0.190735
8.274,-0.190642
8.276,-0.19055
8.278,-0.190458
8.28,-0.190366
8.282,-0.190273
8.284,-0.19018
8.286,-0.190088
8.288,-0.189995
8.29,-0.189902
8.292,-0.189809
8.294,-0.189716
8.296,-0.189623
8.298,-0.18953
8.3,-0.189436
8.302,-0.189343
8.304,-0.189249
8.306,-0.189156
8.308,-0.189062
8.31,-0.188968
8.312,-0.188874
8.314,-0.18878
8.316,-0.188686
8.318,-0.188592
8.32,-0.188498
8.322,-0.188403
8.324,-0.188309
8.326,-0.188214
8.328,-0.18812
8.33,-0.188025
8.332,-0.18793
8.334,-0.187835
8.336,-0.187741
8.338,-0.187645
8.34,-0.18755
8.342,-0.187455
8.344,-0.18736
8.346,-0.187265
8.348,-0.187169
8.35,-0.187074
8.352,-0.186978
8.354,-0.186882
8.356,-0.186786
8.358,-0.186691
8.36,-0.186595
8.362,-0.186499
8.364,-0.186403
8.366,-0.186306
8.368,-0.18621
8.37,-0.186114
8.372,-0.186017
8.374,-0.185921
8.376,-0.185824
8.378,-0.185728
8.38,-0.185631
8.382,-0.185534
8.384,-0.185437
8.386,-0.18534
8.388,-0.185243
8.39,-0.185146
8.392,-0.185049
8.394,-0.184952
8.396,-0.184855
8.398,-0.184757
8.4,-0.18466
8.402,-0.184562
8.404,-0.184465
8.406,-0.184367
8.408,-0.184269
8.41,-0.184171
8.412,-0.184073
8.414,-0.183975
8.416,-0.183877
8.418,-0.183779
8.42,-0.183681
8.422,-0.183583
8.424,-0.183485
8.426,-0.183386
8.428,-0.183288
8.43,-0.183189
8.432,-0.183091
8.434,-0.182992
8.436,-0.182893
8.438,-0.182795
8.44,-0.182696
8.442,-0.182597
8.444,-0.182498
8.446,-0.182399
8.448,-0.1823
8.45,-0.182201
8.452,-0.182101
8.454,-0.182002
8.456,-0.181903
8.458,-0.181803
8.46,-0.181704
8.462,-0.181604
8.464,-0.181505
8.466,-0.181405
8.468,-0.181305
8.47,-0.181205
8.472,-0.181106
8.474,-0.181006
8.476,-0.180906
8.478,-0.180806
8.48,-0.180706
8.482,-0.180606
8.484,-0.180505
8.486,-0.180405
8.488,-0.180305
8.49,-0.180204
8.492,-0.180104
8.494,-0.180003
8.496,-0.179903
8.498,-0.179802
8.5,-0.179702
C:\Users\oper\labQT\Lab2025\2D Qubit\QTLab2526\2DQuBit\Sonnet\2D_1st_resonator.son DE_EMBEDDED Lk=13.8
FREQUENCY (GHz), DB[S21]-2D_1st_resonator
6.5,-0.248099
6.502,-0.248087
6.504,-0.248075
6.506,-0.248063
6.508,-0.248051
6.51,-0.248039
6.512,-0.248027
6.514,-0.248015
6.516,-0.248003
6.518,-0.24799
6.52,-0.247978
6.522,-0.247965
6.524,-0.247952
6.526,-0.24794
6.528,-0.247927
6.53,-0.247914
6.532,-0.247901
6.534,-0.247888
6.536,-0.247875
6.538,-0.247861
6.54,-0.247848
6.542,-0.247835
6.544,-0.247821
6.546,-0.247807
6.548,-0.247794
6.55,-0.24778
6.552,-0.247766
6.554,-0.247752
6.556,-0.247738
6.558,-0.247724
6.56,-0.24771
6.562,-0.247696
6.564,-0.247682
6.566,-0.247667
6.568,-0.247653
6.57,-0.247638
6.572,-0.247623
6.574,-0.247609
6.576,-0.247594
6.578,-0.247579
6.58,-0.247564
6.582,-0.247549
6.584,-0.247534
6.586,-0.247519
6.588,-0.247504
6.59,-0.247488
6.592,-0.247473
6.594,-0.247457
6.596,-0.247442
6.598,-0.247426
6.6,-0.247411
6.602,-0.247395
6.604,-0.247379
6.606,-0.247363
6.608,-0.247347
6.61,-0.247331
6.612,-0.247315
6.614,-0.247298
6.616,-0.247282
6.618,-0.247266
6.62,-0.247249
6.622,-0.247233
6.624,-0.247216
6.626,-0.247199
6.628,-0.247183
6.63,-0.247166
6.632,-0.247149
6.634,-0.247132
6.636,-0.247115
6.638,-0.247098
6.64,-0.247081
6.642,-0.247064
6.644,-0.247046
6.646,-0.247029
6.648,-0.247011
6.65,-0.246994
6.652,-0.246976
6.654,-0.246959
6.656,-0.246941
6.658,-0.246923
6.66,-0.246905
6.662,-0.246887
6.664,-0.246869
6.666,-0.246851
6.668,-0.246833
6.67,-0.246815
6.672,-0.246797
6.674,-0.246779
6.676,-0.24676
6.678,-0.246742
6.68,-0.246723
6.682,-0.246705
6.684,-0.246686
6.686,-0.246667
6.688,-0.246649
6.69,-0.24663
6.692,-0.246611
6.694,-0.246592
6.696,-0.246573
6.698,-0.246554
6.7,-0.246535
6.702,-0.246516
6.704,-0.246496
6.706,-0.246477
6.708,-0.246458
6.71,-0.246438
6.712,-0.246419
6.714,-0.2464
6.716,-0.24638
6.718,-0.24636
6.72,-0.246341
6.722,-0.246321
6.724,-0.246301
6.726,-0.246281
6.728,-0.246261
6.73,-0.246241
6.732,-0.246222
6.734,-0.246201
6.736,-0.246181
6.738,-0.246161
6.74,-0.246141
6.742,-0.246121
6.744,-0.246101
6.746,-0.24608
6.748,-0.24606
6.75,-0.246039
6.752,-0.246019
6.754,-0.245998
6.756,-0.245978
6.758,-0.245957
6.76,-0.245937
6.762,-0.245916
6.764,-0.245895
6.766,-0.245874
6.768,-0.245853
6.77,-0.245833
6.772,-0.245812
6.774,-0.245791
6.776,-0.24577
6.778,-0.245749
6.78,-0.245728
6.782,-0.245707
6.784,-0.245685
6.786,-0.245664
6.788,-0.245643
6.79,-0.245622
6.792,-0.245601
6.794,-0.245579
6.796,-0.245558
6.798,-0.245537
6.8,-0.245515
6.802,-0.245494
6.804,-0.245472
6.806,-0.245451
6.808,-0.245429
6.81,-0.245408
6.812,-0.245386
6.814,-0.245365
6.816,-0.245343
6.818,-0.245321
6.82,-0.2453
6.822,-0.245278
6.824,-0.245256
6.826,-0.245235
6.828,-0.245213
6.83,-0.245191
6.832,-0.245169
6.834,-0.245148
6.836,-0.245126
6.838,-0.245104
6.84,-0.245082
6.842,-0.24506
6.844,-0.245038
6.846,-0.245017
6.848,-0.244995
6.85,-0.244973
6.852,-0.244951
6.854,-0.244929
6.856,-0.244907
6.858,-0.244885
6.86,-0.244863
6.862,-0.244841
6.864,-0.24482
6.866,-0.244798
6.868,-0.244776
6.87,-0.244754
6.872,-0.244732
6.874,-0.24471
6.876,-0.244688
6.878,-0.244666
6.88,-0.244644
6.882,-0.244623
6.884,-0.244601
6.886,-0.244579
6.888,-0.244557
6.89,-0.244535
6.892,-0.244513
6.894,-0.244492
6.896,-0.24447
6.898,-0.244448
6.9,-0.244426
6.902,-0.244405
6.904,-0.244383
6.906,-0.244361
6.908,-0.24434
6.91,-0.244318
6.912,-0.244297
6.914,-0.244275
6.916,-0.244254
6.918,-0.244232
6.92,-0.244211
6.922,-0.244189
6.924,-0.244168
6.926,-0.244147
6.928,-0.244125
6.93,-0.244104
6.932,-0.244083
6.934,-0.244062
6.936,-0.244041
6.938,-0.24402
6.94,-0.243999
6.942,-0.243978
6.944,-0.243957
6.946,-0.243936
6.948,-0.243916
6.95,-0.243895
6.952,-0.243875
6.954,-0.243854
6.956,-0.243834
6.958,-0.243813
6.96,-0.243793
6.962,-0.243773
6.964,-0.243753
6.966,-0.243733
6.968,-0.243713
6.97,-0.243693
6.972,-0.243673
6.974,-0.243653
6.976,-0.243634
6.978,-0.243614
6.98,-0.243595
6.982,-0.243575
6.984,-0.243556
6.986,-0.243537
6.988,-0.243518
6.99,-0.243499
6.992,-0.24348
6.994,-0.243462
6.996,-0.243443
6.998,-0.243425
7,-0.243407
7.002,-0.243388
7.004,-0.24337
7.006,-0.243353
7.008,-0.243335
7.01,-0.243317
7.012,-0.2433
7.014,-0.243283
7.016,-0.243265
7.018,-0.243248
7.02,-0.243232
7.022,-0.243215
7.024,-0.243198
7.026,-0.243182
7.028,-0.243166
7.03,-0.24315
7.032,-0.243134
7.034,-0.243119
7.036,-0.243103
7.038,-0.243088
7.04,-0.243073
7.042,-0.243058
7.044,-0.243044
7.046,-0.243029
7.048,-0.243015
7.05,-0.243001
7.052,-0.242987
7.054,-0.242974
7.056,-0.242961
7.058,-0.242948
7.06,-0.242935
7.062,-0.242922
7.064,-0.24291
7.066,-0.242898
7.068,-0.242886
7.07,-0.242875
7.072,-0.242864
7.074,-0.242853
7.076,-0.242842
7.078,-0.242832
7.08,-0.242822
7.082,-0.242812
7.084,-0.242803
7.086,-0.242794
7.088,-0.242785
7.09,-0.242777
7.092,-0.242769
7.094,-0.242761
7.096,-0.242754
7.098,-0.242747
7.1,-0.24274
7.102,-0.242734
7.104,-0.242728
7.106,-0.242722
7.108,-0.242717
7.11,-0.242713
7.112,-0.242709
7.114,-0.242705
7.116,-0.242701
7.118,-0.242699
7.12,-0.242696
7.122,-0.242694
7.124,-0.242693
7.126,-0.242692
7.128,-0.242691
7.13,-0.242691
7.132,-0.242692
7.134,-0.242693
7.136,-0.242694
7.138,-0.242697
7.14,-0.242699
7.142,-0.242703
7.144,-0.242707
7.146,-0.242711
7.148,-0.242716
7.15,-0.242722
7.152,-0.242728
7.154,-0.242735
7.156,-0.242743
7.158,-0.242751
7.16,-0.24276
7.162,-0.24277
7.164,-0.242781
7.166,-0.242792
7.168,-0.242804
7.17,-0.242817
7.172,-0.242831
7.174,-0.242845
7.176,-0.24286
7.178,-0.242876
7.18,-0.242893
7.182,-0.242911
7.184,-0.24293
7.186,-0.24295
7.188,-0.24297
7.19,-0.242992
7.192,-0.243015
7.194,-0.243038
7.196,-0.243063
7.198,-0.243089
7.2,-0.243116
7.202,-0.243144
7.204,-0.243173
7.206,-0.243203
7.208,-0.243235
7.21,-0.243268
7.212,-0.243302
7.214,-0.243337
7.216,-0.243374
7.218,-0.243412
7.22,-0.243451
7.222,-0.243492
7.224,-0.243534
7.226,-0.243578
7.228,-0.243623
7.23,-0.24367
7.232,-0.243719
7.234,-0.243769
7.236,-0.243821
7.238,-0.243874
7.24,-0.24393
7.242,-0.243987
7.244,-0.244046
7.246,-0.244107
7.248,-0.24417
7.25,-0.244236
7.252,-0.244303
7.254,-0.244372
7.256,-0.244444
7.258,-0.244518
7.26,-0.244594
7.262,-0.244673
7.264,-0.244754
7.266,-0.244837
7.268,-0.244924
7.27,-0.245013
7.272,-0.245104
7.274,-0.245199
7.276,-0.245297
7.278,-0.245397
7.28,-0.245501
7.282,-0.245608
7.284,-0.245718
7.286,-0.245832
7.288,-0.245949
7.29,-0.24607
7.292,-0.246195
7.294,-0.246324
7.296,-0.246456
7.298,-0.246593
7.3,-0.246734
7.302,-0.246879
7.304,-0.247029
7.306,-0.247184
7.308,-0.247344
7.31,-0.247508
7.312,-0.247678
7.314,-0.247853
7.316,-0.248034
7.318,-0.248221
7.32,-0.248414
7.322,-0.248613
7.324,-0.248818
7.326,-0.24903
7.328,-0.249249
7.33,-0.249476
7.332,-0.24971
7.334,-0.249951
7.336,-0.250201
7.338,-0.250459
7.34,-0.250726
7.34011,-0.250741
7.342,-0.251002
7.344,-0.251288
7.34413,-0.251306
7.346,-0.251583
7.348,-0.251889
7.34805,-0.251897
7.35,-0.252206
7.35189,-0.252515
7.352,-0.252534
7.354,-0.252873
7.35564,-0.25316
7.356,-0.253225
7.358,-0.25359
7.3593,-0.253833
7.36,-0.253968
7.362,-0.25436
7.36287,-0.254536
7.364,-0.254766
7.366,-0.255189
7.36637,-0.255268
7.368,-0.255627
7.36978,-0.256032
7.37,-0.256082
7.372,-0.256555
7.37312,-0.256828
7.374,-0.257046
7.376,-0.257557
7.37638,-0.257657
7.378,-0.258089
7.37957,-0.25852
7.38,-0.258642
7.382,-0.259218
7.38268,-0.259419
7.384,-0.259818
7.38572,-0.260355
7.386,-0.260443
7.388,-0.261095
7.38869,-0.261328
7.39,-0.261776
7.3916,-0.262341
7.392,-0.262486
7.394,-0.263228
7.39444,-0.263394
7.396,-0.264004
7.39721,-0.264489
7.398,-0.264815
7.39992,-0.265628
7.4,-0.265664
7.402,-0.266553
7.40256,-0.266811
7.404,-0.267485
7.40515,-0.268041
7.406,-0.268462
7.40768,-0.269318
7.408,-0.269488
7.41,-0.270565
7.41014,-0.270645
7.412,-0.271698
7.41256,-0.272024
7.414,-0.27289
7.41491,-0.273455
7.416,-0.274145
7.41722,-0.274942
7.418,-0.275468
7.41947,-0.276485
7.42,-0.276865
7.42167,-0.278087
7.422,-0.27834
7.42381,-0.27975
7.424,-0.279899
7.42591,-0.281476
7.426,-0.28155
7.42796,-0.283267
7.428,-0.2833
7.42997,-0.285125
7.43,-0.285156
7.43193,-0.287053
7.432,-0.287128
7.43384,-0.289053
7.434,-0.289226
7.43571,-0.291127
7.436,-0.291462
7.43753,-0.293278
7.438,-0.293846
7.43932,-0.295508
7.44,-0.296394
7.44106,-0.297821
7.442,-0.299121
7.44277,-0.300218
7.444,-0.302044
7.44443,-0.302703
7.446,-0.305183
7.44606,-0.305278
7.44765,-0.307947
7.448,-0.30856
7.4492,-0.310712
7.45,-0.3122
7.45072,-0.313577
7.452,-0.316132
7.4522,-0.316544
7.45365,-0.319616
7.454,-0.320388
7.45506,-0.322798
7.456,-0.325005
7.45645,-0.326091
7.4578,-0.3295
7.458,-0.330025
7.45912,-0.333028
7.46,-0.335498
7.46041,-0.336678
7.46167,-0.340454
7.462,-0.34148
7.4629,-0.344359
7.464,-0.348036
7.4641,-0.348396
7.46528,-0.352569
7.466,-0.355242
7.46643,-0.356882
7.46755,-0.361337
7.468,-0.363186
7.46865,-0.365939
7.46972,-0.370691
7.47,-0.371973
7.47077,-0.375595
7.47179,-0.380656
7.472,-0.381725
7.47279,-0.385876
7.47377,-0.391258
7.474,-0.392583
7.47472,-0.396806
7.47565,-0.402522
7.476,-0.40472
7.47657,-0.40841
7.47746,-0.414471
7.478,-0.418334
7.47833,-0.420707
7.47918,-0.427122
7.48,-0.433666
7.48001,-0.433717
7.48082,-0.440493
7.48161,-0.447452
7.482,-0.450999
7.48239,-0.454595
7.48314,-0.461923
7.48388,-0.469436
7.484,-0.47067
7.4846,-0.477134
7.48531,-0.485017
7.486,-0.493078
7.486,-0.493083
7.48667,-0.501333
7.48733,-0.509764
7.48798,-0.518374
7.488,-0.518691
7.48861,-0.52716
7.48922,-0.536119
7.48982,-0.545248
7.49,-0.548054
7.49041,-0.554542
7.49098,-0.563997
7.49154,-0.573607
7.492,-0.581785
7.49209,-0.583367
7.49262,-0.59327
7.49314,-0.603309
7.49365,-0.613476
7.494,-0.62056
7.49415,-0.623764
7.49464,-0.634164
7.49512,-0.644667
7.49558,-0.655263
7.496,-0.665069
7.49604,-0.665943
7.49648,-0.676696
7.49691,-0.687512
7.49734,-0.698378
7.49775,-0.709284
7.498,-0.715919
7.49816,-0.720219
7.49855,-0.731169
7.49894,-0.742124
7.49932,-0.75307
7.49969,-0.763996
7.5,-0.773455
7.50005,-0.77489
7.5004,-0.785738
7.50074,-0.79653
7.50108,-0.807252
7.50141,-0.817894
7.50173,-0.828444
7.502,-0.837446
7.50204,-0.83889
7.50235,-0.849222
7.50265,-0.85943
7.50294,-0.869502
7.50323,-0.87943
7.50351,-0.889205
7.50378,-0.898818
7.504,-0.906603
7.50405,-0.908262
7.50431,-0.917528
7.50456,-0.926611
7.50481,-0.935503
7.50505,-0.9442
7.50529,-0.952697
7.50552,-0.960988
7.50575,-0.969072
7.50597,-0.976945
7.506,-0.977943
7.50619,-0.984603
7.5064,-0.992046
7.50661,-0.999273
7.50681,-1.00628
7.50701,-1.01307
7.5072,-1.01965
7.50739,-1.026
7.50757,-1.03215
7.50775,-1.03807
7.50793,-1.04379
7.508,-1.04615
7.5081,-1.0493
7.50827,-1.0546
7.50843,-1.0597
7.50859,-1.0646
7.50875,-1.0693
7.5089,-1.07381
7.50905,-1.07813
7.5092,-1.08227
7.50934,-1.08623
7.50948,-1.09002
7.50961,-1.09363
7.50975,-1.09708
7.50988,-1.10037
7.51,-1.10342
7.51,-1.1035
7.51013,-1.10648
7.51025,-1.10931
7.51037,-1.112
7.51048,-1.11456
7.5106,-1.11698
7.51071,-1.11928
7.51081,-1.12145
7.51092,-1.12351
7.51102,-1.12545
7.51112,-1.12728
7.51122,-1.12901
7.51132,-1.13063
7.51141,-1.13216
7.5115,-1.1336
7.51159,-1.13495
7.51168,-1.13622
7.51177,-1.1374
7.51185,-1.13851
7.51193,-1.13954
7.512,-1.14036
7.51201,-1.14051
7.51209,-1.1414
7.51217,-1.14224
7.51224,-1.14301
7.51231,-1.14372
7.51239,-1.14438
7.51246,-1.14499
7.51252,-1.14554
7.51259,-1.14605
7.51265,-1.14652
7.51272,-1.14694
7.51278,-1.14733
7.51284,-1.14767
7.5129,-1.14798
7.51296,-1.14825
7.51301,-1.1485
7.51307,-1.14871
7.51312,-1.1489
7.51318,-1.14905
7.51323,-1.14918
7.51328,-1.14929
7.51333,-1.14938
7.51337,-1.14944
7.51342,-1.14949
7.51347,-1.14952
7.51351,-1.14953
7.51356,-1.14952
7.5136,-1.1495
7.51364,-1.14946
7.51368,-1.14941
7.51372,-1.14935
7.51376,-1.14928
7.5138,-1.1492
7.51383,-1.14911
7.51387,-1.149
7.51391,-1.14889
7.51394,-1.14878
7.51397,-1.14865
7.514,-1.14855
7.51401,-1.14852
7.51404,-1.14839
7.51407,-1.14824
7.5141,-1.1481
7.51413,-1.14794
7.51416,-1.14779
7.51419,-1.14763
7.51422,-1.14747
7.51425,-1.14731
7.51427,-1.14714
7.5143,-1.14697
7.51433,-1.1468
7.51435,-1.14663
7.51438,-1.14645
7.5144,-1.14628
7.51442,-1.14611
7.51445,-1.14593
7.51447,-1.14576
7.51449,-1.14558
7.51451,-1.14541
7.51453,-1.14523
7.51455,-1.14506
7.51457,-1.14488
7.51459,-1.14471
7.51461,-1.14454
7.51463,-1.14437
7.51465,-1.1442
7.51466,-1.14403
7.51468,-1.14386
7.5147,-1.1437
7.51472,-1.14353
7.51473,-1.14337
7.51475,-1.14321
7.51476,-1.14305
7.51478,-1.14289
7.51479,-1.14274
7.51481,-1.14258
7.51482,-1.14243
7.51483,-1.14228
7.51485,-1.14213
7.51486,-1.14199
7.51487,-1.14184
7.51489,-1.1417
7.5149,-1.14156
7.51491,-1.14142
7.51492,-1.14129
7.51493,-1.14115
7.51495,-1.14102
7.51496,-1.14089
7.51497,-1.14076
7.51498,-1.14063
7.51499,-1.14051
7.515,-1.14039
7.51501,-1.14027
7.51502,-1.14015
7.51503,-1.14003
7.51503,-1.13992
7.51504,-1.13981
7.51505,-1.1397
7.51506,-1.13959
7.51507,-1.13948
7.51508,-1.13938
7.51508,-1.13928
7.51509,-1.13918
7.5151,-1.13908
7.51511,-1.13898
7.51511,-1.13889
7.51512,-1.13879
7.51513,-1.1387
7.51513,-1.13861
7.51514,-1.13852
7.51515,-1.13844
7.51515,-1.13835
7.51516,-1.13827
7.51517,-1.13819
7.51517,-1.13811
7.51518,-1.13803
7.51518,-1.13795
7.51519,-1.13787
7.51519,-1.1378
7.5152,-1.13773
7.5152,-1.13766
7.51521,-1.13759
7.51521,-1.13752
7.51522,-1.13745
7.51522,-1.13739
7.51523,-1.13732
7.51523,-1.13726
7.51524,-1.1372
7.51524,-1.13714
7.51524,-1.13708
7.51525,-1.13702
7.51525,-1.13696
7.51526,-1.1369
7.51526,-1.13683
7.51527,-1.13677
7.51527,-1.1367
7.51528,-1.13663
7.51528,-1.13656
7.51529,-1.13649
7.51529,-1.13642
7.5153,-1.13634
7.5153,-1.13626
7.51531,-1.13618
7.51531,-1.1361
7.51532,-1.13601
7.51532,-1.13593
7.51533,-1.13584
7.51534,-1.13574
7.51534,-1.13565
7.51535,-1.13555
7.51535,-1.13545
7.51536,-1.13535
7.51537,-1.13525
7.51537,-1.13514
7.51538,-1.13503
7.51539,-1.13492
7.5154,-1.1348
7.5154,-1.13468
7.51541,-1.13456
7.51542,-1.13443
7.51543,-1.1343
7.51544,-1.13417
7.51545,-1.13403
7.51545,-1.13389
7.51546,-1.13374
7.51547,-1.13359
7.51548,-1.13344
7.51549,-1.13328
7.5155,-1.13312
7.51551,-1.13295
7.51552,-1.13278
7.51553,-1.1326
7.51554,-1.13242
7.51555,-1.13223
7.51557,-1.13204
7.51558,-1.13184
7.51559,-1.13164
7.5156,-1.13143
7.51561,-1.13121
7.51563,-1.13099
7.51564,-1.13076
7.51565,-1.13053
7.51567,-1.13028
7.51568,-1.13003
7.5157,-1.12978
7.51571,-1.12951
7.51573,-1.12924
7.51574,-1.12896
7.51576,-1.12867
7.51577,-1.12837
7.51579,-1.12806
7.51581,-1.12774
7.51582,-1.12742
7.51584,-1.12708
7.51586,-1.12673
7.51588,-1.12637
7.5159,-1.12601
7.51592,-1.12562
7.51594,-1.12523
7.51596,-1.12483
7.51598,-1.12441
7.516,-1.12398
7.516,-1.12393
7.51602,-1.12353
7.51604,-1.12307
7.51606,-1.1226
7.51609,-1.12211
7.51611,-1.1216
7.51614,-1.12108
7.51616,-1.12054
7.51619,-1.11999
7.51621,-1.11941
7.51624,-1.11882
7.51627,-1.11821
7.5163,-1.11758
7.51632,-1.11692
7.51635,-1.11625
7.51638,-1.11555
7.51641,-1.11483
7.51645,-1.11408
7.51648,-1.11331
7.51651,-1.11252
7.51654,-1.11169
7.51658,-1.11084
7.51661,-1.10996
7.51665,-1.10905
7.51669,-1.10811
7.51673,-1.10714
7.51676,-1.10613
7.5168,-1.10509
7.51685,-1.10401
7.51689,-1.1029
7.51693,-1.10175
7.51697,-1.10055
7.51702,-1.09932
7.51706,-1.09804
7.51711,-1.09672
7.51716,-1.09535
7.51721,-1.09394
7.51726,-1.09247
7.51731,-1.09096
7.51736,-1.08939
7.51741,-1.08776
7.51747,-1.08608
7.51753,-1.08434
7.51758,-1.08254
7.51764,-1.08067
7.5177,-1.07874
7.51776,-1.07674
7.51783,-1.07467
7.51789,-1.07253
7.51796,-1.07032
7.518,-1.06893
7.51803,-1.06802
7.5181,-1.06565
7.51817,-1.06319
7.51824,-1.06065
7.51831,-1.05802
7.51839,-1.0553
7.51847,-1.05248
7.51855,-1.04957
7.51863,-1.04655
7.51871,-1.04344
7.5188,-1.04021
7.51889,-1.03688
7.51897,-1.03343
7.51907,-1.02987
7.51916,-1.02619
7.51926,-1.02238
7.51935,-1.01845
7.51945,-1.01439
7.51956,-1.0102
7.51966,-1.00587
7.51977,-1.0014
7.51988,-0.996788
7.51999,-0.99203
7.52,-0.991752
7.52011,-0.987123
7.52023,-0.982064
7.52035,-0.97685
7.52047,-0.971478
7.5206,-0.965945
7.52073,-0.960248
7.52086,-0.954385
7.521,-0.948353
7.52114,-0.942151
7.52128,-0.935776
7.52142,-0.929226
7.52157,-0.922501
7.52172,-0.915599
7.52188,-0.908519
7.522,-0.903112
7.52204,-0.90126
7.5222,-0.893822
7.52237,-0.886205
7.52254,-0.87841
7.52272,-0.870438
7.5229,-0.862289
7.52308,-0.853966
7.52327,-0.84547
7.52346,-0.836805
7.52366,-0.827973
7.52386,-0.818978
7.524,-0.812722
7.52407,-0.809825
7.52428,-0.800517
7.52449,-0.791059
7.52471,-0.781459
7.52494,-0.771721
7.52517,-0.761852
7.52541,-0.75186
7.52565,-0.741752
7.5259,-0.731537
7.526,-0.727385
7.52615,-0.721222
7.52641,-0.710818
7.52668,-0.700333
7.52695,-0.689778
7.52723,-0.679162
7.52751,-0.668497
7.52781,-0.657793
7.528,-0.650791
7.5281,-0.647061
7.52841,-0.636312
7.52872,-0.625558
7.52904,-0.61481
7.52937,-0.60408
7.52971,-0.593379
7.53,-0.58424
7.53005,-0.58272
7.5304,-0.572112
7.53076,-0.561569
7.53113,-0.5511
7.5315,-0.540717
7.53189,-0.53043
