C:\Users\oper\labQT\Lab2025\2D Qubit\QTLab2526\2DQuBit\Sonnet\2D_sonnet_new.son DE_EMBEDDED Lk=0.0
FREQUENCY (GHz), DB[S21]-2D_sonnet_new
12.874,-1.13236
12.876,-1.13191
12.878,-1.13146
12.88,-1.131
12.882,-1.13055
12.884,-1.1301
12.886,-1.12964
12.888,-1.12919
12.89,-1.12874
12.892,-1.12829
12.894,-1.12783
12.896,-1.12738
12.898,-1.12693
12.9,-1.12647
12.902,-1.12602
12.904,-1.12556
12.906,-1.12511
12.908,-1.12465
12.91,-1.1242
12.912,-1.12375
12.914,-1.12329
12.916,-1.12284
12.918,-1.12238
12.92,-1.12193
12.922,-1.12147
12.924,-1.12102
12.926,-1.12056
12.928,-1.1201
12.93,-1.11965
12.932,-1.11919
12.934,-1.11874
12.936,-1.11828
12.938,-1.11782
12.94,-1.11737
12.942,-1.11691
12.944,-1.11645
12.946,-1.116
12.948,-1.11554
12.95,-1.11508
12.952,-1.11463
12.954,-1.11417
12.956,-1.11371
12.958,-1.11325
12.96,-1.1128
12.962,-1.11234
12.964,-1.11188
12.966,-1.11142
12.968,-1.11096
12.97,-1.11051
12.972,-1.11005
12.974,-1.10959
12.976,-1.10913
12.978,-1.10867
12.98,-1.10821
12.982,-1.10775
12.984,-1.10729
12.986,-1.10683
12.988,-1.10637
12.99,-1.10592
12.992,-1.10546
12.994,-1.105
12.996,-1.10454
12.998,-1.10408
13,-1.10362
13.002,-1.10315
13.004,-1.10269
13.006,-1.10223
13.008,-1.10177
13.01,-1.10131
13.012,-1.10085
13.014,-1.10039
13.016,-1.09993
13.018,-1.09947
13.02,-1.09901
13.022,-1.09854
13.024,-1.09808
13.026,-1.09762
13.028,-1.09716
13.03,-1.0967
13.032,-1.09624
13.034,-1.09577
13.036,-1.09531
13.038,-1.09485
13.04,-1.09439
13.042,-1.09392
13.044,-1.09346
13.046,-1.093
13.048,-1.09253
13.05,-1.09207
13.052,-1.09161
13.054,-1.09114
13.056,-1.09068
13.058,-1.09022
13.06,-1.08975
13.062,-1.08929
13.064,-1.08883
13.066,-1.08836
13.068,-1.0879
13.07,-1.08743
13.072,-1.08697
13.074,-1.0865
13.076,-1.08604
13.078,-1.08557
13.08,-1.08511
13.082,-1.08464
13.084,-1.08418
13.086,-1.08371
13.088,-1.08325
13.09,-1.08278
13.092,-1.08232
13.094,-1.08185
13.096,-1.08139
13.098,-1.08092
13.1,-1.08046
13.102,-1.07999
13.104,-1.07952
13.106,-1.07906
13.108,-1.07859
13.11,-1.07812
13.112,-1.07766
13.114,-1.07719
13.116,-1.07672
13.118,-1.07626
13.12,-1.07579
13.122,-1.07532
13.124,-1.07486
13.126,-1.07439
13.128,-1.07392
13.13,-1.07345
13.132,-1.07299
13.134,-1.07252
13.136,-1.07205
13.138,-1.07158
13.14,-1.07111
13.142,-1.07065
13.144,-1.07018
13.146,-1.06971
13.148,-1.06924
13.15,-1.06877
13.152,-1.0683
13.154,-1.06784
13.156,-1.06737
13.158,-1.0669
13.16,-1.06643
13.162,-1.06596
13.164,-1.06549
13.166,-1.06502
13.168,-1.06455
13.17,-1.06408
13.172,-1.06361
13.174,-1.06314
13.176,-1.06267
13.178,-1.06221
13.18,-1.06174
13.182,-1.06127
13.184,-1.0608
13.186,-1.06032
13.188,-1.05985
13.19,-1.05938
13.192,-1.05891
13.194,-1.05844
13.196,-1.05797
13.198,-1.0575
13.2,-1.05703
13.202,-1.05656
13.204,-1.05609
13.206,-1.05562
13.208,-1.05515
13.21,-1.05468
13.212,-1.05421
13.214,-1.05373
13.216,-1.05326
13.218,-1.05279
13.22,-1.05232
13.222,-1.05185
13.224,-1.05138
13.226,-1.0509
13.228,-1.05043
13.23,-1.04996
13.232,-1.04949
13.234,-1.04902
13.236,-1.04854
13.238,-1.04807
13.24,-1.0476
13.242,-1.04713
13.244,-1.04665
13.246,-1.04618
13.248,-1.04571
13.25,-1.04523
13.252,-1.04476
13.254,-1.04429
13.256,-1.04382
13.258,-1.04334
13.26,-1.04287
13.262,-1.0424
13.264,-1.04192
13.266,-1.04145
13.268,-1.04098
13.27,-1.0405
13.272,-1.04003
13.274,-1.03956
13.276,-1.03908
13.278,-1.03861
13.28,-1.03813
13.282,-1.03766
13.284,-1.03719
13.286,-1.03671
13.288,-1.03624
13.29,-1.03576
13.292,-1.03529
13.294,-1.03481
13.296,-1.03434
13.298,-1.03387
13.3,-1.03339
13.302,-1.03292
13.304,-1.03244
13.306,-1.03197
13.308,-1.03149
13.31,-1.03102
13.312,-1.03054
13.314,-1.03007
13.316,-1.02959
13.318,-1.02912
13.32,-1.02864
13.322,-1.02817
13.324,-1.02769
13.326,-1.02722
13.328,-1.02674
13.33,-1.02626
13.332,-1.02579
13.334,-1.02531
13.336,-1.02484
13.338,-1.02436
13.34,-1.02389
13.342,-1.02341
13.344,-1.02293
13.346,-1.02246
13.348,-1.02198
13.35,-1.02151
13.352,-1.02103
13.354,-1.02055
13.356,-1.02008
13.358,-1.0196
13.36,-1.01913
13.362,-1.01865
13.364,-1.01817
13.366,-1.0177
13.368,-1.01722
13.37,-1.01674
13.372,-1.01627
13.374,-1.01579
13.376,-1.01531
13.378,-1.01484
13.38,-1.01436
13.382,-1.01388
13.384,-1.01341
13.386,-1.01293
13.388,-1.01245
13.39,-1.01198
13.392,-1.0115
13.394,-1.01102
13.396,-1.01054
13.398,-1.01007
13.4,-1.00959
13.402,-1.00911
13.404,-1.00864
13.406,-1.00816
13.408,-1.00768
13.41,-1.0072
13.412,-1.00673
13.414,-1.00625
13.416,-1.00577
13.418,-1.00529
13.42,-1.00482
13.422,-1.00434
13.424,-1.00386
13.426,-1.00338
13.428,-1.00291
13.43,-1.00243
13.432,-1.00195
13.434,-1.00147
13.436,-1.001
13.438,-1.00052
13.44,-1.00004
13.442,-0.999562
13.444,-0.999084
13.446,-0.998606
13.448,-0.998129
13.45,-0.997651
13.452,-0.997173
13.454,-0.996695
13.456,-0.996217
13.458,-0.995739
13.46,-0.995261
13.462,-0.994783
13.464,-0.994305
13.466,-0.993827
13.468,-0.993349
13.47,-0.992871
13.472,-0.992393
13.474,-0.991915
13.476,-0.991437
13.478,-0.990959
13.48,-0.990481
13.482,-0.990002
13.484,-0.989524
13.486,-0.989046
13.488,-0.988568
13.49,-0.98809
13.492,-0.987612
13.494,-0.987134
13.496,-0.986656
13.498,-0.986177
13.5,-0.985699
13.502,-0.985221
13.504,-0.984743
13.506,-0.984265
13.508,-0.983787
13.51,-0.983309
13.512,-0.98283
13.514,-0.982352
13.516,-0.981874
13.518,-0.981396
13.52,-0.980918
13.522,-0.98044
13.524,-0.979962
13.526,-0.979484
13.528,-0.979006
13.53,-0.978528
13.532,-0.97805
13.534,-0.977571
13.536,-0.977093
13.538,-0.976615
13.54,-0.976137
13.542,-0.97566
13.544,-0.975182
13.546,-0.974704
13.548,-0.974226
13.55,-0.973748
13.552,-0.97327
13.554,-0.972792
13.556,-0.972314
13.558,-0.971837
13.56,-0.971359
13.562,-0.970881
13.564,-0.970403
13.566,-0.969926
13.568,-0.969448
13.57,-0.96897
13.572,-0.968493
13.574,-0.968015
13.576,-0.967538
13.578,-0.96706
13.58,-0.966583
13.582,-0.966105
13.584,-0.965628
13.586,-0.965151
13.588,-0.964673
13.59,-0.964196
13.592,-0.963719
13.594,-0.963242
13.596,-0.962765
13.598,-0.962288
13.6,-0.961811
13.602,-0.961334
13.604,-0.960857
13.606,-0.96038
13.608,-0.959903
13.61,-0.959426
13.612,-0.95895
13.614,-0.958473
13.616,-0.957997
13.618,-0.95752
13.62,-0.957044
13.622,-0.956567
13.624,-0.956091
13.626,-0.955615
13.628,-0.955138
13.63,-0.954662
13.632,-0.954186
13.634,-0.95371
13.636,-0.953234
13.638,-0.952758
13.64,-0.952283
13.642,-0.951807
13.644,-0.951331
13.646,-0.950856
13.648,-0.95038
13.65,-0.949905
13.652,-0.94943
13.654,-0.948954
13.656,-0.948479
13.658,-0.948004
13.66,-0.947529
13.662,-0.947054
13.664,-0.94658
13.666,-0.946105
13.668,-0.94563
13.67,-0.945156
13.672,-0.944682
13.674,-0.944207
13.676,-0.943733
13.678,-0.943259
13.68,-0.942785
13.682,-0.942311
13.684,-0.941837
13.686,-0.941364
13.688,-0.94089
13.69,-0.940417
13.692,-0.939943
13.694,-0.93947
13.696,-0.938997
13.698,-0.938524
13.7,-0.938051
13.702,-0.937578
13.704,-0.937106
13.706,-0.936633
13.708,-0.936161
13.71,-0.935689
13.712,-0.935217
13.714,-0.934745
13.716,-0.934273
13.718,-0.933801
13.72,-0.93333
13.722,-0.932858
13.724,-0.932387
13.726,-0.931916
13.728,-0.931445
13.73,-0.930974
