# Frequenza (Hz)	S21 (dB)
4.093000e+09	-8.623812e-01
4.093300e+09	-8.659997e-01
4.093600e+09	-8.615206e-01
4.093900e+09	-8.587444e-01
4.094200e+09	-8.552165e-01
4.094500e+09	-8.600058e-01
4.094800e+09	-8.524794e-01
4.095100e+09	-8.515409e-01
4.095400e+09	-8.569496e-01
4.095700e+09	-8.602727e-01
4.096000e+09	-8.613640e-01
4.096300e+09	-8.608156e-01
4.096600e+09	-8.598572e-01
4.096900e+09	-8.511627e-01
4.097200e+09	-8.634703e-01
4.097500e+09	-8.620774e-01
4.097800e+09	-8.576455e-01
4.098100e+09	-8.628077e-01
4.098400e+09	-8.625039e-01
4.098700e+09	-8.591464e-01
4.099000e+09	-8.588873e-01
4.099300e+09	-8.533829e-01
4.099600e+09	-8.648408e-01
4.099900e+09	-8.602935e-01
4.100200e+09	-8.482862e-01
4.100500e+09	-8.532054e-01
4.100800e+09	-8.522569e-01
4.101100e+09	-8.572666e-01
4.101400e+09	-8.557913e-01
4.101700e+09	-8.533196e-01
4.102000e+09	-8.528811e-01
4.102300e+09	-8.576255e-01
4.102600e+09	-8.643436e-01
4.102900e+09	-8.509950e-01
4.103200e+09	-8.598177e-01
4.103500e+09	-8.651053e-01
4.103800e+09	-8.496314e-01
4.104100e+09	-8.570016e-01
4.104400e+09	-8.568834e-01
4.104700e+09	-8.580180e-01
4.105000e+09	-8.559035e-01
4.105300e+09	-8.517482e-01
4.105600e+09	-8.571542e-01
4.105900e+09	-8.547136e-01
4.106200e+09	-8.514275e-01
4.106500e+09	-8.539048e-01
4.106800e+09	-8.561003e-01
4.107100e+09	-8.567484e-01
4.107400e+09	-8.599525e-01
4.107700e+09	-8.562377e-01
4.108000e+09	-8.530441e-01
4.108300e+09	-8.547364e-01
4.108600e+09	-8.531869e-01
4.108900e+09	-8.534795e-01
4.109200e+09	-8.498603e-01
4.109500e+09	-8.516100e-01
4.109800e+09	-8.570104e-01
4.110100e+09	-8.546225e-01
4.110400e+09	-8.578913e-01
4.110700e+09	-8.519674e-01
4.111000e+09	-8.520787e-01
4.111300e+09	-8.553304e-01
4.111600e+09	-8.562544e-01
4.111900e+09	-8.564906e-01
4.112200e+09	-8.514951e-01
4.112500e+09	-8.516370e-01
4.112800e+09	-8.554598e-01
4.113100e+09	-8.549528e-01
4.113400e+09	-8.538743e-01
4.113700e+09	-8.479891e-01
4.114000e+09	-8.522436e-01
4.114300e+09	-8.510820e-01
4.114600e+09	-8.531468e-01
4.114900e+09	-8.508379e-01
4.115200e+09	-8.564159e-01
4.115500e+09	-8.516269e-01
4.115800e+09	-8.525541e-01
4.116100e+09	-8.530675e-01
4.116400e+09	-8.558456e-01
4.116700e+09	-8.539467e-01
4.117000e+09	-8.524602e-01
4.117300e+09	-8.520900e-01
4.117600e+09	-8.524664e-01
4.117900e+09	-8.521017e-01
4.118200e+09	-8.535082e-01
4.118500e+09	-8.517237e-01
4.118800e+09	-8.516465e-01
4.119100e+09	-8.538403e-01
4.119400e+09	-8.511334e-01
4.119700e+09	-8.514567e-01
4.120000e+09	-8.527569e-01
