Freq	I	Q
7.990890000000000000e+09	8.681861900000000659e-03	-9.016685700000000650e-03
7.990895000000000000e+09	8.646212999999999815e-03	-9.043733499999999717e-03
7.990900000000000000e+09	8.603382200000000632e-03	-9.059822099999999961e-03
7.990905000000000000e+09	8.550308100000000855e-03	-9.088441799999999460e-03
7.990910000000000000e+09	8.527948000000000472e-03	-9.090728399999999446e-03
7.990915000000000000e+09	8.511687599999999757e-03	-9.124849299999999649e-03
7.990920000000000000e+09	8.447147599999999673e-03	-9.112990899999999506e-03
7.990925000000000000e+09	8.422092699999999751e-03	-9.126906799999999140e-03
7.990930000000000000e+09	8.366239500000000745e-03	-9.156693900000000344e-03
7.990935000000000000e+09	8.348753299999999225e-03	-9.151663299999999654e-03
7.990940000000000000e+09	8.296238900000000790e-03	-9.169098400000000662e-03
7.990945000000000000e+09	8.280669500000000655e-03	-9.165580099999999161e-03
7.990950000000000000e+09	8.234672400000000309e-03	-9.206973599999999577e-03
7.990955000000000000e+09	8.198232800000000015e-03	-9.200205200000000430e-03
7.990960000000000000e+09	8.161396099999999182e-03	-9.192032600000000359e-03
7.990965000000000000e+09	8.110897100000000193e-03	-9.205334199999999981e-03
7.990970000000000000e+09	8.078829100000000513e-03	-9.231344900000000575e-03
7.990975000000000000e+09	8.010496599999999967e-03	-9.234434899999999571e-03
7.990980000000000000e+09	7.975443400000000599e-03	-9.242787699999999509e-03
7.990985000000000000e+09	7.944638000000000394e-03	-9.267233099999999321e-03
7.990990000000000000e+09	7.917238899999999927e-03	-9.291350599999999640e-03
7.990995000000000000e+09	7.865845800000000054e-03	-9.277080400000000185e-03
7.991000000000000000e+09	7.824349799999999813e-03	-9.300155699999999859e-03
7.991005000000000000e+09	7.745275400000000386e-03	-9.301026500000000169e-03
7.991010000000000000e+09	7.730220799999999726e-03	-9.308529299999999951e-03
7.991015000000000000e+09	7.716012300000000060e-03	-9.307221900000000811e-03
7.991020000000000000e+09	7.659488899999999760e-03	-9.308604499999999574e-03
7.991025000000000000e+09	7.615830300000000185e-03	-9.342437699999999248e-03
7.991030000000000000e+09	7.583327899999999823e-03	-9.349496800000000815e-03
7.991035000000000000e+09	7.554804400000000170e-03	-9.364295800000000183e-03
7.991040000000000000e+09	7.476849100000000289e-03	-9.379067499999999349e-03
7.991045000000000000e+09	7.444507099999999981e-03	-9.375481800000000018e-03
7.991050000000000000e+09	7.420668200000000124e-03	-9.362577999999999873e-03
7.991055000000000000e+09	7.388697900000000367e-03	-9.398314799999999899e-03
7.991060000000000000e+09	7.320972700000000048e-03	-9.416244000000000697e-03
7.991065000000000000e+09	7.289438599999999852e-03	-9.398011600000000590e-03
7.991070000000000000e+09	7.245707300000000205e-03	-9.384548899999999375e-03
7.991075000000000000e+09	7.220579900000000280e-03	-9.423577699999999627e-03
7.991080000000000000e+09	7.162131999999999873e-03	-9.410863800000000487e-03
7.991085000000000000e+09	7.128244100000000194e-03	-9.426361399999999557e-03
7.991090000000000000e+09	7.067161399999999892e-03	-9.444782900000000397e-03
7.991095000000000000e+09	7.033983599999999933e-03	-9.450571700000000297e-03
7.991100000000000000e+09	6.981317899999999778e-03	-9.465991599999999326e-03
7.991105000000000000e+09	6.937172099999999730e-03	-9.447490500000000832e-03
7.991110000000000000e+09	6.894716700000000191e-03	-9.465527399999999758e-03
7.991115000000000000e+09	6.857163700000000126e-03	-9.470914199999999616e-03
7.991120000000000000e+09	6.837367100000000045e-03	-9.464748300000000794e-03
7.991125000000000000e+09	6.760528400000000160e-03	-9.457301499999999292e-03
7.991130000000000000e+09	6.721908199999999597e-03	-9.474909599999999446e-03
7.991135000000000000e+09	6.693688799999999994e-03	-9.473554199999999550e-03
7.991140000000000000e+09	6.638991000000000337e-03	-9.474010499999999460e-03
7.991145000000000000e+09	6.599830000000000106e-03	-9.466986000000000151e-03
7.991150000000000000e+09	6.554895699999999624e-03	-9.488415800000000316e-03
7.991155000000000000e+09	6.506872399999999619e-03	-9.479229100000000074e-03
7.991160000000000000e+09	6.478597099999999602e-03	-9.499717799999999809e-03
7.991165000000000000e+09	6.403009000000000304e-03	-9.471535200000000612e-03
7.991170000000000000e+09	6.370288699999999797e-03	-9.477499400000000476e-03
7.991175000000000000e+09	6.354376600000000326e-03	-9.483043300000000564e-03
7.991180000000000000e+09	6.293443000000000127e-03	-9.464400899999999422e-03
7.991185000000000000e+09	6.239741499999999774e-03	-9.489737899999999698e-03
7.991190000000000000e+09	6.204610800000000433e-03	-9.501321599999999409e-03
7.991195000000000000e+09	6.157854499999999669e-03	-9.482115699999999966e-03
