Freq	I	Q
5.097500000000000000e+09	1.674385520000000113e-02	1.911809290000000133e-02
5.098475000000000000e+09	2.230715169999999969e-02	1.206687139999999998e-02
5.099450000000000000e+09	2.508543410000000154e-02	3.509851799999999869e-03
5.100425000000000000e+09	2.467526490000000045e-02	-5.409174800000000373e-03
5.101400000000000000e+09	2.119551050000000048e-02	-1.362875960000000004e-02
5.102375000000000000e+09	1.511610660000000002e-02	-2.011716989999999886e-02
5.103350000000000000e+09	7.143120700000000003e-03	-2.407595510000000091e-02
5.104325000000000000e+09	-1.672023400000000048e-03	-2.505841409999999894e-02
5.105300000000000000e+09	-1.028753110000000040e-02	-2.290069910000000139e-02
5.106275000000000000e+09	-1.758984389999999898e-02	-1.788247839999999866e-02
5.107250000000000000e+09	-2.271881950000000094e-02	-1.061809499999999927e-02
5.108225000000000000e+09	-2.498881149999999940e-02	-2.032083699999999871e-03
5.109200000000000000e+09	-2.412303500000000100e-02	6.791945399999999890e-03
5.110175000000000000e+09	-2.024796569999999865e-02	1.479994689999999946e-02
5.111150000000000000e+09	-1.380821649999999963e-02	2.095167640000000081e-02
5.112125000000000000e+09	-5.608395999999999867e-03	2.445516240000000091e-02
5.113100000000000000e+09	3.271396499999999936e-03	2.487884049999999903e-02
5.114075000000000000e+09	1.175791009999999949e-02	2.216079129999999967e-02
5.115050000000000000e+09	1.878018840000000161e-02	1.662384890000000170e-02
5.116025000000000000e+09	2.343467980000000020e-02	9.017354800000000267e-03
5.117000000000000000e+09	2.506788849999999971e-02	2.664125999999999842e-04
5.117975000000000000e+09	2.359435140000000139e-02	-8.517383999999999372e-03
5.118950000000000000e+09	1.909483429999999857e-02	-1.620889719999999909e-02
5.119925000000000000e+09	1.222233189999999935e-02	-2.184144769999999888e-02
5.120900000000000000e+09	3.830018599999999909e-03	-2.471467440000000085e-02
5.121875000000000000e+09	-5.049617099999999768e-03	-2.447911779999999843e-02
5.122850000000000000e+09	-1.325181679999999987e-02	-2.118378510000000145e-02
5.123825000000000000e+09	-1.978447289999999900e-02	-1.519998889999999922e-02
5.124800000000000000e+09	-2.384664250000000096e-02	-7.339724100000000195e-03
5.125775000000000000e+09	-2.486586530000000142e-02	1.451134699999999996e-03
5.126750000000000000e+09	-2.280980700000000139e-02	1.003589929999999970e-02
5.127725000000000000e+09	-1.788380360000000127e-02	1.733797470000000146e-02
5.128700000000000000e+09	-1.070589670000000014e-02	2.249528409999999867e-02
5.129675000000000000e+09	-2.183189999999999784e-03	2.482731410000000097e-02
5.130650000000000000e+09	6.608070300000000279e-03	2.398683240000000147e-02
5.131625000000000000e+09	1.458445449999999990e-02	2.020628600000000039e-02
5.132600000000000000e+09	2.072233869999999881e-02	1.384009320000000043e-02
5.133575000000000000e+09	2.424846510000000163e-02	5.730363399999999739e-03
5.134550000000000000e+09	2.474263640000000028e-02	-3.106655399999999970e-03
5.135525000000000000e+09	2.213761779999999860e-02	-1.153566309999999942e-02
5.136500000000000000e+09	1.671470150000000168e-02	-1.855195280000000030e-02
5.137475000000000000e+09	9.193270700000000586e-03	-2.323824489999999979e-02
5.138450000000000000e+09	5.083985999999999540e-04	-2.498908559999999876e-02
5.139425000000000000e+09	-8.260562299999999608e-03	-2.361394870000000160e-02
5.140400000000000000e+09	-1.600407490000000169e-02	-1.924309689999999934e-02
5.141375000000000000e+09	-2.170323719999999942e-02	-1.247184269999999928e-02
5.142350000000000000e+09	-2.470150639999999995e-02	-4.106124699999999864e-03
5.143325000000000000e+09	-2.461592550000000004e-02	4.792080199999999846e-03
5.144300000000000000e+09	-2.141893110000000003e-02	1.307984599999999914e-02
5.145275000000000000e+09	-1.548339049999999939e-02	1.973320110000000016e-02
5.146250000000000000e+09	-7.646893400000000229e-03	2.390474630000000156e-02
5.147225000000000000e+09	1.185926599999999895e-03	2.509696989999999836e-02
5.148200000000000000e+09	9.874044099999999824e-03	2.311178209999999872e-02
5.149175000000000000e+09	1.735114169999999942e-02	1.824929380000000004e-02
5.150150000000000000e+09	2.265272949999999966e-02	1.105048139999999929e-02
5.151125000000000000e+09	2.512202200000000080e-02	2.436436900000000030e-03
5.152100000000000000e+09	2.443605329999999978e-02	-6.484929000000000388e-03
5.153075000000000000e+09	2.065546559999999893e-02	-1.464380090000000009e-02
5.154050000000000000e+09	1.425366750000000085e-02	-2.096360549999999948e-02
5.155025000000000000e+09	6.020969600000000352e-03	-2.470683699999999886e-02
5.156000000000000000e+09	-3.000855299999999858e-03	-2.527736839999999985e-02
5.156975000000000000e+09	-1.165759719999999965e-02	-2.266468909999999962e-02
5.157950000000000000e+09	-1.891031229999999910e-02	-1.718726019999999854e-02
5.158925000000000000e+09	-2.376061070000000039e-02	-9.480033299999999358e-03
5.159900000000000000e+09	-2.561632380000000014e-02	-5.579362999999999727e-04
5.160875000000000000e+09	-2.423208040000000146e-02	8.466575400000000626e-03
5.161850000000000000e+09	-1.975261879999999984e-02	1.643165410000000173e-02
5.162825000000000000e+09	-1.273911269999999929e-02	2.234929890000000169e-02
5.163800000000000000e+09	-4.084662400000000325e-03	2.541876510000000075e-02
5.164775000000000000e+09	5.088488399999999655e-03	2.525259720000000083e-02
5.165750000000000000e+09	1.361532279999999942e-02	2.189368709999999982e-02
5.166725000000000000e+09	2.044904750000000118e-02	1.574089789999999836e-02
5.167700000000000000e+09	2.468414060000000132e-02	7.601950599999999884e-03
5.168675000000000000e+09	2.579925970000000041e-02	-1.546317699999999982e-03
5.169650000000000000e+09	2.366635129999999920e-02	-1.048513799999999975e-02
5.170625000000000000e+09	1.850211430000000060e-02	-1.811462390000000144e-02
5.171600000000000000e+09	1.102080759999999986e-02	-2.347826709999999845e-02
5.172575000000000000e+09	2.095685600000000114e-03	-2.587798560000000025e-02
5.173550000000000000e+09	-7.105258199999999781e-03	-2.499876740000000000e-02
5.174525000000000000e+09	-1.543743659999999990e-02	-2.097645169999999906e-02
5.175500000000000000e+09	-2.183941379999999877e-02	-1.424756270000000075e-02
5.176475000000000000e+09	-2.552548259999999972e-02	-5.694428599999999847e-03
5.177450000000000000e+09	-2.593045940000000132e-02	3.629968700000000149e-03
5.178425000000000000e+09	-2.303891560000000116e-02	1.251231239999999953e-02
5.179400000000000000e+09	-1.720116130000000007e-02	1.986419700000000010e-02
5.180375000000000000e+09	-9.132989500000000815e-03	2.467257219999999945e-02
5.181350000000000000e+09	1.392696999999999924e-04	2.634781950000000122e-02
5.182325000000000000e+09	9.393497900000000525e-03	2.464042240000000050e-02
5.183300000000000000e+09	1.749568660000000095e-02	1.979003719999999911e-02
5.184275000000000000e+09	2.335862760000000093e-02	1.237485259999999976e-02
5.185250000000000000e+09	2.624327640000000128e-02	3.351118799999999991e-03
5.186225000000000000e+09	2.572796080000000138e-02	-6.115777099999999793e-03
