C:\Users\oper\labQT\Lab2025\2D Qubit\QTLab2526\2DQuBit\Sonnet\2D_sonnet_new.son DE_EMBEDDED Lk=0.0
FREQUENCY (GHz), DB[S21]-2D_sonnet_new
15.1373,-0.379613
15.1394,-0.387794
15.14,-0.390334
15.1414,-0.396247
15.1433,-0.404979
15.1452,-0.413993
15.1471,-0.423297
15.1489,-0.432893
15.1507,-0.442787
15.1524,-0.452983
15.1541,-0.463484
15.1558,-0.474294
15.1574,-0.485416
15.159,-0.496852
15.16,-0.504498
15.1605,-0.508604
15.162,-0.520673
15.1635,-0.533061
15.165,-0.545767
15.1664,-0.55879
15.1677,-0.57213
15.1691,-0.585783
15.1704,-0.599748
15.1717,-0.614021
15.1729,-0.628596
15.1742,-0.643469
15.1754,-0.658634
15.1765,-0.674082
15.1777,-0.689806
15.1788,-0.705797
15.1799,-0.722045
15.18,-0.723664
15.181,-0.738538
15.182,-0.755265
15.183,-0.772213
15.184,-0.789369
15.185,-0.806717
15.1859,-0.824243
15.1869,-0.84193
15.1878,-0.859762
15.1887,-0.877721
15.1895,-0.895789
15.1904,-0.913947
15.1912,-0.932176
15.192,-0.950457
15.1928,-0.96877
15.1936,-0.987094
15.1943,-1.00541
15.1951,-1.0237
15.1958,-1.04194
15.1965,-1.0601
15.1972,-1.07818
15.1978,-1.09615
15.1985,-1.114
15.1991,-1.13169
15.1998,-1.14922
15.2,-1.15595
15.2004,-1.16657
15.201,-1.18372
15.2016,-1.20065
15.2021,-1.21735
15.2027,-1.23381
15.2032,-1.25
15.2038,-1.26592
15.2043,-1.28156
15.2048,-1.2969
15.2053,-1.31194
15.2058,-1.32666
15.2062,-1.34106
15.2067,-1.35513
15.2072,-1.36887
15.2076,-1.38227
15.208,-1.39532
15.2085,-1.40803
15.2089,-1.42039
15.2093,-1.4324
15.2097,-1.44406
15.2101,-1.45537
15.2104,-1.46633
15.2108,-1.47695
15.2112,-1.48722
15.2115,-1.49715
15.2118,-1.50674
15.2122,-1.516
15.2125,-1.52493
15.2128,-1.53354
15.2131,-1.54183
15.2134,-1.54982
15.2137,-1.55749
15.214,-1.56487
15.2143,-1.57196
15.2146,-1.57876
15.2149,-1.58528
15.2151,-1.59154
15.2154,-1.59753
15.2156,-1.60326
15.2159,-1.60875
15.2161,-1.614
15.2164,-1.61902
15.2166,-1.62381
15.2168,-1.62838
15.2171,-1.63274
15.2173,-1.6369
15.2175,-1.64086
15.2177,-1.64463
15.2179,-1.64823
15.2181,-1.65164
15.2183,-1.65489
15.2185,-1.65797
15.2186,-1.6609
15.2188,-1.66368
15.219,-1.66632
15.2192,-1.66881
15.2193,-1.67118
15.2195,-1.67342
15.2197,-1.67554
15.2198,-1.67754
15.22,-1.67944
15.22,-1.67985
15.2201,-1.68122
15.2203,-1.68291
15.2204,-1.6845
15.2205,-1.68599
15.2207,-1.6874
15.2208,-1.68873
15.2209,-1.68997
15.2211,-1.69114
15.2212,-1.69223
15.2213,-1.69326
15.2214,-1.69422
15.2215,-1.69512
15.2217,-1.69596
15.2218,-1.69674
15.2219,-1.69747
15.222,-1.69815
15.2221,-1.69878
15.2222,-1.69936
15.2223,-1.6999
15.2224,-1.7004
15.2225,-1.70086
15.2226,-1.70128
15.2226,-1.70167
15.2227,-1.70202
15.2228,-1.70235
15.2229,-1.70264
15.223,-1.7029
15.2231,-1.70314
15.2231,-1.70336
15.2232,-1.70355
15.2233,-1.70372
15.2234,-1.70386
15.2234,-1.70399
15.2235,-1.7041
15.2236,-1.70419
15.2236,-1.70427
15.2237,-1.70433
15.2238,-1.70438
15.2238,-1.70441
15.2239,-1.70443
15.2239,-1.70444
15.224,-1.70443
15.2241,-1.70442
15.2241,-1.7044
15.2242,-1.70437
15.2242,-1.70433
15.2243,-1.70428
15.2243,-1.70423
15.2244,-1.70416
15.2244,-1.7041
15.2245,-1.70402
15.2245,-1.70395
15.2246,-1.70386
15.2246,-1.70378
15.2246,-1.70369
15.2247,-1.70359
15.2247,-1.70349
15.2248,-1.70339
15.2248,-1.70329
15.2248,-1.70318
15.2249,-1.70308
15.2249,-1.70297
15.225,-1.70285
15.225,-1.70274
15.225,-1.70263
15.2251,-1.70251
15.2251,-1.7024
15.2251,-1.70228
15.2251,-1.70217
15.2252,-1.70205
15.2252,-1.70193
15.2252,-1.70181
15.2253,-1.7017
15.2253,-1.70158
15.2253,-1.70147
15.2253,-1.70135
15.2254,-1.70123
15.2254,-1.70112
15.2254,-1.701
15.2254,-1.70089
15.2255,-1.70078
15.2255,-1.70067
15.2255,-1.70056
15.2255,-1.70045
15.2256,-1.70034
15.2256,-1.70023
15.2256,-1.70012
15.2256,-1.70002
15.2256,-1.69991
15.2257,-1.69981
15.2257,-1.69971
15.2257,-1.69961
15.2257,-1.69951
15.2257,-1.69941
15.2257,-1.69932
15.2258,-1.69922
15.2258,-1.69913
15.2258,-1.69903
15.2258,-1.69894
15.2258,-1.69885
15.2258,-1.69876
15.2258,-1.69868
15.2259,-1.69859
15.2259,-1.69851
15.2259,-1.69842
15.2259,-1.69834
15.2259,-1.69826
15.2259,-1.69818
15.2259,-1.69811
15.226,-1.69803
15.226,-1.69795
15.226,-1.69788
15.226,-1.69781
15.226,-1.69774
15.226,-1.69767
15.226,-1.6976
15.226,-1.69753
15.226,-1.69746
15.226,-1.6974
15.2261,-1.69734
15.2261,-1.69727
15.2261,-1.69721
15.2261,-1.69715
15.2261,-1.69709
15.2261,-1.69703
15.2261,-1.69698
15.2261,-1.69691
15.2261,-1.69685
15.2261,-1.69679
15.2261,-1.69672
15.2262,-1.69665
15.2262,-1.69658
15.2262,-1.69651
15.2262,-1.69644
15.2262,-1.69636
15.2262,-1.69628
15.2262,-1.6962
15.2262,-1.69612
15.2262,-1.69603
15.2263,-1.69594
15.2263,-1.69585
15.2263,-1.69576
15.2263,-1.69567
15.2263,-1.69557
15.2263,-1.69547
15.2263,-1.69536
15.2263,-1.69526
15.2264,-1.69515
15.2264,-1.69503
15.2264,-1.69491
15.2264,-1.69479
15.2264,-1.69467
15.2264,-1.69454
15.2264,-1.69441
15.2265,-1.69428
15.2265,-1.69414
15.2265,-1.69399
15.2265,-1.69384
15.2265,-1.69369
15.2266,-1.69353
15.2266,-1.69337
15.2266,-1.6932
15.2266,-1.69303
15.2266,-1.69285
15.2267,-1.69267
15.2267,-1.69248
15.2267,-1.69228
15.2267,-1.69208
15.2267,-1.69187
15.2268,-1.69166
15.2268,-1.69144
15.2268,-1.69121
15.2268,-1.69097
15.2269,-1.69073
15.2269,-1.69048
15.2269,-1.69022
15.227,-1.68995
15.227,-1.68967
15.227,-1.68938
15.227,-1.68909
15.2271,-1.68878
15.2271,-1.68847
15.2271,-1.68814
15.2272,-1.6878
15.2272,-1.68745
15.2272,-1.68709
15.2273,-1.68672
15.2273,-1.68633
15.2273,-1.68593
15.2274,-1.68552
15.2274,-1.68509
15.2275,-1.68465
15.2275,-1.68419
15.2275,-1.68371
15.2276,-1.68322
15.2276,-1.68272
15.2277,-1.68219
15.2277,-1.68164
15.2278,-1.68108
15.2278,-1.6805
15.2279,-1.67989
15.2279,-1.67926
15.228,-1.67862
15.228,-1.67794
15.2281,-1.67725
15.2281,-1.67652
15.2282,-1.67577
15.2282,-1.675
15.2283,-1.67419
15.2284,-1.67336
15.2284,-1.67249
15.2285,-1.6716
15.2285,-1.67066
15.2286,-1.6697
15.2287,-1.6687
15.2287,-1.66766
15.2288,-1.66658
15.2289,-1.66546
15.229,-1.6643
15.229,-1.6631
15.2291,-1.66185
15.2292,-1.66055
15.2293,-1.65921
15.2294,-1.65781
15.2294,-1.65636
15.2295,-1.65486
15.2296,-1.65329
15.2297,-1.65167
15.2298,-1.64999
15.2299,-1.64824
15.23,-1.64642
15.2301,-1.64454
15.2302,-1.64258
15.2303,-1.64055
15.2304,-1.63844
15.2305,-1.63624
15.2306,-1.63397
15.2308,-1.6316
15.2309,-1.62915
15.231,-1.6266
15.2311,-1.62395
15.2312,-1.6212
15.2314,-1.61835
15.2315,-1.61539
15.2316,-1.61231
15.2318,-1.60912
15.2319,-1.6058
15.2321,-1.60236
15.2322,-1.59879
15.2324,-1.59508
15.2325,-1.59123
15.2327,-1.58724
15.2328,-1.58309
15.233,-1.57879
15.2332,-1.57434
15.2334,-1.56971
15.2335,-1.56492
15.2337,-1.55994
15.2339,-1.55479
15.2341,-1.54945
15.2343,-1.54391
15.2345,-1.53818
15.2347,-1.53224
15.2349,-1.52608
15.2351,-1.51971
15.2353,-1.51312
15.2356,-1.5063
15.2358,-1.49925
15.236,-1.49195
15.2363,-1.4844
15.2365,-1.47661
15.2368,-1.46856
15.237,-1.46024
15.2373,-1.45165
15.2376,-1.44279
15.2378,-1.43366
15.2381,-1.42423
15.2384,-1.41453
15.2387,-1.40453
15.239,-1.39423
15.2393,-1.38364
15.2397,-1.37274
15.24,-1.36154
15.24,-1.36087
15.2403,-1.35003
15.2407,-1.33822
15.241,-1.3261
15.2414,-1.31367
15.2417,-1.30094
15.2421,-1.28789
15.2425,-1.27454
15.2429,-1.26089
15.2433,-1.24694
15.2437,-1.2327
15.2441,-1.21816
15.2445,-1.20335
15.245,-1.18825
15.2454,-1.17289
15.2459,-1.15726
15.2464,-1.14138
15.2469,-1.12526
15.2474,-1.10891
15.2479,-1.09234
15.2484,-1.07556
15.2489,-1.05859
15.2495,-1.04144
15.25,-1.02413
15.2506,-1.00667
15.2512,-0.989083
15.2518,-0.971378
15.2524,-0.953577
15.253,-0.935697
15.2536,-0.917757
15.2543,-0.899775
15.255,-0.88177
15.2556,-0.863761
15.2563,-0.845769
15.2571,-0.827811
15.2578,-0.809907
15.2586,-0.792076
15.2593,-0.774337
15.26,-0.759153
15.2601,-0.756708
15.2609,-0.739207
15.2617,-0.721852
15.2626,-0.704659
15.2635,-0.687646
15.2643,-0.670829
15.2652,-0.654221
15.2662,-0.637838
15.2671,-0.621693
15.2681,-0.605799
15.2691,-0.590167
15.2701,-0.574809
15.2711,-0.559734
15.2722,-0.544952
15.2733,-0.530471
15.2744,-0.516297
15.2755,-0.502437
15.2767,-0.488897
15.2779,-0.475681
15.2791,-0.462792
15.28,-0.454041
15.2804,-0.450234
15.2817,-0.438007
15.283,-0.426114
15.2843,-0.414553
15.2857,-0.403326
15.2871,-0.39243
15.2885,-0.381865
15.29,-0.371626
15.2915,-0.361713
15.2931,-0.35212
15.2946,-0.342845
15.2963,-0.333882
15.2979,-0.325226
15.2996,-0.316873
15.3,-0.315
15.3013,-0.308817
15.3031,-0.301052
15.3049,-0.293572
15.3068,-0.286371
15.3087,-0.279441
15.3106,-0.272777
15.3126,-0.266372
15.3147,-0.260218
15.3167,-0.254309
15.3189,-0.248637
15.32,-0.245797
15.3211,-0.243197
15.3233,-0.23798
15.3256,-0.23298
15.3279,-0.22819
15.3303,-0.223602
15.3328,-0.219211
15.3353,-0.215009
15.3379,-0.210989
15.34,-0.207836
15.3405,-0.207146
15.3432,-0.203472
15.3459,-0.199962
15.3487,-0.196609
15.3516,-0.193407
15.3546,-0.19035
15.3576,-0.187433
15.36,-0.185263
15.3607,-0.18465
15.3639,-0.181995
15.3671,-0.179463
15.3704,-0.177049
15.3738,-0.174748
15.3773,-0.172555
15.38,-0.170946
15.3808,-0.170466
15.3845,-0.168475
15.3882,-0.166579
15.392,-0.164773
15.3959,-0.163053
15.3999,-0.161415
15.4,-0.161376
15.404,-0.159856
15.4082,-0.158371
15.4124,-0.156957
15.4168,-0.155611
15.42,-0.154693
15.4213,-0.154329
15.4259,-0.153109
15.4306,-0.151946
15.4354,-0.150839
15.44,-0.149847
15.4403,-0.149784
15.4453,-0.148779
15.4505,-0.147821
15.4558,-0.146907
15.46,-0.146216
15.4612,-0.146035
15.4667,-0.145204
15.4723,-0.14441
15.4781,-0.143651
15.48,-0.143413
15.484,-0.142926
15.4901,-0.142232
15.4963,-0.141569
15.5,-0.141191
15.5026,-0.140933
15.5091,-0.140323
15.5158,-0.139738
15.52,-0.139383
15.5226,-0.139175
15.5295,-0.138634
15.5367,-0.138113
15.54,-0.137879
15.5439,-0.137611
15.5514,-0.137126
15.559,-0.136657
15.56,-0.1366
15.5669,-0.136202
15.5749,-0.135762
15.58,-0.13549
15.583,-0.135334
15.5914,-0.134917
15.6,-0.13451
15.62,-0.13363
15.64,-0.132828
15.66,-0.132087
15.68,-0.131395
15.7,-0.130742
15.72,-0.130121
15.74,-0.129525
15.76,-0.12895
15.78,-0.128392
15.8,-0.127848
15.82,-0.127315
15.84,-0.126793
15.86,-0.126279
15.88,-0.125772
15.9,-0.125271
15.92,-0.124776
15.94,-0.124285
15.96,-0.123798
15.98,-0.123314
16,-0.122834
16.02,-0.122357
16.04,-0.121882
16.06,-0.12141
16.08,-0.12094
16.1,-0.120473
16.12,-0.120007
16.14,-0.119544
16.16,-0.119083
16.18,-0.118623
16.2,-0.118166
16.22,-0.117711
16.24,-0.117258
16.26,-0.116806
16.28,-0.116357
16.3,-0.11591
16.32,-0.115465
16.34,-0.115022
16.36,-0.114581
16.38,-0.114143
16.4,-0.113706
16.42,-0.113272
16.44,-0.11284
16.46,-0.112411
16.48,-0.111984
16.5,-0.111559
16.52,-0.111137
16.54,-0.110718
16.56,-0.110301
16.58,-0.109886
16.6,-0.109475
16.62,-0.109066
16.64,-0.10866
16.66,-0.108257
16.68,-0.107856
16.7,-0.107459
16.72,-0.107064
16.74,-0.106673
16.76,-0.106285
16.78,-0.1059
16.8,-0.105518
16.82,-0.105139
16.84,-0.104763
16.86,-0.104391
16.88,-0.104022
16.9,-0.103657
16.92,-0.103295
16.94,-0.102937
16.96,-0.102582
16.98,-0.10223
17,-0.101883
C:\Users\oper\labQT\Lab2025\2D Qubit\QTLab2526\2DQuBit\Sonnet\2D_sonnet_new.son DE_EMBEDDED Lk=2.0
FREQUENCY (GHz), DB[S21]-2D_sonnet_new
5,-0.10508
5.02,-0.10566
5.04,-0.106239
5.06,-0.106818
5.08,-0.107396
5.1,-0.107973
5.12,-0.10855
5.14,-0.109126
5.16,-0.109701
5.18,-0.110275
5.2,-0.110849
5.22,-0.111422
5.24,-0.111994
5.26,-0.112565
5.28,-0.113136
5.3,-0.113705
5.32,-0.114274
5.34,-0.114842
5.36,-0.115408
5.38,-0.115974
5.4,-0.116539
5.42,-0.117102
5.44,-0.117665
5.46,-0.118226
5.48,-0.118787
5.5,-0.119346
5.52,-0.119904
5.54,-0.120461
5.56,-0.121017
5.58,-0.121571
5.6,-0.122124
5.62,-0.122676
5.64,-0.123227
5.66,-0.123776
5.68,-0.124324
5.7,-0.124871
5.72,-0.125416
5.74,-0.12596
5.76,-0.126503
5.78,-0.127044
5.8,-0.127583
5.82,-0.128121
5.84,-0.128658
5.86,-0.129193
5.88,-0.129726
5.9,-0.130258
5.92,-0.130788
5.94,-0.131317
5.96,-0.131844
5.98,-0.132369
6,-0.132893
6.02,-0.133415
6.04,-0.133935
6.06,-0.134454
6.08,-0.134971
6.1,-0.135486
6.12,-0.135999
6.14,-0.13651
6.16,-0.13702
6.18,-0.137528
6.2,-0.138033
6.22,-0.138537
6.24,-0.139039
6.26,-0.139539
6.28,-0.140037
6.3,-0.140533
6.32,-0.141028
6.34,-0.14152
6.36,-0.14201
6.38,-0.142498
6.4,-0.142984
6.42,-0.143468
6.44,-0.143949
6.46,-0.144429
6.48,-0.144906
6.5,-0.145382
6.52,-0.145855
6.54,-0.146326
6.56,-0.146795
6.58,-0.147261
6.6,-0.147725
6.62,-0.148188
6.64,-0.148647
6.66,-0.149105
6.68,-0.14956
