C:\Users\oper\labQT\Lab2025\2D Qubit\QTLab2526\2DQuBit\Sonnet\Photon_count_2_V5_2D_mod.son DE_EMBEDDED Lk=14.0
FREQUENCY (GHz), DB[S21]-Photon_count_2_V5_2D_mod
7.86618,-1.01678
7.86618,-1.01678
7.86619,-1.01678
7.8662,-1.01678
7.8662,-1.01678
7.86621,-1.01678
7.86621,-1.01678
7.86622,-1.01678
7.86623,-1.01678
7.86623,-1.01678
7.86624,-1.01678
7.86625,-1.01678
7.86625,-1.01677
7.86626,-1.01677
7.86627,-1.01677
7.86628,-1.01677
7.86628,-1.01676
7.86629,-1.01676
7.8663,-1.01675
7.86631,-1.01674
7.86632,-1.01674
7.86633,-1.01673
7.86634,-1.01672
7.86634,-1.01671
7.86635,-1.0167
7.86636,-1.01669
7.86637,-1.01668
7.86638,-1.01667
7.86639,-1.01665
7.8664,-1.01664
7.86641,-1.01662
7.86643,-1.0166
7.86644,-1.01658
7.86645,-1.01656
7.86646,-1.01654
7.86647,-1.01651
7.86649,-1.01649
7.8665,-1.01646
7.86651,-1.01643
7.86652,-1.01639
7.86654,-1.01636
7.86655,-1.01632
7.86657,-1.01628
7.86658,-1.01624
7.8666,-1.0162
7.86661,-1.01615
7.86663,-1.0161
7.86664,-1.01604
7.86666,-1.01599
7.86668,-1.01593
7.86669,-1.01586
7.86671,-1.01579
7.86673,-1.01572
7.86675,-1.01564
7.86677,-1.01556
7.86678,-1.01548
7.8668,-1.01538
7.86682,-1.01529
7.86684,-1.01518
7.86687,-1.01508
7.86689,-1.01496
7.86691,-1.01484
7.86693,-1.01471
7.86696,-1.01458
7.86698,-1.01443
7.867,-1.01428
7.86703,-1.01412
7.86705,-1.01396
7.86708,-1.01378
7.86711,-1.01359
7.86713,-1.0134
7.86716,-1.01319
7.86719,-1.01297
7.86722,-1.01274
7.86725,-1.0125
7.86728,-1.01224
7.86731,-1.01197
7.86734,-1.01169
7.86738,-1.01139
7.86741,-1.01108
7.86744,-1.01075
7.86748,-1.0104
7.86751,-1.01003
7.86755,-1.00965
7.86759,-1.00925
7.86763,-1.00882
7.86767,-1.00838
7.86771,-1.00791
7.86775,-1.00741
7.86779,-1.0069
7.86784,-1.00635
7.86788,-1.00578
7.86792,-1.00518
7.86797,-1.00455
7.86802,-1.00389
7.86807,-1.0032
7.86812,-1.00247
7.86817,-1.0017
7.86822,-1.0009
7.86827,-1.00006
7.86833,-0.999179
7.86838,-0.998254
7.86844,-0.997285
7.8685,-0.996269
7.86856,-0.995204
7.86862,-0.994089
7.86868,-0.99292
7.86875,-0.991696
7.86881,-0.990414
7.86888,-0.989071
7.86895,-0.987666
7.86902,-0.986196
7.86909,-0.984657
7.86917,-0.983047
7.86924,-0.981363
7.86932,-0.979601
7.8694,-0.97776
7.86948,-0.975836
7.86956,-0.973825
7.86965,-0.971723
7.86973,-0.969529
7.86982,-0.967237
7.86991,-0.964845
7.87001,-0.962348
7.8701,-0.959743
7.8702,-0.957026
7.8703,-0.954193
7.8704,-0.951239
7.87051,-0.948162
7.87061,-0.944956
7.87072,-0.941617
7.87084,-0.938142
7.87095,-0.934526
7.87107,-0.930765
7.87119,-0.926853
7.87131,-0.922789
7.87144,-0.918565
7.87156,-0.91418
7.8717,-0.909628
7.87183,-0.904906
7.87197,-0.900008
7.87211,-0.894933
7.87226,-0.889674
7.8724,-0.88423
7.87256,-0.878596
7.87271,-0.87277
7.87287,-0.866747
7.87303,-0.860526
7.8732,-0.854103
7.87337,-0.847477
7.87354,-0.840645
7.87372,-0.833605
7.8739,-0.826358
7.87409,-0.818901
7.87428,-0.811234
7.87448,-0.803357
7.87468,-0.795272
7.87488,-0.786977
7.875,-0.782113
7.87509,-0.778476
7.8753,-0.769771
7.87552,-0.760863
7.87575,-0.751756
7.87598,-0.742454
7.87621,-0.732961
7.87645,-0.723282
7.8767,-0.713423
7.87695,-0.70339
7.87721,-0.693189
7.87748,-0.682828
7.87775,-0.672315
7.87802,-0.661659
7.87831,-0.650868
7.8786,-0.639951
7.87889,-0.62892
7.8792,-0.617785
7.87951,-0.606556
7.87982,-0.595244
7.88015,-0.583863
7.88048,-0.572422
7.88082,-0.560936
7.88117,-0.549415
7.88153,-0.537873
7.8819,-0.526322
7.88227,-0.514774
7.88265,-0.503244
7.88304,-0.491741
7.88345,-0.480281
7.88386,-0.468873
7.88428,-0.457532
7.88471,-0.446267
7.88515,-0.435091
7.8856,-0.424014
7.88606,-0.413047
7.88653,-0.402201
7.88701,-0.391484
7.88751,-0.380906
7.88801,-0.370476
7.88853,-0.360201
7.88906,-0.350089
7.8896,-0.340147
7.89016,-0.330381
7.89072,-0.320796
7.8913,-0.311399
7.8919,-0.302192
7.89251,-0.293181
7.89313,-0.284368
7.89377,-0.275756
7.89442,-0.267348
7.89509,-0.259144
7.89577,-0.251147
7.89647,-0.243357
7.89719,-0.235773
7.89792,-0.228396
7.89867,-0.221225
7.89944,-0.214259
7.9,-0.209381
7.90022,-0.207496
7.90103,-0.200935
7.90185,-0.194573
7.90269,-0.188409
7.90355,-0.182439
7.90444,-0.17666
7.90534,-0.17107
7.90626,-0.165664
7.90721,-0.16044
7.90818,-0.155394
7.90917,-0.150522
7.91018,-0.145821
7.91122,-0.141285
7.91228,-0.136912
7.91336,-0.132697
7.91448,-0.128636
7.91562,-0.124724
7.91678,-0.120959
7.91797,-0.117335
7.91919,-0.113848
7.92044,-0.110495
7.92172,-0.107271
7.92303,-0.104172
7.92437,-0.101194
7.925,-0.0998463
7.92574,-0.0983331
7.92714,-0.0955858
7.92857,-0.092948
7.93004,-0.090416
7.93154,-0.0879861
7.93308,-0.0856548
7.93466,-0.0834186
7.93627,-0.081274
7.93792,-0.0792177
7.93961,-0.0772465
7.94133,-0.0753573
7.9431,-0.0735469
7.94491,-0.0718123
7.94676,-0.0701508
7.94866,-0.0685595
7.95,-0.0674944
7.9506,-0.0670357
7.95258,-0.0655767
7.95461,-0.06418
7.95669,-0.0628432
7.95882,-0.0615639
7.961,-0.0603399
7.96323,-0.0591688
7.96551,-0.0580485
7.96785,-0.0569771
7.97024,-0.0559525
7.97268,-0.0549729
7.975,-0.0541032
7.97518,-0.0540363
7.97775,-0.053141
7.98037,-0.0522854
7.98305,-0.0514677
7.9858,-0.0506864
7.98861,-0.0499401
7.99149,-0.0492272
7.99443,-0.0485463
7.99744,-0.0478962
8,-0.0473785
8.00053,-0.0472756
8.00368,-0.0466831
8.00691,-0.0461177
8.01022,-0.0455782
8.0136,-0.0450634
8.01706,-0.0445725
8.02061,-0.0441043
8.02424,-0.043658
8.025,-0.0435679
8.02795,-0.0432326
8.03175,-0.0428272
8.03563,-0.042441
8.03961,-0.0420732
8.04369,-0.0417231
8.04786,-0.0413898
8.05,-0.0412275
8.05212,-0.0410727
8.05649,-0.0407712
8.06096,-0.0404845
8.06553,-0.0402122
8.07021,-0.0399534
8.075,-0.0397079
8.1,-0.0386822
8.125,-0.0379716
8.15,-0.0374715
8.175,-0.0371174
8.2,-0.036868
8.225,-0.0366954
8.25,-0.0365807
8.275,-0.0365103
8.3,-0.0364745
8.325,-0.0364662
8.35,-0.0364799
8.375,-0.0365116
8.4,-0.036558
8.425,-0.0366167
8.45,-0.0366856
8.475,-0.0367632
8.5,-0.0368482
8.525,-0.0369396
8.55,-0.0370365
8.575,-0.0371382
8.6,-0.037244
8.625,-0.0373535
8.65,-0.0374663
8.675,-0.037582
8.7,-0.0377002
8.725,-0.0378208
8.75,-0.0379434
8.775,-0.038068
8.8,-0.0381942
8.825,-0.038322
8.85,-0.0384512
8.875,-0.0385818
8.9,-0.0387135
8.925,-0.0388463
8.95,-0.0389803
8.975,-0.0391149
9,-0.0392506
9.025,-0.039387
9.05,-0.0395242
9.075,-0.0396621
9.1,-0.0398006
