C:\Users\oper\labQT\Lab2025\QTLab2526\SinglePhoton\VNA\CRIO_measures_new\PC2_1_1_P5_2PORT.son DE_EMBEDDED Lk=0.0
FREQUENCY (GHz), DB[S21]-PC2_1_1_P5_2PORT
16.4145,-0.731806
16.415,-0.73385
16.4155,-0.735916
16.416,-0.738003
16.4165,-0.74011
16.417,-0.742236
16.4175,-0.744381
16.418,-0.746542
16.4185,-0.74872
16.419,-0.750912
16.4195,-0.753117
16.42,-0.755335
16.4205,-0.757562
16.421,-0.759798
16.4215,-0.76204
16.422,-0.764287
16.4225,-0.766536
16.423,-0.768785
16.4235,-0.771032
16.424,-0.773273
16.4245,-0.775507
16.425,-0.77773
16.4255,-0.77994
16.426,-0.782132
16.4265,-0.784305
16.427,-0.786453
16.4275,-0.788574
16.428,-0.790663
16.4285,-0.792717
16.429,-0.794732
16.4295,-0.796703
16.43,-0.798626
16.4305,-0.800496
16.431,-0.80231
16.4315,-0.804061
16.432,-0.805747
16.4325,-0.807361
16.433,-0.808899
16.4335,-0.810356
16.434,-0.811727
16.4345,-0.813008
16.435,-0.814193
16.4355,-0.815279
16.436,-0.816259
16.4365,-0.817131
16.437,-0.817889
16.4375,-0.81853
16.438,-0.819049
16.4385,-0.819443
16.439,-0.819709
16.4395,-0.819843
16.44,-0.819842
16.4405,-0.819704
16.441,-0.819428
16.4415,-0.81901
16.442,-0.81845
16.4425,-0.817748
16.443,-0.816902
16.4435,-0.815912
16.444,-0.814779
16.4445,-0.813504
16.445,-0.812088
16.4455,-0.810532
16.446,-0.80884
16.4465,-0.807013
16.447,-0.805055
16.4475,-0.802969
16.448,-0.800759
16.4485,-0.798428
16.449,-0.795982
16.4495,-0.793425
16.45,-0.790763
16.4505,-0.787999
16.451,-0.785141
16.4515,-0.782193
16.452,-0.779162
16.4525,-0.776052
16.453,-0.772871
16.4535,-0.769624
16.454,-0.766318
16.4545,-0.762957
16.455,-0.759549
16.4555,-0.756099
16.456,-0.752612
16.4565,-0.749096
16.457,-0.745554
16.4575,-0.741993
16.458,-0.738418
16.4585,-0.734833
16.459,-0.731244
16.4595,-0.727655
16.46,-0.724071
16.4605,-0.720496
16.461,-0.716934
16.4615,-0.713388
16.462,-0.709862
16.4625,-0.70636
16.463,-0.702884
16.4635,-0.699438
16.464,-0.696023
16.4645,-0.692643
16.465,-0.689299
16.4655,-0.685994
16.466,-0.682729
16.4665,-0.679506
16.467,-0.676327
16.4675,-0.673192
16.468,-0.670102
16.4685,-0.66706
16.469,-0.664064
16.4695,-0.661117
16.47,-0.658219
16.4705,-0.655369
16.471,-0.652569
16.4715,-0.649818
16.472,-0.647117
16.4725,-0.644465
16.473,-0.641863
16.4735,-0.63931
16.474,-0.636805
16.4745,-0.63435
16.475,-0.631943
16.4755,-0.629583
16.476,-0.627271
16.4765,-0.625006
16.477,-0.622787
16.4775,-0.620614
16.478,-0.618486
16.4785,-0.616402
16.479,-0.614362
16.4795,-0.612366
16.48,-0.610411
16.4805,-0.608498
16.481,-0.606626
16.4815,-0.604794
16.482,-0.603001
16.4825,-0.601247
16.483,-0.599531
16.4835,-0.597852
16.484,-0.596209
16.4845,-0.594602
16.485,-0.59303
16.4855,-0.591492
16.486,-0.589987
16.4865,-0.588515
16.487,-0.587074
16.4875,-0.585665
16.488,-0.584287
16.4885,-0.582938
16.489,-0.581618
16.4895,-0.580327
16.49,-0.579063
16.4905,-0.577826
16.491,-0.576616
16.4915,-0.575432
16.492,-0.574273
16.4925,-0.573139
16.493,-0.572028
16.4935,-0.570941
16.494,-0.569877
16.4945,-0.568835
16.495,-0.567815
16.4955,-0.566816
16.496,-0.565838
16.4965,-0.56488
16.497,-0.563941
16.4975,-0.563022
16.498,-0.562122
16.4985,-0.56124
16.499,-0.560375
16.4995,-0.559528
16.5,-0.558698
16.5005,-0.557885
16.501,-0.557087
16.5015,-0.556306
16.502,-0.555539
16.5025,-0.554788
16.503,-0.554051
16.5035,-0.553328
16.504,-0.55262
16.5045,-0.551924
16.505,-0.551242
16.5055,-0.550573
16.506,-0.549916
16.5065,-0.549272
16.507,-0.548639
16.5075,-0.548019
16.508,-0.547409
16.5085,-0.546811
16.509,-0.546223
16.5095,-0.545646
16.51,-0.545079
16.5105,-0.544522
16.511,-0.543975
16.5115,-0.543438
16.512,-0.54291
16.5125,-0.542391
16.513,-0.541881
16.5135,-0.54138
16.514,-0.540887
16.5145,-0.540402
16.515,-0.539925
16.5155,-0.539457
16.516,-0.538996
16.5165,-0.538542
16.517,-0.538096
16.5175,-0.537657
16.518,-0.537225
16.5185,-0.5368
16.519,-0.536381
16.5195,-0.535969
16.52,-0.535563
16.5205,-0.535164
16.521,-0.53477
16.5215,-0.534383
16.522,-0.534001
16.5225,-0.533625
16.523,-0.533255
16.5235,-0.53289
16.524,-0.53253
16.5245,-0.532175
16.525,-0.531826
16.5255,-0.531481
16.526,-0.531141
16.5265,-0.530806
16.527,-0.530476
16.5275,-0.53015
16.528,-0.529828
16.5285,-0.529511
16.529,-0.529198
16.5295,-0.528889
16.53,-0.528584
16.5305,-0.528283
16.531,-0.527986
16.5315,-0.527692
16.532,-0.527403
16.5325,-0.527117
16.533,-0.526834
16.5335,-0.526555
16.534,-0.526279
16.5345,-0.526007
16.535,-0.525738
16.5355,-0.525472
16.536,-0.525209
16.5365,-0.524949
16.537,-0.524692
16.5375,-0.524439
16.538,-0.524187
16.5385,-0.523939
