# Time(us)	Voltage(mV)
-34.160000	123.905148
-33.184000	123.905148
-32.208000	142.826624
-31.232000	139.927366
-30.256000	140.385144
-29.280000	135.044404
-28.304000	141.453291
-27.328000	148.777734
-26.352000	138.859218
-25.376000	143.131809
-24.400000	140.842921
-23.424000	141.148106
-22.448000	119.937742
-21.472000	114.291818
-20.496000	101.474044
-19.520000	98.879971
-18.544000	84.078494
-17.568000	68.056276
-16.592000	58.595538
-15.616000	36.927396
-14.640000	20.294809
-13.664000	9.308145
-12.688000	-10.986663
-11.712000	-43.336283
-10.736000	-47.761467
-9.760000	-61.494797
-8.784000	-81.484420
-7.808000	-106.051820
-6.832000	-115.665151
-5.856000	-121.463668
-4.880000	-166.631062
-3.904000	-159.154027
-2.928000	-184.179205
-1.952000	-197.149571
-0.976000	-193.639943
0.000000	-212.103641
0.976000	-218.665120
1.952000	-220.191046
2.928000	-207.983642
3.904000	-228.278451
4.880000	-224.768822
5.856000	-210.425123
6.832000	-209.204382
7.808000	-211.951048
8.784000	-199.438459
9.760000	-190.435499
10.736000	-159.154027
11.712000	-157.475509
12.688000	-151.371807
13.664000	-140.385144
14.640000	-117.038484
15.616000	-72.328867
16.592000	-54.933317
17.568000	-48.982208
18.544000	-21.362957
19.520000	1.068148
20.496000	31.128880
21.472000	55.085910
22.448000	82.399976
23.424000	99.032563
24.400000	121.616260
25.376000	141.758477
26.352000	187.994018
27.328000	175.786615
28.304000	219.275491
29.280000	229.346599
30.256000	240.638447
31.232000	273.751030
32.208000	279.244362
33.184000	278.939177
34.160000	292.214728
35.136000	303.506577
36.112000	292.825098
37.088000	287.942137
38.064000	278.023621
39.040000	294.045839
40.016000	258.644368
40.992000	259.712516
41.968000	246.894742
42.944000	215.155492
43.920000	215.613269
44.896000	189.214759
45.872000	174.260689
46.848000	136.417737
47.824000	103.305155
48.800000	82.094790
49.776000	37.537767
50.752000	30.976287
51.728000	-10.834071
52.704000	-54.322947
53.680000	-75.991089
54.656000	-118.411817
55.632000	-148.777734
56.608000	-173.650319
57.584000	-206.610309
58.560000	-214.087344
59.536000	-262.306589
60.512000	-275.734733
61.488000	-293.435469
62.464000	-324.564348
63.440000	-352.946562
64.416000	-359.813227
65.392000	-372.631001
66.368000	-384.533219
67.344000	-365.916929
68.320000	-370.952483
69.296000	-370.494705
70.272000	-369.121372
71.248000	-373.699149
72.224000	-349.589526
73.200000	-329.752495
74.176000	-317.545091
75.152000	-290.078433
76.128000	-275.582141
77.104000	-236.976226
78.080000	-220.801416
79.056000	-184.789575
80.032000	-134.281442
81.008000	-102.542192
81.984000	-56.459243
82.960000	-16.174810
83.936000	6.561480
84.912000	65.157018
85.888000	82.247383
86.864000	144.047365
87.840000	174.871059
88.816000	207.983642
89.792000	249.488815
90.768000	271.462142
91.744000	314.798425
92.720000	341.502121
93.696000	347.605823
94.672000	372.936186
95.648000	386.822108
96.624000	422.681356
97.600000	426.953948
98.576000	430.921354
99.552000	430.005799
100.528000	432.142094
101.504000	439.008759
102.480000	421.613208
103.456000	404.828028
104.432000	394.451735
105.408000	365.764336
106.384000	336.619160
107.360000	316.934721
108.336000	283.822138
109.312000	247.810297
110.288000	223.853267
111.264000	156.254769
112.240000	137.028108
113.216000	98.422193
114.192000	57.222205
