# Freq(Hz)	Amp(mV)
153896.774623	0.343812
154105.024657	0.304915
154313.274690	0.213042
154521.524723	0.094538
154729.774757	0.139302
154938.024790	0.313698
155146.274823	0.492089
155354.524857	0.648109
155562.774890	0.764159
155771.024923	0.827472
155979.274957	0.830664
156187.524990	0.772310
156395.775023	0.657124
156604.025057	0.495872
156812.275090	0.306366
157020.525123	0.133106
157228.775157	0.180949
157437.025190	0.351804
157645.275223	0.502357
157853.525257	0.610005
158061.775290	0.667886
158270.025323	0.678280
158478.275357	0.653252
158686.525390	0.615868
158894.775423	0.597763
159103.025456	0.624743
159311.275490	0.696464
159519.525523	0.788605
159727.775556	0.872275
159936.025590	0.925082
160144.275623	0.933153
160352.525656	0.890662
160560.775690	0.799184
160769.025723	0.667276
160977.275756	0.510952
161185.525790	0.358089
161393.775823	0.264024
161602.025856	0.289208
161810.275890	0.382765
162018.525923	0.472863
162226.775956	0.531373
162435.025990	0.550893
162643.276023	0.534601
162851.526056	0.493490
163059.776090	0.444737
163268.026123	0.407616
163476.276156	0.393643
163684.526190	0.396853
163892.776223	0.398358
164101.026256	0.379534
164309.276289	0.329706
164517.526323	0.249731
164725.776356	0.165677
164934.026389	0.175532
165142.276423	0.303504
165350.526456	0.462275
165558.776489	0.613637
165767.026523	0.738085
165975.276556	0.823185
166183.526589	0.863202
166391.776623	0.860812
166600.026656	0.829477
166808.276689	0.795216
167016.526723	0.792620
167224.776756	0.847237
167433.026789	0.955599
167641.276823	1.089717
167849.526856	1.216186
168057.776889	1.307049
168266.026923	1.342420
168474.276956	1.310637
168682.526989	1.208073
168890.777023	1.038880
169099.027056	0.814836
169307.277089	0.556674
169515.527122	0.308056
169723.777156	0.236083
169932.027189	0.422305
170140.277222	0.635639
170348.527256	0.805771
170556.777289	0.912300
170765.027322	0.947651
170973.277356	0.912838
171181.527389	0.817048
171389.777422	0.678686
171598.027456	0.529769
171806.277489	0.426167
172014.527522	0.431888
172222.777556	0.531191
172431.027589	0.652659
172639.277622	0.749653
172847.527656	0.799980
173055.777689	0.794450
173264.027722	0.732001
173472.277756	0.617424
173680.527789	0.459709
173888.777822	0.270450
174097.027856	0.062344
174305.277889	0.153171
174513.527922	0.365086
174721.777955	0.566197
174930.027989	0.751746
175138.278022	0.919404
175346.528055	1.068217
175554.778089	1.197309
175763.028122	1.304744
175971.278155	1.386981
176179.528189	1.439083
176387.778222	1.455599
176596.028255	1.431794
176804.278289	1.364897
177012.528322	1.255071
177220.778355	1.105952
177429.028389	0.924710
177637.278422	0.721668
177845.528455	0.509727
178053.778489	0.304538
178262.028522	0.134455
178470.278555	0.124653
178678.528589	0.233244
178886.778622	0.322266
