# Freq(Hz)	Amp(mV)
101950.113994	0.868304
102119.748127	1.161310
102289.382260	1.397689
102459.016393	1.559631
102628.650527	1.637533
102798.284660	1.631083
102967.918793	1.550119
103137.552926	1.415228
103307.187059	1.257888
103476.821192	1.118308
103646.455325	1.034922
103816.089458	1.021801
103985.723591	1.055185
104155.357724	1.091694
104324.991858	1.093821
104494.625991	1.039964
104664.260124	0.925139
104833.894257	0.761501
105003.528390	0.585445
105173.162523	0.478225
105342.796656	0.533209
105512.430789	0.706320
105682.064922	0.897344
105851.699055	1.049201
106021.333189	1.132424
106190.967322	1.132155
106360.601455	1.044469
106530.235588	0.875688
106699.869721	0.644015
106869.503854	0.393363
107039.137987	0.287353
107208.772120	0.487925
107378.406253	0.768739
107548.040386	1.024243
107717.674520	1.219061
107887.308653	1.334125
108056.942786	1.359765
108226.576919	1.294620
108396.211052	1.145170
108565.845185	0.925126
108735.479318	0.655120
108905.113451	0.366994
109074.747584	0.174969
109244.381718	0.341971
109414.015851	0.583520
109583.649984	0.784561
109753.284117	0.923226
109922.918250	0.992124
110092.552383	0.992613
110262.186516	0.934209
110431.820649	0.834941
110601.454782	0.722476
110771.088915	0.634240
110940.723049	0.606560
111110.357182	0.645988
111279.991315	0.722314
111449.625448	0.798974
111619.259581	0.852139
111788.893714	0.871428
111958.527847	0.856964
112128.161980	0.817116
112297.796113	0.766377
112467.430246	0.721813
112637.064380	0.696657
112806.698513	0.693009
112976.332646	0.700251
113145.966779	0.701404
113315.600912	0.681002
113485.235045	0.629688
113654.869178	0.546546
113824.503311	0.442732
113994.137444	0.352507
114163.771577	0.344157
114333.405711	0.448072
114503.039844	0.609635
114672.673977	0.778789
114842.308110	0.927134
115011.942243	1.036399
115181.576376	1.093891
115351.210509	1.091383
115520.844642	1.024979
115690.478775	0.895187
115860.112908	0.707120
116029.747042	0.471640
116199.381175	0.217921
116369.015308	0.196868
116538.649441	0.478202
116708.283574	0.780239
116877.917707	1.062416
117047.551840	1.305746
117217.185973	1.495754
117386.820106	1.621682
117556.454239	1.676957
117726.088373	1.659734
117895.722506	1.573346
118065.356639	1.426705
118234.990772	1.234909
118404.624905	1.020724
118574.259038	0.818126
118743.893171	0.676292
118913.527304	0.642693
119083.161437	0.708361
119252.795571	0.811860
119422.429704	0.899934
119592.063837	0.942938
119761.697970	0.927096
119931.332103	0.848698
120100.966236	0.711329
120270.600369	0.524600
120440.234502	0.305116
120609.868635	0.112093
120779.502768	0.243664
120949.136902	0.474515
121118.771035	0.685610
121288.405168	0.856593
121458.039301	0.975584
121627.673434	1.035527
121797.307567	1.034033
121966.941700	0.973453
122136.575833	0.860990
122306.209966	0.709233
122475.844099	0.538712
122645.478233	0.388066
122815.112366	0.332820
122984.746499	0.413301
123154.380632	0.552933
123324.014765	0.687713
123493.648898	0.789795
123663.283031	0.846087
123832.917164	0.850673
124002.551297	0.802786
124172.185430	0.706487
124341.819564	0.571746
124511.453697	0.419817
124681.087830	0.305649
124850.721963	0.333773
125020.356096	0.491706
125189.990229	0.686487
125359.624362	0.874010
125529.258495	1.033573
125698.892628	1.152631
125868.526761	1.223340
126038.160895	1.241867
126207.795028	1.208310
126377.429161	1.126701
126547.063294	1.004963
126716.697427	0.854902
126886.331560	0.692504
127055.965693	0.539045
127225.599826	0.422467
127395.233959	0.369645
127564.868092	0.376425
127734.502226	0.403215
127904.136359	0.413761
128073.770492	0.389362
128243.404625	0.323978
128413.038758	0.220925
128582.672891	0.104404
128752.307024	0.140088
128921.941157	0.306466
129091.575290	0.485674
129261.209424	0.654452
129430.843557	0.798801
129600.477690	0.907913
129770.111823	0.974099
129939.745956	0.993146
130109.380089	0.964538
130279.014222	0.891443
130448.648355	0.780465
130618.282488	0.641301
130787.916621	0.486676
130957.550755	0.334016
131127.184888	0.215158
131296.819021	0.192166
131466.453154	0.261342
131636.087287	0.347259
131805.721420	0.419570
131975.355553	0.473142
132144.989686	0.511893
132314.623819	0.543821
132484.257952	0.577403
132653.892086	0.617901
132823.526219	0.665007
132993.160352	0.713271
133162.794485	0.754515
133332.428618	0.780418
133502.062751	0.784284
133671.696884	0.761988
133841.331017	0.712404
134010.965150	0.637584
134180.599283	0.542972
134350.233417	0.438163
134519.867550	0.339379
134689.501683	0.274119
134859.135816	0.271926
135028.769949	0.323996
135198.404082	0.393808
135368.038215	0.456311
135537.672348	0.499475
135707.306481	0.518225
135876.940614	0.511654
136046.574748	0.481946
136216.208881	0.433927
136385.843014	0.374929
136555.477147	0.314871
136725.111280	0.266071
136894.745413	0.240238
137064.379546	0.240210
137234.013679	0.256382
137403.647812	0.276338
137573.281945	0.293448
137742.916079	0.308226
137912.550212	0.326644
138082.184345	0.356462
138251.818478	0.402033
138421.452611	0.461164
138591.086744	0.526369
138760.720877	0.587997
138930.355010	0.636598
139099.989143	0.664290
139269.623277	0.665682
139439.257410	0.638812
139608.891543	0.586472
139778.525676	0.518629
139948.159809	0.456680
140117.793942	0.435250
140287.428075	0.482465
140457.062208	0.589730
140626.696341	0.726648
140796.330474	0.866761
140965.964608	0.991720
141135.598741	1.088982
141305.232874	1.150318
141474.867007	1.171238
141644.501140	1.150785
141814.135273	1.091408
141983.769406	0.998845
142153.403539	0.882127
142323.037672	0.753968
142492.671805	0.631963
142662.305939	0.539978
