C:\Users\oper\labQT\Lab2025\2D Qubit\QTLab2526\2DQuBit\Sonnet\2D_3rd_resonator.son DE_EMBEDDED Lk=14.0
FREQUENCY (GHz), DB[S21]-2D_3rd_resonator
7.2,-0.149463
7.202,-0.149323
7.204,-0.149183
7.206,-0.149043
7.208,-0.148903
7.21,-0.148763
7.212,-0.148622
7.214,-0.148482
7.216,-0.148342
7.218,-0.148202
7.22,-0.148062
7.222,-0.147922
7.224,-0.147783
7.226,-0.147643
7.228,-0.147503
7.23,-0.147363
7.232,-0.147223
7.234,-0.147083
7.236,-0.146944
7.238,-0.146804
7.24,-0.146664
7.242,-0.146524
7.244,-0.146385
7.246,-0.146245
7.248,-0.146105
7.25,-0.145966
7.252,-0.145826
7.254,-0.145687
7.256,-0.145547
7.258,-0.145408
7.26,-0.145269
7.262,-0.145129
7.264,-0.14499
7.266,-0.144851
7.268,-0.144711
7.27,-0.144572
7.272,-0.144433
7.274,-0.144294
7.276,-0.144155
7.278,-0.144016
7.28,-0.143876
7.282,-0.143737
7.284,-0.143599
7.286,-0.14346
7.288,-0.143321
7.29,-0.143182
7.292,-0.143043
7.294,-0.142904
7.296,-0.142766
7.298,-0.142627
7.3,-0.142488
7.302,-0.14235
7.304,-0.142211
7.306,-0.142073
7.308,-0.141934
7.31,-0.141796
7.312,-0.141657
7.314,-0.141519
7.316,-0.141381
7.318,-0.141243
7.32,-0.141104
7.322,-0.140966
7.324,-0.140828
7.326,-0.14069
7.328,-0.140552
7.33,-0.140414
7.332,-0.140277
7.334,-0.140139
7.336,-0.140001
7.338,-0.139863
7.34,-0.139726
7.342,-0.139588
7.344,-0.139451
7.346,-0.139313
7.348,-0.139176
7.35,-0.139038
7.352,-0.138901
7.354,-0.138764
7.356,-0.138627
7.358,-0.13849
7.36,-0.138353
7.362,-0.138216
7.364,-0.138079
7.366,-0.137942
7.368,-0.137805
7.37,-0.137668
7.372,-0.137532
7.374,-0.137395
7.376,-0.137259
7.378,-0.137122
7.38,-0.136986
7.382,-0.136849
7.384,-0.136713
7.386,-0.136577
7.388,-0.136441
7.39,-0.136305
7.392,-0.136169
7.394,-0.136033
7.396,-0.135897
7.398,-0.135762
7.4,-0.135626
7.402,-0.13549
7.404,-0.135355
7.406,-0.135219
7.408,-0.135084
7.41,-0.134949
7.412,-0.134814
7.414,-0.134679
7.416,-0.134544
7.418,-0.134409
7.42,-0.134274
7.422,-0.134139
7.424,-0.134005
7.426,-0.13387
7.428,-0.133735
7.43,-0.133601
7.432,-0.133467
7.434,-0.133333
7.436,-0.133199
7.438,-0.133065
7.44,-0.132931
7.442,-0.132797
7.444,-0.132663
7.446,-0.132529
7.448,-0.132396
7.45,-0.132263
7.452,-0.132129
7.454,-0.131996
7.456,-0.131863
7.458,-0.13173
7.46,-0.131597
7.462,-0.131464
7.464,-0.131332
7.466,-0.131199
7.468,-0.131067
7.47,-0.130934
7.472,-0.130802
7.474,-0.13067
7.476,-0.130538
7.478,-0.130406
7.48,-0.130274
7.482,-0.130143
7.484,-0.130011
7.486,-0.12988
7.488,-0.129748
7.49,-0.129617
7.492,-0.129486
7.494,-0.129355
7.496,-0.129225
7.498,-0.129094
7.5,-0.128964
7.502,-0.128833
7.504,-0.128703
7.506,-0.128573
7.508,-0.128443
7.51,-0.128313
7.512,-0.128184
7.514,-0.128054
7.516,-0.127925
7.518,-0.127796
7.52,-0.127666
7.522,-0.127538
7.524,-0.127409
7.526,-0.12728
7.528,-0.127152
7.53,-0.127024
7.532,-0.126895
7.534,-0.126768
7.536,-0.12664
7.538,-0.126512
7.54,-0.126385
7.542,-0.126258
7.544,-0.12613
7.546,-0.126004
7.548,-0.125877
7.55,-0.12575
7.552,-0.125624
7.554,-0.125498
7.556,-0.125372
7.558,-0.125246
7.56,-0.125121
7.562,-0.124995
7.564,-0.12487
7.566,-0.124745
7.568,-0.12462
7.57,-0.124496
7.572,-0.124371
7.574,-0.124247
7.576,-0.124123
7.578,-0.124
7.58,-0.123876
7.582,-0.123753
7.584,-0.12363
7.586,-0.123507
7.588,-0.123385
7.59,-0.123263
7.592,-0.123141
7.594,-0.123019
7.596,-0.122897
7.598,-0.122776
7.6,-0.122655
7.602,-0.122535
7.604,-0.122414
7.606,-0.122294
7.608,-0.122174
7.61,-0.122055
7.612,-0.121935
7.614,-0.121816
7.616,-0.121698
7.618,-0.121579
7.62,-0.121461
7.622,-0.121343
7.624,-0.121226
7.626,-0.121109
7.628,-0.120992
7.63,-0.120876
7.632,-0.12076
7.634,-0.120644
7.636,-0.120529
7.638,-0.120414
7.64,-0.120299
7.642,-0.120185
7.644,-0.120071
7.646,-0.119958
7.648,-0.119845
7.65,-0.119732
7.652,-0.11962
7.654,-0.119508
7.656,-0.119397
7.658,-0.119286
7.66,-0.119175
7.662,-0.119065
7.664,-0.118956
7.666,-0.118847
7.668,-0.118738
7.67,-0.11863
7.672,-0.118523
7.674,-0.118416
7.676,-0.11831
7.678,-0.118204
7.68,-0.118098
7.682,-0.117994
7.684,-0.11789
7.686,-0.117786
7.688,-0.117683
7.69,-0.117581
7.692,-0.117479
7.694,-0.117378
7.696,-0.117278
7.698,-0.117179
7.7,-0.11708
7.702,-0.116982
7.704,-0.116884
7.706,-0.116788
7.708,-0.116692
7.71,-0.116597
7.712,-0.116503
7.714,-0.116409
7.716,-0.116317
7.718,-0.116226
7.72,-0.116135
7.722,-0.116045
7.724,-0.115957
7.726,-0.115869
7.728,-0.115783
7.73,-0.115697
7.732,-0.115613
7.734,-0.11553
7.736,-0.115447
7.738,-0.115367
7.74,-0.115287
7.742,-0.115209
7.744,-0.115132
7.746,-0.115056
7.748,-0.114982
7.75,-0.114909
7.752,-0.114838
7.754,-0.114768
7.756,-0.1147
7.758,-0.114634
7.76,-0.114569
7.762,-0.114506
7.764,-0.114445
7.766,-0.114386
7.768,-0.114329
7.77,-0.114273
7.772,-0.11422
7.774,-0.11417
7.776,-0.114121
7.778,-0.114075
7.78,-0.114032
7.782,-0.113991
7.784,-0.113952
7.786,-0.113917
7.788,-0.113884
7.79,-0.113855
7.792,-0.113828
7.794,-0.113805
7.796,-0.113785
7.798,-0.113769
7.8,-0.113757
7.802,-0.113749
7.804,-0.113744
7.806,-0.113744
7.808,-0.113749
7.81,-0.113758
7.812,-0.113772
7.814,-0.113792
7.816,-0.113817
7.818,-0.113847
7.82,-0.113884
7.822,-0.113927
7.824,-0.113976
7.826,-0.114033
7.828,-0.114097
7.83,-0.114169
7.832,-0.11425
7.834,-0.114339
7.836,-0.114437
