C:\Users\oper\labQT\Lab2025\2D Qubit\QTLab2526\2DQuBit\Sonnet\2D_3rd_resonator.son DE_EMBEDDED Lk=0.0
FREQUENCY (GHz), DB[S21]-2D_3rd_resonator
12.92,-0.0643581
12.94,-0.0638716
12.96,-0.0633943
12.98,-0.0629262
13,-0.0624674
13.02,-0.0620179
13.04,-0.0615778
13.06,-0.0611472
13.08,-0.060726
13.1,-0.0603144
13.12,-0.0599124
13.14,-0.05952
13.16,-0.0591373
13.18,-0.0587643
13.2,-0.0584011
13.22,-0.0580477
13.24,-0.0577041
13.26,-0.0573705
13.28,-0.0570468
13.3,-0.056733
13.32,-0.0564293
13.34,-0.0561357
13.36,-0.0558522
13.38,-0.0555788
13.4,-0.0553155
13.42,-0.0550625
13.44,-0.0548197
13.46,-0.0545872
13.48,-0.054365
13.5,-0.0541531
13.52,-0.0539516
13.54,-0.0537605
13.56,-0.0535798
13.58,-0.0534095
13.6,-0.0532497
13.62,-0.0531005
13.64,-0.0529617
13.66,-0.0528335
13.68,-0.0527159
13.7,-0.0526089
13.72,-0.0525124
13.74,-0.0524267
13.76,-0.0523515
13.78,-0.0522871
13.8,-0.0522333
13.82,-0.0521902
13.84,-0.0521579
13.86,-0.0521363
13.88,-0.0521254
13.9,-0.0521253
13.92,-0.052136
13.94,-0.0521574
13.96,-0.0521897
13.98,-0.0522327
14,-0.0522865
14.02,-0.0523512
14.04,-0.0524267
14.06,-0.052513
14.08,-0.0526101
14.1,-0.0527185
14.12,-0.0528365
14.14,-0.0529649
14.16,-0.0531034
14.18,-0.053252
14.2,-0.0534108
14.22,-0.0535796
14.24,-0.0537587
14.26,-0.053948
14.28,-0.0541476
14.3,-0.0543574
14.32,-0.0545774
14.34,-0.0548078
14.36,-0.0550484
14.38,-0.0552993
14.4,-0.0555606
14.42,-0.0558321
14.44,-0.056114
14.46,-0.0564061
14.48,-0.0567086
14.5,-0.0570214
14.52,-0.0573444
14.54,-0.0576778
14.56,-0.0580214
14.58,-0.0583753
14.6,-0.0587394
14.62,-0.0591138
14.64,-0.0594985
14.66,-0.0598933
14.68,-0.0602984
14.7,-0.0607137
14.72,-0.0611391
14.74,-0.0615747
14.76,-0.0620205
14.78,-0.0624764
14.8,-0.0629424
14.82,-0.0634186
14.84,-0.0639048
14.86,-0.0644011
14.88,-0.0649074
14.9,-0.0654238
14.92,-0.0659502
14.94,-0.0664867
14.96,-0.0670332
14.98,-0.0675897
15,-0.0681562
15.02,-0.0687328
15.04,-0.0693194
15.06,-0.069916
15.08,-0.0705228
15.1,-0.0711397
15.12,-0.0717668
15.14,-0.0724042
15.16,-0.073052
15.18,-0.0737102
15.2,-0.0743792
15.22,-0.0750589
15.24,-0.0757498
15.26,-0.076452
15.28,-0.0771659
15.3,-0.0778921
15.32,-0.078631
15.34,-0.0793833
15.36,-0.0801499
15.38,-0.0809319
15.4,-0.0817305
15.42,-0.0825476
15.44,-0.0833851
15.46,-0.0842458
15.48,-0.0851332
15.5,-0.0860517
15.52,-0.0870072
15.54,-0.0880073
15.56,-0.0890623
15.58,-0.0901862
15.6,-0.0913873
15.62,-0.0927235
15.64,-0.094201
15.66,-0.0958853
15.68,-0.0978584
15.685,-0.0984155
15.69,-0.0989874
15.6948,-0.0995754
15.6995,-0.10018
15.7,-0.100247
15.7041,-0.100804
15.7086,-0.101446
15.713,-0.102109
15.7173,-0.102794
15.72,-0.10325
15.7215,-0.103503
15.7256,-0.104235
15.7296,-0.104994
15.7335,-0.10578
15.7373,-0.106595
15.74,-0.107203
15.741,-0.107441
15.7447,-0.108318
15.7482,-0.10923
15.7517,-0.110177
15.7551,-0.111161
15.7584,-0.112184
15.76,-0.112683
15.7617,-0.113248
15.7649,-0.114355
15.768,-0.115507
15.771,-0.116706
15.774,-0.117954
15.7769,-0.119254
15.7797,-0.120606
15.78,-0.120763
15.7824,-0.122015
15.7851,-0.123482
15.7878,-0.125009
15.7904,-0.126599
15.7929,-0.128255
15.7953,-0.129978
15.7977,-0.131772
15.8,-0.133569
15.8001,-0.133639
15.8024,-0.135581
15.8046,-0.137602
15.8068,-0.139703
15.809,-0.141888
15.811,-0.14416
15.8131,-0.14652
15.8151,-0.148972
15.817,-0.151518
15.8189,-0.15416
15.82,-0.155702
15.8208,-0.156902
15.8226,-0.159746
15.8244,-0.162694
15.8261,-0.165749
15.8278,-0.168913
15.8295,-0.172188
15.8311,-0.175576
15.8327,-0.179079
15.8342,-0.182699
15.8358,-0.186437
15.8372,-0.190296
15.8387,-0.194276
15.84,-0.198123
15.8401,-0.198378
15.8415,-0.202604
15.8428,-0.206953
15.8441,-0.211426
15.8454,-0.216023
15.8467,-0.220745
15.8479,-0.22559
15.8491,-0.230557
15.8503,-0.235646
15.8514,-0.240855
15.8525,-0.246183
15.8536,-0.251626
15.8547,-0.257183
15.8557,-0.262851
15.8567,-0.268626
15.8577,-0.274505
15.8587,-0.280485
15.8597,-0.28656
15.86,-0.288729
15.8606,-0.292726
15.8615,-0.298979
15.8624,-0.305313
15.8633,-0.311722
15.8641,-0.318201
15.8649,-0.324743
15.8657,-0.331343
15.8665,-0.337993
15.8673,-0.344687
15.8681,-0.351419
15.8688,-0.35818
15.8695,-0.364964
15.8702,-0.371764
15.8709,-0.378573
15.8716,-0.385382
15.8722,-0.392186
15.8729,-0.398976
15.8735,-0.405745
15.8741,-0.412487
15.8747,-0.419195
15.8753,-0.425862
15.8759,-0.432481
15.8764,-0.439046
15.877,-0.445551
15.8775,-0.45199
15.878,-0.458358
15.8785,-0.464649
15.879,-0.470858
15.8795,-0.476981
15.88,-0.483014
15.88,-0.483166
15.8805,-0.488951
15.8809,-0.494791
15.8813,-0.500529
15.8818,-0.506163
15.8822,-0.511689
15.8826,-0.517106
15.883,-0.522411
15.8834,-0.527604
15.8838,-0.532681
15.8842,-0.537643
15.8845,-0.542489
