C:\Users\oper\labQT\Lab2025\2D Qubit\QTLab2526\2DQuBit\Sonnet\2D_3rd_resonator.son DE_EMBEDDED Lk=10.0
FREQUENCY (GHz), DB[S21]-2D_3rd_resonator
8.92225,-0.305091
8.9225,-0.307765
8.9226,-0.308889
8.92295,-0.312653
8.92328,-0.316379
8.92361,-0.320064
8.92393,-0.323704
8.92424,-0.327296
8.92455,-0.330837
8.92484,-0.334323
8.925,-0.336148
8.92514,-0.337753
8.92542,-0.341124
8.9257,-0.344432
8.92597,-0.347677
8.92624,-0.350856
8.9265,-0.353968
8.92675,-0.357011
8.927,-0.359983
8.92724,-0.362884
8.92748,-0.365713
8.9275,-0.365988
8.92771,-0.368469
8.92793,-0.371152
8.92815,-0.373762
8.92837,-0.376297
8.92858,-0.378759
8.92879,-0.381147
8.92899,-0.383462
8.92918,-0.385705
8.92938,-0.387875
8.92956,-0.389974
8.92975,-0.392003
8.92993,-0.393962
8.93,-0.394752
8.9301,-0.395853
8.93027,-0.397677
8.93044,-0.399434
8.9306,-0.401127
8.93076,-0.402757
8.93092,-0.404324
8.93107,-0.405831
8.93122,-0.407279
8.93137,-0.408669
8.93151,-0.410003
8.93165,-0.411282
8.93178,-0.412509
8.93191,-0.413684
8.93204,-0.414809
8.93217,-0.415886
8.93229,-0.416916
8.93242,-0.417901
8.9325,-0.418576
8.93253,-0.418842
8.93265,-0.41974
8.93276,-0.420598
8.93287,-0.421417
8.93298,-0.422198
8.93308,-0.422942
8.93319,-0.423651
8.93329,-0.424326
8.93339,-0.424969
8.93348,-0.425581
8.93358,-0.426162
8.93367,-0.426715
8.93376,-0.42724
8.93384,-0.427739
8.93393,-0.428212
8.93401,-0.428661
8.93409,-0.429087
8.93417,-0.42949
8.93425,-0.429872
8.93433,-0.430234
8.9344,-0.430576
8.93447,-0.4309
8.93454,-0.431206
8.93461,-0.431495
8.93468,-0.431768
8.93475,-0.432025
8.93481,-0.432268
8.93488,-0.432496
8.93494,-0.432711
8.935,-0.432914
8.935,-0.432923
8.93506,-0.433104
8.93511,-0.433283
8.93517,-0.433451
8.93522,-0.433608
8.93528,-0.433755
8.93533,-0.433893
8.93538,-0.434022
8.93543,-0.434142
8.93548,-0.434255
8.93553,-0.434359
8.93558,-0.434457
8.93562,-0.434547
8.93567,-0.434631
8.93571,-0.434709
8.93575,-0.434781
8.93579,-0.434847
8.93583,-0.434908
8.93587,-0.434964
8.93591,-0.435015
8.93595,-0.435062
8.93599,-0.435104
8.93602,-0.435143
8.93606,-0.435178
8.93609,-0.435209
8.93613,-0.435237
8.93616,-0.435262
8.93619,-0.435284
8.93622,-0.435303
8.93626,-0.435319
8.93629,-0.435333
8.93631,-0.435345
8.93634,-0.435354
8.93637,-0.435362
8.9364,-0.435367
8.93643,-0.435371
8.93645,-0.435373
8.93648,-0.435373
8.9365,-0.435372
8.93653,-0.43537
8.93655,-0.435367
8.93657,-0.435362
8.9366,-0.435356
8.93662,-0.435349
8.93664,-0.435341
8.93666,-0.435332
8.93668,-0.435323
8.9367,-0.435312
8.93672,-0.435302
8.93674,-0.43529
8.93676,-0.435278
8.93678,-0.435265
8.9368,-0.435252
8.93682,-0.435238
8.93683,-0.435224
8.93685,-0.43521
8.93687,-0.435196
8.93688,-0.435181
8.9369,-0.435166
8.93691,-0.43515
