frequency,Re(S21),Im(S21),Amplitude,phase
7809774155.0,-0.0139878936,0.002801978,0.014265771906118678,-3.339290604999632
7809775355.0,-0.0139690364,0.0028101948,0.014248900756145088,-3.340115969827044
7809776555.0,-0.0139910426,0.0028222479,0.014272853822696748,-3.3406397795870455
7809777756.0,-0.0139827709,0.0028587267,0.014272007580826872,-3.3432598869749746
7809778956.0,-0.013976469,0.0028008752,0.014254353285713669,-3.3393721672401777
7809780156.0,-0.0139648881,0.002848151,0.014252370461236355,-3.3427842191862056
7809781356.0,-0.0139510466,0.0028548446,0.014240148837899157,-3.343439031792455
7809782557.0,-0.0139910443,0.0028642086,0.014281211836145995,-3.3435199220859855
7809783757.0,-0.0139645573,0.0028703738,0.014256504001216768,-3.3443161979910143
7809784957.0,-0.0139706515,0.0028872833,0.014265886169071698,-3.3453912265273713
7809786157.0,-0.0139824099,0.0028703958,0.014273995889738642,-3.3440658928483877
7809787357.0,-0.0139621931,0.0028987223,0.014259923812356254,-3.346296853511233
7809788558.0,-0.0139452538,0.0029067157,0.014244967522147635,-3.3470880022117244
7809789758.0,-0.0139862863,0.0029227269,0.014288405684244526,-3.347599014917602
7809790958.0,-0.0139344643,0.0029076762,0.014234601371728712,-3.3473087257364815
7809792158.0,-0.0139649533,0.0029120143,0.01426533378349716,-3.3471698364718163
7809793359.0,-0.0139343939,0.0029090537,0.014234813900780048,-3.347404465368612
7809794559.0,-0.0139400813,0.0029296349,0.01424459993463866,-3.348737220229111
7809795759.0,-0.0139542269,0.0029496866,0.014262576885503656,-3.349909081960886
7809796959.0,-0.013972947,0.0029382266,0.014278530156068465,-3.348852684458919
7809798160.0,-0.0139394913,0.0029563588,0.014249542977131342,-3.3505810659642554
7809799360.0,-0.0139459151,0.0029478276,0.014254060317528117,-3.3499020789834737
7809800560.0,-0.0139378669,0.0029752383,0.014251883267270418,-3.3519005917068903
7809801760.0,-0.0139212077,0.0029602036,0.01423245689190704,-3.3511118561760616
7809802961.0,-0.0139360049,0.0029756104,0.014250139993186459,-3.351953406240637
7809804161.0,-0.0139384473,0.0030009094,0.014257831895554305,-3.3536529148072396
7809805361.0,-0.0139134901,0.0029692553,0.014226794572192857,-3.351847013373614
7809806561.0,-0.0138992436,0.0030055722,0.01422049355337408,-3.354553708395458
7809807762.0,-0.0139136557,0.0029974633,0.014232870447418165,-3.353782831914884
7809808962.0,-0.0139272517,0.0029967336,0.014246008289500673,-3.353531767075477
7809810162.0,-0.0138856203,0.003041321,0.014214784013160843,-3.3572143614821255
7809811362.0,-0.0139100015,0.0030215555,0.014234392834595457,-3.3554914718429423
