C:\Users\oper\Downloads\Photon_count_2_V5_2D_2_5CELL_mod_2port.son DE_EMBEDDED Lk=0.0
FREQUENCY (GHz), DB[S21]-Photon_count_2_V5_2D_2_5CELL_mod_2port
14.3818,-0.856031
14.382,-0.856162
14.3822,-0.856294
14.3824,-0.856426
14.3826,-0.856559
14.3828,-0.856692
14.383,-0.856826
14.3832,-0.856961
14.3834,-0.857096
14.3836,-0.857232
14.3838,-0.857368
14.384,-0.857505
14.3842,-0.857642
14.3844,-0.85778
14.3846,-0.857919
14.3848,-0.858058
14.385,-0.858198
14.3852,-0.858338
14.3854,-0.858479
14.3856,-0.858621
14.3858,-0.858763
14.386,-0.858906
14.3862,-0.859049
14.3864,-0.859194
14.3866,-0.859338
14.3868,-0.859484
14.387,-0.85963
14.3872,-0.859776
14.3874,-0.859923
14.3876,-0.860071
14.3878,-0.86022
14.388,-0.860369
14.3882,-0.860519
14.3884,-0.860669
14.3886,-0.86082
14.3888,-0.860972
14.389,-0.861124
14.3892,-0.861277
14.3894,-0.861431
14.3896,-0.861585
14.3898,-0.86174
14.39,-0.861896
14.3902,-0.862053
14.3904,-0.86221
14.3906,-0.862367
14.3908,-0.862526
14.391,-0.862685
14.3912,-0.862845
14.3914,-0.863005
14.3916,-0.863166
14.3918,-0.863328
14.392,-0.863491
14.3922,-0.863654
14.3924,-0.863818
14.3926,-0.863983
14.3928,-0.864148
14.393,-0.864315
14.3932,-0.864482
14.3934,-0.864649
14.3936,-0.864817
14.3938,-0.864987
14.394,-0.865156
14.3942,-0.865327
14.3944,-0.865498
14.3946,-0.86567
14.3948,-0.865843
14.395,-0.866017
14.3952,-0.866191
14.3954,-0.866366
14.3956,-0.866542
14.3958,-0.866718
14.396,-0.866896
14.3962,-0.867074
14.3964,-0.867253
14.3966,-0.867432
14.3968,-0.867613
14.397,-0.867794
14.3972,-0.867976
14.3974,-0.868159
14.3976,-0.868343
14.3978,-0.868527
14.398,-0.868713
14.3982,-0.868899
14.3984,-0.869086
14.3986,-0.869273
14.3988,-0.869462
14.399,-0.869651
14.3992,-0.869842
14.3994,-0.870033
14.3996,-0.870225
14.3998,-0.870417
14.4,-0.870611
14.4002,-0.870805
14.4004,-0.871001
14.4006,-0.871197
14.4008,-0.871394
14.401,-0.871592
14.4012,-0.871791
14.4014,-0.87199
14.4016,-0.872191
14.4018,-0.872392
14.402,-0.872595
14.4022,-0.872798
14.4024,-0.873002
14.4026,-0.873207
14.4028,-0.873413
14.403,-0.87362
14.4032,-0.873828
14.4034,-0.874036
14.4036,-0.874246
14.4038,-0.874457
14.404,-0.874668
14.4042,-0.874881
14.4044,-0.875094
14.4046,-0.875308
14.4048,-0.875524
14.405,-0.87574
14.4052,-0.875957
14.4054,-0.876175
14.4056,-0.876395
14.4058,-0.876615
14.406,-0.876836
14.4062,-0.877058
14.4064,-0.877281
14.4066,-0.877505
14.4068,-0.87773
14.407,-0.877957
14.4072,-0.878184
14.4074,-0.878412
14.4076,-0.878641
14.4078,-0.878871
14.408,-0.879103
14.4082,-0.879335
14.4084,-0.879568
14.4086,-0.879803
