C:\Users\oper\Downloads\Photon_count_2_V5_2D_2_5CELL_mod_3ports_DEF.son DE_EMBEDDED Lk=1.0
FREQUENCY (GHz), DB[Z33]-Photon_count_2_V5_2D_2_5CELL_mod_3ports_DEF
13.9,15.5318
13.92,15.7914
13.94,16.0432
13.96,16.2876
13.98,16.5251
14,16.756
14.02,16.9807
14.04,17.1995
14.06,17.4128
14.08,17.6207
14.1,17.8235
14.12,18.0215
14.14,18.2148
14.16,18.4038
14.18,18.5886
14.2,18.7693
14.22,18.9461
14.24,19.1193
14.26,19.2889
14.28,19.4551
14.3,19.618
14.32,19.7777
14.34,19.9344
14.36,20.0882
14.38,20.2391
14.4,20.3873
14.42,20.5329
14.44,20.676
14.46,20.8166
14.48,20.9548
14.5,21.0907
14.52,21.2244
14.54,21.356
14.56,21.4854
14.58,21.6129
14.6,21.7384
14.62,21.8619
14.64,21.9837
14.66,22.1036
14.68,22.2218
14.7,22.3383
14.72,22.4532
14.74,22.5664
14.76,22.6781
14.78,22.7883
14.8,22.897
14.82,23.0042
14.84,23.1101
14.86,23.2146
14.88,23.3177
14.9,23.4196
14.92,23.5202
14.94,23.6195
14.96,23.7177
14.98,23.8146
15,23.9104
15.02,24.0051
15.04,24.0987
15.06,24.1912
15.08,24.2827
15.1,24.3731
15.12,24.4625
15.14,24.5509
15.16,24.6384
15.18,24.7249
15.2,24.8106
15.22,24.8953
15.24,24.9791
15.26,25.062
15.28,25.1441
15.3,25.2254
15.32,25.3058
15.34,25.3855
15.36,25.4643
15.38,25.5424
15.4,25.6198
15.42,25.6964
15.44,25.7722
15.46,25.8474
15.48,25.9219
15.5,25.9956
15.52,26.0687
15.54,26.1411
15.56,26.2129
15.58,26.2841
15.6,26.3546
15.62,26.4244
15.64,26.4937
15.66,26.5624
15.68,26.6305
15.7,26.698
15.72,26.765
15.74,26.8314
15.76,26.8972
15.78,26.9625
15.8,27.0273
15.82,27.0915
15.84,27.1553
15.86,27.2185
15.88,27.2812
15.9,27.3434
15.92,27.4052
15.94,27.4665
15.96,27.5273
15.98,27.5876
16,27.6475
16.02,27.7069
16.04,27.7659
