C:\Users\oper\Downloads\Photon_Count_2_V5_PC_2_1_1_PIXEL3_3PORT1.son DE_EMBEDDED Lk=0.0
FREQUENCY (GHz), DB[Z33]-Photon_Count_2_V5_PC_2_1_1_PIXEL3_3PORT1
13.9,21.0676
13.92,20.9266
13.94,20.7834
13.96,20.638
13.98,20.4904
14,20.3404
14.02,20.1879
14.04,20.033
14.06,19.8754
14.08,19.7152
14.1,19.5521
14.12,19.3862
14.14,19.2172
14.16,19.0452
14.18,18.8698
14.2,18.6911
14.22,18.5089
14.24,18.3231
14.26,18.1334
14.28,17.9397
14.3,17.7418
14.32,17.5396
14.34,17.3329
14.36,17.1213
14.38,16.9048
14.4,16.683
14.42,16.4557
14.44,16.2226
14.46,15.9834
14.48,15.7376
14.5,15.4851
14.51,15.3561
14.52,15.2253
14.54,14.9579
14.56,14.6823
14.58,14.398
14.6,14.1045
14.62,13.8011
14.64,13.4871
14.66,13.1617
14.68,12.8241
14.7,12.4734
14.72,12.1083
14.74,11.7278
14.76,11.3303
14.78,10.9143
14.8,10.478
14.82,10.0193
14.84,9.53567
14.86,9.02434
14.88,8.48187
14.9,7.90423
14.92,7.28654
14.94,6.62285
14.96,5.90578
14.98,5.12608
15,4.27192
15.02,3.32786
15.04,2.2733
15.06,1.08004
15.08,-0.291606
15.1,-1.89902
15.12,-3.82599
15.14,-6.18662
15.16,-9.05374
15.18,-11.8464
15.2,-11.9711
15.22,-9.25849
15.24,-6.37333
15.26,-3.99042
15.28,-2.04875
15.3,-0.43297
15.32,0.942681
15.34,2.13695
15.36,3.19043
15.38,4.1319
15.4,4.98236
15.42,5.75751
15.44,6.46937
15.46,7.12735
15.48,7.73892
15.5,8.3101
15.52,8.84583
15.54,9.3502
15.56,9.82665
15.58,10.2781
15.6,10.7069
15.62,11.1153
15.64,11.5052
15.66,11.878
15.68,12.2352
15.7,12.5781
15.72,12.9078
15.74,13.2252
15.76,13.5311
15.78,13.8265
15.8,14.112
15.82,14.3882
15.84,14.6557
15.86,14.9151
15.88,15.1667
15.9,15.4112
15.92,15.6489
15.94,15.88
15.96,16.1052
15.98,16.3245
16,16.5383
16.02,16.747
16.04,16.9508
16.06,17.1499
16.08,17.3446
16.1,17.5352
16.12,17.7218
16.14,17.9049
16.16,18.0847
16.18,18.2617
16.19,18.3492
16.2,18.4362
16.22,18.6082
16.24,18.7745
16.25,18.8506
16.26,18.9171
16.28,19.0371
16.3,19.1829
16.32,19.3391
16.34,19.4932
16.36,19.6437
16.38,19.7906
16.4,19.9345
16.42,20.0755
16.44,20.2139
16.46,20.3499
16.48,20.4836
16.5,20.6151
16.52,20.7445
16.54,20.8719
16.56,20.9973
16.58,21.1209
16.6,21.2428
16.62,21.3628
16.64,21.4813
16.66,21.598
16.68,21.7133
16.7,21.827
16.72,21.9392
16.74,22.0501
16.76,22.1595
16.78,22.2676
16.8,22.3744
16.82,22.48
16.84,22.5844
16.86,22.6876
