C:\Users\oper\Downloads\Photon_Count_2_V5_PC_2_1_1_PIXEL3_2PORT.son DE_EMBEDDED Lk=0.0
FREQUENCY (GHz), DB[S21]-Photon_Count_2_V5_PC_2_1_1_PIXEL3_2PORT
15.042,-0.184652
15.044,-0.184881
15.046,-0.185131
15.048,-0.185401
15.05,-0.185694
15.052,-0.18601
15.054,-0.18635
15.056,-0.186717
15.058,-0.18711
15.06,-0.187532
15.062,-0.187984
15.064,-0.188468
15.066,-0.188985
15.068,-0.189538
15.07,-0.190128
15.072,-0.190757
15.074,-0.191429
15.076,-0.192145
15.078,-0.192907
15.08,-0.19372
15.082,-0.194586
15.084,-0.195508
15.086,-0.19649
15.088,-0.197536
15.09,-0.19865
15.092,-0.199837
15.094,-0.201101
15.096,-0.202448
15.098,-0.203885
15.1,-0.205416
15.102,-0.20705
15.104,-0.208793
15.106,-0.210654
15.108,-0.212642
15.11,-0.214766
15.112,-0.217037
15.114,-0.219468
15.116,-0.22207
15.118,-0.224858
15.12,-0.227847
15.122,-0.231053
15.124,-0.234496
15.126,-0.238196
15.128,-0.242174
15.13,-0.246456
15.132,-0.251067
15.134,-0.256036
15.136,-0.261397
15.138,-0.267182
15.14,-0.273429
15.142,-0.280179
15.144,-0.287475
15.146,-0.295362
15.148,-0.303888
15.15,-0.313103
15.152,-0.323056
15.154,-0.333796
15.156,-0.345367
15.158,-0.357806
15.16,-0.371138
15.162,-0.385371
15.164,-0.400489
15.166,-0.416437
15.168,-0.433119
15.17,-0.450378
15.172,-0.467987
15.174,-0.485638
15.176,-0.502931
15.178,-0.519381
15.18,-0.534422
15.182,-0.54744
15.184,-0.557809
15.186,-0.564951
15.188,-0.568396
15.19,-0.567845
15.192,-0.563207
15.194,-0.554624
15.196,-0.542448
15.198,-0.527206
15.2,-0.509532
15.202,-0.490107
15.204,-0.469594
15.206,-0.448591
15.208,-0.427608
15.21,-0.40705
15.212,-0.38722
15.214,-0.368329
15.216,-0.350508
15.218,-0.333826
15.22,-0.318303
15.222,-0.303924
15.224,-0.290649
15.226,-0.278423
15.228,-0.267182
15.23,-0.256855
15.232,-0.247372
15.234,-0.238666
15.236,-0.230669
15.238,-0.22332
15.24,-0.216561
15.242,-0.210338
15.244,-0.204602
15.246,-0.199309
15.248,-0.194418
15.25,-0.189892
15.252,-0.185699
15.254,-0.181807
15.256,-0.17819
15.258,-0.174824
15.26,-0.171686
15.262,-0.168756
15.264,-0.166018
15.266,-0.163453
15.268,-0.161049
15.27,-0.158791
15.272,-0.156667
15.274,-0.154668
15.276,-0.152782
15.278,-0.151001
15.28,-0.149317
15.282,-0.147722
15.284,-0.14621
15.286,-0.144775
15.288,-0.14341
15.29,-0.142111
15.292,-0.140874
15.294,-0.139693
15.296,-0.138565
15.298,-0.137487
15.3,-0.136454
15.302,-0.135465
15.304,-0.134515
15.306,-0.133603
15.308,-0.132726
15.31,-0.131882
15.312,-0.131069
15.314,-0.130285
15.316,-0.129528
15.318,-0.128797
15.32,-0.12809
15.322,-0.127406
15.324,-0.126743
15.326,-0.1261
15.328,-0.125476
15.33,-0.12487
15.332,-0.124282
15.334,-0.123709
15.336,-0.123152
15.338,-0.122609
15.34,-0.12208
15.342,-0.121563
15.344,-0.12106
15.346,-0.120568
15.348,-0.120087
15.35,-0.119616
15.352,-0.119156
15.354,-0.118706
15.356,-0.118264
15.358,-0.117832
15.36,-0.117408
15.362,-0.116991
15.364,-0.116583
15.366,-0.116181
15.368,-0.115787
15.37,-0.115399
15.372,-0.115018
15.374,-0.114643
15.376,-0.114274
15.378,-0.11391
15.38,-0.113552
15.382,-0.113199
15.384,-0.112851
15.386,-0.112508
15.388,-0.112169
15.39,-0.111835
15.392,-0.111505
15.394,-0.111179
15.396,-0.110857
15.398,-0.110539
15.4,-0.110225
15.402,-0.109915
15.404,-0.109607
15.406,-0.109303
15.408,-0.109003
15.41,-0.108705
15.412,-0.108411
15.414,-0.108119
15.416,-0.10783
15.418,-0.107544
15.42,-0.107261
15.422,-0.10698
15.424,-0.106701
15.426,-0.106425
15.428,-0.106152
15.43,-0.105881
15.432,-0.105612
15.434,-0.105345
15.436,-0.10508
15.438,-0.104817
15.44,-0.104556
15.442,-0.104298
15.444,-0.104041
15.446,-0.103786
15.448,-0.103532
15.45,-0.103281
15.452,-0.103031
15.454,-0.102783
15.456,-0.102537
15.458,-0.102292
15.46,-0.102048
15.462,-0.101807
15.464,-0.101566
15.466,-0.101328
15.468,-0.10109
15.47,-0.100854
15.472,-0.10062
15.474,-0.100387
15.476,-0.100155
15.478,-0.0999242
15.48,-0.0996949
15.482,-0.0994668
15.484,-0.09924
15.486,-0.0990145
15.488,-0.0987901
15.49,-0.0985668
15.492,-0.0983448
15.494,-0.0981238
15.496,-0.097904
15.498,-0.0976853
15.5,-0.0974676
15.502,-0.0972511
15.504,-0.0970355
15.506,-0.0968211
15.508,-0.0966076
15.51,-0.0963951
15.512,-0.0961837
15.514,-0.0959732
15.516,-0.0957637
15.518,-0.0955551
15.52,-0.0953475
15.522,-0.0951409
15.524,-0.0949351
15.526,-0.0947303
15.528,-0.0945263
15.53,-0.0943233
15.532,-0.0941211
15.534,-0.0939199
15.536,-0.0937194
15.538,-0.0935199
15.54,-0.0933212
15.542,-0.0931233
15.544,-0.0929262
15.546,-0.09273
15.548,-0.0925346
15.55,-0.09234
15.552,-0.0921462
15.554,-0.0919532
15.556,-0.091761
15.558,-0.0915696
15.56,-0.091379
15.562,-0.0911891
15.564,-0.091
15.566,-0.0908117
15.568,-0.0906241
15.57,-0.0904372
15.572,-0.0902512
15.574,-0.0900658
15.576,-0.0898812
15.578,-0.0896973
15.58,-0.0895142
15.582,-0.0893317
15.584,-0.08915
15.586,-0.088969
15.588,-0.0887887
15.59,-0.0886091
15.592,-0.0884303
15.594,-0.0882521
15.596,-0.0880746
15.598,-0.0878978
15.6,-0.0877217
15.602,-0.0875463
15.604,-0.0873716
15.606,-0.0871975
15.608,-0.0870241
15.61,-0.0868514
15.612,-0.0866794
15.614,-0.0865081
15.616,-0.0863374
15.618,-0.0861674
15.62,-0.085998
15.622,-0.0858293
15.624,-0.0856612
15.625,-0.0855775
15.626,-0.0854938
15.628,-0.0853271
15.63,-0.085161
15.632,-0.0849956
15.634,-0.0848308
15.636,-0.0846667
15.638,-0.0845032
15.64,-0.0843403
15.642,-0.0841781
15.644,-0.0840165
15.646,-0.0838556
15.648,-0.0836953
15.65,-0.0835356
15.652,-0.0833766
15.654,-0.0832182
15.656,-0.0830604
15.658,-0.0829033
15.66,-0.0827468
15.662,-0.0825909
15.664,-0.0824356
15.666,-0.082281
15.668,-0.082127
15.67,-0.0819736
15.672,-0.0818208
15.674,-0.0816687
15.676,-0.0815171
15.678,-0.0813662
15.68,-0.0812159
15.682,-0.0810662
15.684,-0.0809172
15.686,-0.0807687
15.688,-0.0806209
15.69,-0.0804736
15.692,-0.080327
15.694,-0.080181
15.696,-0.0800356
15.698,-0.0798908
15.7,-0.0797466
15.702,-0.079603
15.704,-0.0794601
15.706,-0.0793177
15.708,-0.079176
15.71,-0.0790348
15.712,-0.0788943
15.714,-0.0787543
15.716,-0.078615
15.718,-0.0784763
15.72,-0.0783381
15.722,-0.0782006
15.724,-0.0780637
15.726,-0.0779273
15.728,-0.0777916
15.73,-0.0776565
15.732,-0.077522
15.734,-0.077388
15.736,-0.0772547
15.738,-0.077122
15.74,-0.0769899
15.742,-0.0768583
15.744,-0.0767274
15.746,-0.0765971
15.748,-0.0764673
15.75,-0.0763382
15.752,-0.0762096
15.754,-0.0760817
15.756,-0.0759543
15.758,-0.0758276
15.76,-0.0757014
15.762,-0.0755759
15.764,-0.0754509
15.766,-0.0753265
15.768,-0.0752027
15.77,-0.0750796
15.772,-0.074957
15.774,-0.074835
15.776,-0.0747136
15.778,-0.0745928
15.78,-0.0744726
15.782,-0.0743529
15.784,-0.0742339
15.786,-0.0741155
15.788,-0.0739976
15.79,-0.0738804
15.792,-0.0737638
15.794,-0.0736477
15.796,-0.0735322
15.798,-0.0734174
15.8,-0.0733031
15.802,-0.0731894
15.804,-0.0730763
15.806,-0.0729638
15.808,-0.0728519
15.81,-0.0727406
15.812,-0.0726299
15.814,-0.0725198
15.816,-0.0724103
15.818,-0.0723013
15.82,-0.072193
15.822,-0.0720852
15.824,-0.0719781
15.826,-0.0718715
15.828,-0.0717655
15.83,-0.0716602
15.832,-0.0715554
15.834,-0.0714512
15.836,-0.0713476
15.838,-0.0712446
15.84,-0.0711422
15.842,-0.0710404
