C:\Users\oper\Downloads\Photon_count_2_V5_2D_2_5CELL_mod_2port.son DE_EMBEDDED Lk=0.0
FREQUENCY (GHz), DB[S21]-Photon_count_2_V5_2D_2_5CELL_mod_2port
14.775,-1.59375
14.775,-1.59412
14.7754,-1.60198
14.7755,-1.6033
14.7759,-1.60994
14.776,-1.61236
14.7763,-1.61763
14.7765,-1.62128
14.7767,-1.62504
14.777,-1.63006
14.7771,-1.63217
14.7775,-1.63866
14.7775,-1.63902
14.7779,-1.64561
14.778,-1.64708
14.7783,-1.65192
14.7785,-1.65529
14.7787,-1.65796
14.779,-1.66327
14.779,-1.66374
14.7794,-1.66925
14.7795,-1.671
14.7797,-1.67451
14.78,-1.67846
14.7801,-1.67951
14.7804,-1.68427
14.7805,-1.68562
14.7807,-1.68879
14.781,-1.69246
14.781,-1.69307
14.7814,-1.69711
14.7815,-1.69897
14.7817,-1.70094
14.782,-1.70454
14.782,-1.70511
14.7822,-1.70794
14.7825,-1.71086
14.7825,-1.71113
14.7828,-1.71411
14.783,-1.71621
14.7831,-1.71691
14.7833,-1.71952
14.7835,-1.72113
14.7836,-1.72195
14.7838,-1.72421
14.784,-1.72559
14.7841,-1.72631
14.7843,-1.72824
14.7845,-1.72958
14.7846,-1.73002
14.7848,-1.73166
14.785,-1.73307
14.785,-1.73315
14.7852,-1.73451
14.7854,-1.73575
14.7855,-1.73605
14.7857,-1.73686
14.7859,-1.73785
14.786,-1.73849
14.7861,-1.73873
14.7863,-1.73951
14.7864,-1.74019
14.7865,-1.74038
14.7866,-1.74077
14.7868,-1.74127
14.787,-1.74167
14.787,-1.7417
14.7872,-1.742
14.7873,-1.74225
14.7875,-1.74243
14.7875,-1.74244
14.7877,-1.74255
14.7878,-1.74259
14.788,-1.74258
14.788,-1.74257
14.7881,-1.74252
14.7883,-1.7424
14.7884,-1.74223
14.7885,-1.7421
14.7886,-1.74202
14.7887,-1.74176
14.7888,-1.74146
14.789,-1.74113
14.789,-1.74101
14.7891,-1.74076
14.7892,-1.74036
14.7893,-1.73993
14.7895,-1.73948
14.7895,-1.73928
