C:\Users\oper\labQT\Lab2025\QTLab2526\SinglePhoton\VNA\CRIO_measures_new\PC2_1_1_P4_2PORT.son DE_EMBEDDED Lk=0.0
FREQUENCY (GHz), DB[S21]-PC2_1_1_P4_2PORT
15.919,-0.778623
15.9195,-0.77882
15.92,-0.779021
15.9205,-0.779225
15.921,-0.779432
15.9215,-0.779642
15.922,-0.779856
15.9225,-0.780073
15.923,-0.780293
15.9235,-0.780517
15.924,-0.780744
15.9245,-0.780975
15.925,-0.78121
15.9255,-0.781448
15.926,-0.78169
15.9265,-0.781935
15.927,-0.782185
15.9275,-0.782438
15.928,-0.782696
15.9285,-0.782957
15.929,-0.783222
15.9295,-0.783492
15.93,-0.783766
15.9305,-0.784044
15.931,-0.784326
15.9315,-0.784613
15.932,-0.784904
15.9325,-0.785199
15.933,-0.7855
15.9335,-0.785804
15.934,-0.786114
15.9345,-0.786428
15.935,-0.786747
15.9355,-0.787072
15.936,-0.787401
15.9365,-0.787735
15.937,-0.788075
15.9375,-0.788419
15.938,-0.788769
15.9385,-0.789125
15.939,-0.789486
15.9395,-0.789853
15.94,-0.790225
15.9405,-0.790603
15.941,-0.790987
15.9415,-0.791377
15.942,-0.791773
15.9425,-0.792175
15.943,-0.792584
15.9435,-0.792998
15.944,-0.79342
15.9445,-0.793848
15.945,-0.794282
15.9455,-0.794724
15.946,-0.795172
15.9465,-0.795627
15.947,-0.79609
15.9475,-0.796559
15.948,-0.797037
15.9485,-0.797521
15.949,-0.798013
15.9495,-0.798514
15.95,-0.799022
15.9505,-0.799538
15.951,-0.800062
15.9515,-0.800594
15.952,-0.801135
15.9525,-0.801685
15.953,-0.802243
15.9535,-0.80281
15.954,-0.803387
15.9545,-0.803972
15.955,-0.804567
15.9555,-0.805171
15.956,-0.805785
15.9565,-0.806409
15.957,-0.807043
15.9575,-0.807688
15.958,-0.808342
15.9585,-0.809008
15.959,-0.809684
15.9595,-0.810371
15.96,-0.811069
15.9605,-0.811779
15.961,-0.8125
15.9615,-0.813233
15.962,-0.813978
15.9625,-0.814735
15.963,-0.815504
15.9635,-0.816287
15.964,-0.817082
15.9645,-0.81789
15.965,-0.818711
15.9655,-0.819546
15.966,-0.820395
15.9665,-0.821258
15.967,-0.822136
15.9675,-0.823028
15.968,-0.823934
15.9685,-0.824856
15.969,-0.825793
15.9695,-0.826746
15.97,-0.827715
15.9705,-0.8287
15.971,-0.829702
15.9715,-0.83072
15.972,-0.831756
15.9725,-0.832809
15.973,-0.83388
15.9735,-0.834968
15.974,-0.836076
15.9745,-0.837201
15.975,-0.838346
15.9755,-0.83951
15.976,-0.840694
15.9765,-0.841898
15.977,-0.843122
15.9775,-0.844367
15.978,-0.845633
15.9785,-0.84692
15.979,-0.848229
15.9795,-0.849561
15.98,-0.850914
15.9805,-0.852291
15.981,-0.85369
15.9815,-0.855114
15.982,-0.856561
15.9825,-0.858032
15.983,-0.859529
15.9835,-0.86105
15.984,-0.862596
15.9845,-0.864169
15.985,-0.865767
15.9855,-0.867392
15.986,-0.869044
15.9865,-0.870722
15.987,-0.872429
15.9875,-0.874163
15.988,-0.875925
15.9885,-0.877716
15.989,-0.879535
15.9895,-0.881383
15.99,-0.883261
15.9905,-0.885168
15.991,-0.887105
15.9915,-0.889072
15.992,-0.891069
15.9925,-0.893097
15.993,-0.895154
15.9935,-0.897243
15.994,-0.899362
15.9945,-0.901511
15.995,-0.903691
15.9955,-0.905902
15.996,-0.908143
15.9965,-0.910415
15.997,-0.912717
15.9975,-0.915048
15.998,-0.91741
15.9985,-0.9198
15.999,-0.922219
15.9995,-0.924666
16,-0.927141
16.0005,-0.929643
16.001,-0.93217
