Time,Channel A
(us),(V)

-2.56138983,0.00000000
-2.55738983,0.00000000
-2.55338983,0.00030519
-2.54938983,0.00091556
-2.54538983,0.00152593
-2.54138983,0.00213630
-2.53738983,0.00259407
-2.53338983,0.00305185
-2.52938983,0.00381481
-2.52538983,0.00564592
-2.52138983,0.00839259
-2.51738983,0.01144444
-2.51338983,0.01327555
-2.50938983,0.01266518
-2.50538983,0.00961333
-2.50138983,0.00534074
-2.49738983,0.00198370
-2.49338983,0.00045778
-2.48938983,0.00091556
-2.48538983,0.00228889
-2.48138983,0.00366222
-2.47738983,0.00518815
-2.47338983,0.00671407
-2.46938983,0.00824000
-2.46538983,0.00946074
-2.46138983,0.00976592
-2.45738983,0.00946074
-2.45338983,0.00854518
-2.44938983,0.00732444
-2.44538983,0.00625629
-2.44138983,0.00503555
-2.43738983,0.00381481
-2.43338983,0.00274667
-2.42938983,0.00228889
-2.42538983,0.00213630
-2.42138983,0.00228889
-2.41738983,0.00320444
-2.41338983,0.00534074
-2.40938983,0.00900296
-2.40538983,0.01312296
-2.40138983,0.01602222
-2.39738983,0.01663259
-2.39338983,0.01480148
-2.38938983,0.01159703
-2.38538983,0.00915555
-2.38138983,0.00900296
-2.37738983,0.01052889
-2.37338983,0.01281777
-2.36938983,0.01495407
-2.36538983,0.01724296
-2.36138983,0.01968444
-2.35738983,0.02182074
-2.35338983,0.02258370
-2.34938983,0.02075259
-2.34538983,0.01648000
-2.34138983,0.01098666
-2.33738983,0.00579852
-2.33338983,0.00259407
-2.32938983,0.00122074
-2.32538983,0.00091556
-2.32138983,0.00045778
-2.31738983,-0.00015259
-2.31338983,-0.00076296
-2.30938983,-0.00106815
-2.30538983,-0.00122074
-2.30138983,-0.00106815
-2.29738983,-0.00015259
-2.29338983,0.00076296
-2.28938983,0.00152593
-2.28538983,0.00122074
-2.28138983,-0.00030519
-2.27738983,-0.00228889
-2.27338983,-0.00289926
-2.26938983,-0.00030519
-2.26538983,0.00610370
-2.26138983,0.01388592
-2.25738983,0.01815851
-2.25338983,0.01525925
-2.24938984,0.00503555
-2.24538984,-0.00824000
-2.24138984,-0.01831111
-2.23738984,-0.02090518
-2.23338984,-0.01663259
-2.22938984,-0.00885037
-2.22538984,-0.00122074
-2.22138984,0.00518815
-2.21738984,0.01083407
-2.21338984,0.01586962
-2.20938984,0.01892148
-2.20538984,0.01846370
-2.20138984,0.01373333
-2.19738984,0.00686666
-2.19338984,0.00183111
-2.18938984,0.00167852
-2.18538984,0.00610370
-2.18138984,0.01251259
-2.17738984,0.01739555
-2.17338984,0.01907407
-2.16938984,0.01785333
-2.16538984,0.01495407
-2.16138984,0.01205481
-2.15738984,0.00991852
-2.15338984,0.00839259
-2.14938984,0.00686666
-2.14538984,0.00549333
-2.14138984,0.00442518
-2.13738984,0.00396741
-2.13338984,0.00366222
-2.12938984,0.00350963
-2.12538984,0.00320444
-2.12138984,0.00305185
-2.11738984,0.00305185
-2.11338984,0.00289926
-2.10938984,0.00274667
-2.10538984,0.00213630
-2.10138984,0.00152593
-2.09738984,0.00183111
-2.09338984,0.00427259
-2.08938984,0.00885037
-2.08538984,0.01434370
-2.08138984,0.01770074
-2.07738984,0.01724296
-2.07338984,0.01251259
-2.06938984,0.00595111
-2.06538984,0.00076296
-2.06138984,-0.00061037
-2.05738984,0.00152593
-2.05338984,0.00518815
-2.04938984,0.00824000
-2.04538984,0.00991852
-2.04138984,0.01052889
-2.03738984,0.01037629
-2.03338984,0.00946074
-2.02938984,0.00717185
-2.02538984,0.00320444
-2.02138984,-0.00122074
-2.01738984,-0.00488296
-2.01338984,-0.00701926
-2.00938984,-0.00732444
-2.00538984,-0.00671407
-2.00138984,-0.00579852
-1.99738984,-0.00427259
-1.99338984,-0.00198370
-1.98938984,0.00061037
-1.98538984,0.00213630
-1.98138984,0.00106815
-1.97738984,-0.00259407
-1.97338984,-0.00732444
-1.96938984,-0.01068148
-1.96538984,-0.01129185
-1.96138984,-0.00915555
-1.95738984,-0.00564592
-1.95338984,-0.00228889
-1.94938984,0.00030519
-1.94538984,0.00183111
-1.94138984,0.00289926
-1.93738984,0.00457778
-1.93338984,0.00762963
-1.92938984,0.01190222
-1.92538984,0.01648000
-1.92138984,0.01907407
-1.91738984,0.01846370
-1.91338984,0.01434370
-1.90938984,0.00839259
-1.90538984,0.00335704
-1.90138984,0.00061037
-1.89738984,0.00015259
-1.89338985,0.00061037
-1.88938985,0.00122074
-1.88538985,0.00213630
-1.88138985,0.00350963
-1.87738985,0.00503555
-1.87338985,0.00610370
-1.86938985,0.00564592
-1.86538985,0.00366222
-1.86138985,0.00106815
-1.85738985,-0.00061037
-1.85338985,0.00000000
-1.84938985,0.00289926
-1.84538985,0.00656148
-1.84138985,0.00915555
-1.83738985,0.00961333
-1.83338985,0.00778222
-1.82938985,0.00503555
-1.82538985,0.00244148
-1.82138985,0.00091556
-1.81738985,0.00045778
-1.81338985,0.00030519
-1.80938985,0.00030519
-1.80538985,0.00000000
-1.80138985,-0.00030519
-1.79738985,-0.00061037
-1.79338985,-0.00030519
-1.78938985,0.00061037
-1.78538985,0.00228889
-1.78138985,0.00412000
-1.77738985,0.00595111
-1.77338985,0.00762963
-1.76938985,0.00900296
-1.76538985,0.00991852
-1.76138985,0.01083407
-1.75738985,0.01190222
-1.75338985,0.01312296
-1.74938985,0.01388592
-1.74538985,0.01419111
-1.74138985,0.01312296
-1.73738985,0.01098666
-1.73338985,0.00808741
-1.72938985,0.00595111
-1.72538985,0.00595111
-1.72138985,0.00824000
