C:\Users\oper\labQT\Lab2025\2D Qubit\QTLab2526\2DQuBit\Sonnet\2D_3rd_resonator.son DE_EMBEDDED Lk=0.0
FREQUENCY (GHz), DB[S21]-2D_3rd_resonator
15.9004,-0.688549
15.9004,-0.688571
15.9004,-0.688594
15.9005,-0.688617
15.9005,-0.688641
15.9005,-0.688664
15.9005,-0.688688
15.9005,-0.688712
15.9005,-0.688737
15.9006,-0.688762
15.9006,-0.688787
15.9006,-0.688812
15.9006,-0.688837
15.9006,-0.688863
15.9006,-0.688889
15.9007,-0.688915
15.9007,-0.688942
15.9007,-0.688968
15.9007,-0.688995
15.9007,-0.689022
15.9007,-0.689049
15.9008,-0.689076
15.9008,-0.689103
15.9008,-0.68913
15.9008,-0.689158
15.9009,-0.689185
15.9009,-0.689212
15.9009,-0.68924
15.9009,-0.689267
15.901,-0.689294
15.901,-0.689321
15.901,-0.689347
15.901,-0.689374
15.9011,-0.6894
15.9011,-0.689425
15.9011,-0.689451
15.9011,-0.689476
15.9012,-0.6895
15.9012,-0.689524
15.9012,-0.689547
15.9013,-0.689569
15.9013,-0.689591
15.9013,-0.689611
15.9014,-0.689631
15.9014,-0.68965
15.9014,-0.689667
15.9015,-0.689683
15.9015,-0.689698
15.9016,-0.689711
15.9016,-0.689723
15.9016,-0.689733
15.9017,-0.689741
15.9017,-0.689747
15.9018,-0.689751
15.9018,-0.689753
15.9019,-0.689752
15.9019,-0.689748
15.9019,-0.689742
15.902,-0.689732
15.902,-0.689719
15.9021,-0.689703
15.9021,-0.689683
15.9022,-0.689659
15.9023,-0.689631
15.9023,-0.689598
15.9024,-0.689561
15.9024,-0.689518
15.9025,-0.68947
15.9026,-0.689416
15.9026,-0.689357
15.9027,-0.689291
15.9027,-0.689218
15.9028,-0.689138
15.9029,-0.68905
15.903,-0.688954
15.903,-0.68885
15.9031,-0.688736
15.9032,-0.688613
15.9033,-0.68848
15.9033,-0.688337
15.9034,-0.688182
15.9035,-0.688015
15.9036,-0.687836
15.9037,-0.687644
15.9038,-0.687438
15.9038,-0.687218
15.9039,-0.686982
15.904,-0.686729
15.9041,-0.68646
15.9042,-0.686173
15.9043,-0.685867
15.9044,-0.685542
15.9045,-0.685196
15.9047,-0.684827
15.9048,-0.684436
15.9049,-0.684021
15.905,-0.683581
15.9051,-0.683114
15.9052,-0.68262
15.9054,-0.682097
15.9055,-0.681543
15.9056,-0.680957
15.9058,-0.680338
15.9059,-0.679684
15.9061,-0.678994
15.9062,-0.678265
15.9063,-0.677497
15.9065,-0.676687
15.9067,-0.675833
15.9068,-0.674934
15.907,-0.673988
15.9071,-0.672993
15.9073,-0.671946
15.9075,-0.670845
15.9077,-0.669689
15.9078,-0.668475
15.908,-0.667201
15.9082,-0.665864
15.9084,-0.664462
15.9086,-0.662992
15.9088,-0.661453
15.909,-0.659841
15.9093,-0.658154
15.9095,-0.656389
15.9097,-0.654544
15.9099,-0.652616
15.9102,-0.650602
15.9104,-0.648499
15.9107,-0.646306
15.9109,-0.644019
15.9112,-0.641635
15.9114,-0.639153
15.9117,-0.636568
15.912,-0.63388
15.9123,-0.631084
15.9126,-0.62818
15.9129,-0.625164
15.9132,-0.622034
15.9135,-0.618788
15.9138,-0.615424
15.9141,-0.61194
15.9144,-0.608335
15.9148,-0.604607
15.9151,-0.600754
15.9155,-0.596776
15.9159,-0.592671
15.9162,-0.588439
15.9166,-0.584079
15.917,-0.579592
15.9174,-0.574977
15.9178,-0.570235
15.9182,-0.565366
15.9187,-0.560372
15.9191,-0.555255
15.9196,-0.550015
15.92,-0.544655
15.9205,-0.539177
15.921,-0.533585
15.9215,-0.527881
15.922,-0.52207
15.9225,-0.516154
15.923,-0.510139
15.9236,-0.504028
15.9241,-0.497828
15.9247,-0.491543
15.9253,-0.485178
15.9259,-0.478741
15.9265,-0.472236
15.9271,-0.465671
15.9278,-0.459052
15.9284,-0.452386
15.9291,-0.44568
15.9298,-0.438941
15.9305,-0.432177
15.9312,-0.425395
15.9319,-0.418603
15.9327,-0.411807
15.9335,-0.405016
15.9342,-0.398236
15.935,-0.391476
15.9359,-0.384742
15.9367,-0.378042
15.9376,-0.371382
15.9385,-0.364769
15.9394,-0.35821
15.9403,-0.351711
15.9412,-0.345279
15.9422,-0.338917
15.9432,-0.332634
15.9442,-0.326432
15.9453,-0.320318
15.9463,-0.314295
15.9474,-0.308368
15.9485,-0.302541
15.9497,-0.296818
15.95,-0.295226
15.9508,-0.2912
15.952,-0.285691
15.9533,-0.280294
15.9545,-0.275011
15.9558,-0.269843
15.9571,-0.264792
15.9584,-0.259859
15.9598,-0.255045
15.9612,-0.250351
15.9627,-0.245776
15.9641,-0.241321
15.9656,-0.236986
15.9672,-0.23277
15.9688,-0.228673
15.9704,-0.224694
15.972,-0.220832
15.9737,-0.217085
15.9755,-0.213453
15.9772,-0.209934
15.9791,-0.206526
15.9809,-0.203228
15.9828,-0.200038
15.9848,-0.196953
15.9867,-0.193972
15.9888,-0.191094
15.9909,-0.188315
15.993,-0.185634
15.9952,-0.183048
15.9974,-0.180556
15.9997,-0.178154
16,-0.177857
16.002,-0.175842
16.0044,-0.173616
16.0069,-0.171475
16.0094,-0.169416
16.012,-0.167437
16.0146,-0.165536
16.0173,-0.16371
16.02,-0.161958
16.0229,-0.160278
16.0258,-0.158667
16.0287,-0.157123
16.0317,-0.155645
16.0348,-0.154231
16.038,-0.152878
16.0412,-0.151585
16.0445,-0.15035
16.0479,-0.149171
16.05,-0.148491
16.0514,-0.148047
16.055,-0.146975
16.0586,-0.145956
16.0623,-0.144985
16.0661,-0.144063
16.07,-0.143188
16.074,-0.142359
16.0781,-0.141574
16.0823,-0.140831
16.0866,-0.14013
16.0909,-0.139469
16.0954,-0.138848
16.1,-0.138265
16.15,-0.134414
16.2,-0.133314
16.25,-0.133618
16.3,-0.13473
16.35,-0.13635
16.4,-0.138313
16.45,-0.140522
16.5,-0.142916
16.55,-0.145454
16.6,-0.14811
16.65,-0.150864
16.7,-0.1537
16.75,-0.15661
16.8,-0.159583
16.85,-0.162622
16.9,-0.165715
16.95,-0.168883
17,-0.172097
17.05,-0.175337
17.1,-0.178593
17.15,-0.181858
17.2,-0.185132
17.25,-0.188422
17.3,-0.191742
17.35,-0.195116
17.4,-0.198563
17.45,-0.202098
17.5,-0.205741
17.55,-0.209512
17.6,-0.213434
17.65,-0.217533
17.7,-0.221812
17.75,-0.226307
17.8,-0.231208
17.85,-0.236824
17.9,-0.243443
17.95,-0.251666
17.9568,-0.252984
17.9634,-0.254369
17.9699,-0.255815
17.9762,-0.257318
17.9824,-0.258875
17.9884,-0.260484
17.9943,-0.262142
18,-0.263826
18.0001,-0.263846
18.0057,-0.265595
18.0112,-0.267387
18.0166,-0.269219
18.0218,-0.271092
18.027,-0.273003
18.032,-0.274952
18.0369,-0.276938
18.0417,-0.27896
18.0463,-0.281019
18.05,-0.282691
18.0509,-0.283114
18.0554,-0.285245
18.0597,-0.287413
18.064,-0.289618
18.0682,-0.291861
18.0722,-0.294142
18.0762,-0.296463
18.0801,-0.298825
18.0839,-0.301229
18.0876,-0.303677
18.0912,-0.306171
18.0948,-0.308712
18.0982,-0.311303
18.1,-0.312673
18.1016,-0.313948
18.1049,-0.316665
18.1081,-0.319462
18.1113,-0.322342
18.1144,-0.325309
18.1174,-0.32837
18.1203,-0.331529
18.1232,-0.334794
18.126,-0.338172
18.1288,-0.341672
18.1314,-0.345304
18.1341,-0.349079
18.1366,-0.353011
18.1391,-0.357113
18.1416,-0.361401
18.144,-0.365889
18.1463,-0.370593
18.1486,-0.375526
18.15,-0.378801
18.1508,-0.3807
18.153,-0.386124
18.1551,-0.391804
18.1572,-0.39774
18.1592,-0.403931
18.1612,-0.410374
18.1631,-0.417062
18.165,-0.423986
18.1669,-0.431139
18.1687,-0.438513
18.1705,-0.446099
18.1722,-0.453892
18.1739,-0.461884
18.1755,-0.470071
18.1771,-0.478448
18.1787,-0.487009
18.1802,-0.495752
18.1817,-0.504672
18.1832,-0.513764
18.1846,-0.523025
18.186,-0.532448
18.1874,-0.542028
